Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
EN2 8AD,51.675938,-0.124614,North,Barnet Hospital,6.85,North Middlesex,7.82,Barnet Hospital,6.85,Homerton University,14.93
EN2 8AE,51.681383,-0.1479,North,Barnet Hospital,5.76,North Middlesex,9.17,Barnet Hospital,5.76,Homerton University,16.13
EN2 8AF,51.681049,-0.146897,North,Barnet Hospital,5.79,North Middlesex,9.1,Barnet Hospital,5.79,Homerton University,16.07
EN2 8AG,51.682017,-0.143284,North,Barnet Hospital,6.06,North Middlesex,9.05,Barnet Hospital,6.06,Homerton University,16.06
EN2 8AH,51.681515,-0.140864,North,Barnet Hospital,6.17,North Middlesex,8.91,Barnet Hospital,6.17,Homerton University,15.94
EN2 8AL,51.676843,-0.126689,North,Barnet Hospital,6.76,North Middlesex,7.98,Barnet Hospital,6.76,Homerton University,15.08
EN2 8AN,51.683599,-0.135292,North,Barnet Hospital,6.61,North Middlesex,8.92,Barnet Hospital,6.61,Homerton University,16.0
EN2 8AP,51.677076,-0.128299,North,Barnet Hospital,6.67,North Middlesex,8.05,Barnet Hospital,6.67,Homerton University,15.14
EN2 8AQ,51.682263,-0.144619,North,Barnet Hospital,6.0,North Middlesex,9.12,Barnet Hospital,6.0,Homerton University,16.12
EN2 8AS,51.676817,-0.120329,North,Barnet Hospital,7.16,North Middlesex,7.78,Barnet Hospital,7.16,Homerton University,14.92
EN2 8AX,51.688813,-0.111597,North,Barnet Hospital,8.31,North Middlesex,8.81,Barnet Hospital,8.31,Homerton University,16.0
EN2 8AY,51.684247,-0.108937,North,Barnet Hospital,8.22,North Middlesex,8.27,Barnet Hospital,8.22,Homerton University,15.46
EN2 8AZ,51.684317,-0.109368,North,Barnet Hospital,8.2,North Middlesex,8.29,Barnet Hospital,8.2,Homerton University,15.47
EN2 8BA,51.68423,-0.11101,North,Barnet Hospital,8.1,North Middlesex,8.31,Barnet Hospital,8.1,Homerton University,15.5
EN2 8BE,51.682227,-0.144635,North,Barnet Hospital,6.0,North Middlesex,9.12,Barnet Hospital,6.0,Homerton University,16.12
EN2 9DU,51.688299,-0.105932,North,Barnet Hospital,8.62,North Middlesex,8.64,Barnet Hospital,8.62,Homerton University,15.84
EN2 9EB,51.683605,-0.113723,North,Barnet Hospital,7.9,North Middlesex,8.31,Barnet Hospital,7.9,Homerton University,15.49
EN4 0AA,51.650092,-0.149417,North,Barnet Hospital,4.54,North Middlesex,6.67,Barnet Hospital,4.54,Homerton University,13.14
EN4 0AB,51.667659,-0.168108,North,Barnet Hospital,3.76,North Middlesex,8.92,Barnet Hospital,3.76,Homerton University,15.48
EN4 0AD,51.643239,-0.171145,North,Barnet Hospital,3.15,North Middlesex,7.55,Barnet Hospital,3.15,UCH (University College),13.4
EN4 0AE,51.648627,-0.148349,North,Barnet Hospital,4.62,North Middlesex,6.52,Barnet Hospital,4.62,Homerton University,12.97
EN4 0AF,51.657557,-0.156935,North,Barnet Hospital,4.09,North Middlesex,7.6,Barnet Hospital,4.09,Homerton University,14.12
EN4 0AG,51.649153,-0.149166,North,Barnet Hospital,4.56,North Middlesex,6.6,Barnet Hospital,4.56,Homerton University,13.05
EN4 0AH,51.649699,-0.150127,North,Barnet Hospital,4.49,North Middlesex,6.69,Barnet Hospital,4.49,Homerton University,13.13
EN4 0AJ,51.664397,-0.181543,North,Barnet Hospital,2.78,North Middlesex,9.4,Barnet Hospital,2.78,Homerton University,15.71
EN4 0AN,51.657557,-0.156935,North,Barnet Hospital,4.09,North Middlesex,7.6,Barnet Hospital,4.09,Homerton University,14.12
EN4 0AP,51.647656,-0.144934,North,Barnet Hospital,4.86,North Middlesex,6.26,Barnet Hospital,4.86,Homerton University,12.75
EN4 0AQ,51.669538,-0.170404,North,Barnet Hospital,3.73,North Middlesex,9.18,Barnet Hospital,3.73,Homerton University,15.74
