Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
CM13 3JA,51.58931,0.266958,South,Darent Valley,17.13,Darent Valley,17.13,Queen Elizabeth Woolwich,19.32,Princess Alexandra,23.76
CM14 5NG,51.609021,0.260054,South,Darent Valley,19.32,Darent Valley,19.32,Queen Elizabeth Woolwich,20.44,Princess Alexandra,21.66
DA1 3LD,51.444759,0.182007,South,Darent Valley,5.41,Darent Valley,5.41,Queen Elizabeth Woolwich,9.81,Kings College Hospital,19.16
DA1 3NP,51.448815,0.185827,South,Darent Valley,5.26,Darent Valley,5.26,Queen Elizabeth Woolwich,9.89,Kings College Hospital,19.36
DA1 3NR,51.445437,0.184716,South,Darent Valley,5.24,Darent Valley,5.24,Queen Elizabeth Woolwich,9.95,Kings College Hospital,19.33
DA1 3NS,51.447625,0.186475,South,Darent Valley,5.18,Darent Valley,5.18,Queen Elizabeth Woolwich,9.98,Kings College Hospital,19.42
DA1 3NT,51.447437,0.186898,South,Darent Valley,5.15,Darent Valley,5.15,Queen Elizabeth Woolwich,10.01,Kings College Hospital,19.46
DA1 3NW,51.44909,0.186027,South,Darent Valley,5.26,Darent Valley,5.26,Queen Elizabeth Woolwich,9.89,Kings College Hospital,19.37
DA1 3NX,51.446242,0.183977,South,Darent Valley,5.31,Darent Valley,5.31,Queen Elizabeth Woolwich,9.87,Kings College Hospital,19.27
DA1 3NY,51.445282,0.18383,South,Darent Valley,5.3,Darent Valley,5.3,Queen Elizabeth Woolwich,9.9,Kings College Hospital,19.27
DA1 3NZ,51.447156,0.1851,South,Darent Valley,5.26,Darent Valley,5.26,Queen Elizabeth Woolwich,9.91,Kings College Hospital,19.34
DA1 3PA,51.447371,0.185643,South,Darent Valley,5.23,Darent Valley,5.23,Queen Elizabeth Woolwich,9.93,Kings College Hospital,19.37
DA1 3PB,51.447214,0.184426,South,Darent Valley,5.31,Darent Valley,5.31,Queen Elizabeth Woolwich,9.86,Kings College Hospital,19.29
DA1 3PD,51.44664,0.184327,South,Darent Valley,5.3,Darent Valley,5.3,Queen Elizabeth Woolwich,9.88,Kings College Hospital,19.29
DA1 3PE,51.448238,0.182547,South,Darent Valley,5.46,Darent Valley,5.46,Queen Elizabeth Woolwich,9.7,Kings College Hospital,19.15
DA1 3PF,51.446147,0.181828,South,Darent Valley,5.46,Darent Valley,5.46,Queen Elizabeth Woolwich,9.74,Kings College Hospital,19.12
DA1 3PG,51.44694,0.183665,South,Darent Valley,5.35,Darent Valley,5.35,Queen Elizabeth Woolwich,9.82,Kings College Hospital,19.24
DA1 3PH,51.447889,0.184401,South,Darent Valley,5.33,Darent Valley,5.33,Queen Elizabeth Woolwich,9.83,Kings College Hospital,19.28
DA1 3PJ,51.448417,0.184513,South,Darent Valley,5.34,Darent Valley,5.34,Queen Elizabeth Woolwich,9.82,Kings College Hospital,19.28
DA1 3PL,51.449157,0.184893,South,Darent Valley,5.34,Darent Valley,5.34,Queen Elizabeth Woolwich,9.82,Kings College Hospital,19.29
DA1 3PN,51.446067,0.175967,South,Darent Valley,5.85,Darent Valley,5.85,Queen Elizabeth Woolwich,9.37,Kings College Hospital,18.72
DA1 3PP,51.448977,0.183961,South,Darent Valley,5.39,Darent Valley,5.39,Queen Elizabeth Woolwich,9.76,Kings College Hospital,19.23
