Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
CR2 5EQ,51.299321,-0.095091,South,East Surrey,10.12,Epsom Hospital,12.69,East Surrey,10.12,St. Georges Hospital,15.27
CR3 1BH,51.298862,-0.122365,South,East Surrey,9.35,Epsom Hospital,10.87,East Surrey,9.35,St. Georges Hospital,14.74
CR3 1BJ,51.300636,-0.120858,South,East Surrey,9.57,Epsom Hospital,10.91,East Surrey,9.57,St. Georges Hospital,14.57
CR3 1BL,51.30059,-0.117991,South,East Surrey,9.63,Epsom Hospital,11.11,East Surrey,9.63,St. Georges Hospital,14.63
CR3 1BN,51.300728,-0.126592,South,East Surrey,9.47,Epsom Hospital,10.53,East Surrey,9.47,St. Georges Hospital,14.47
CR3 1BP,51.298931,-0.126665,South,East Surrey,9.28,Epsom Hospital,10.58,East Surrey,9.28,St. Georges Hospital,14.66
CR3 1BQ,51.300659,-0.122291,South,East Surrey,9.54,Epsom Hospital,10.82,East Surrey,9.54,St. Georges Hospital,14.55
CR3 1BR,51.298908,-0.125232,South,East Surrey,9.3,Epsom Hospital,10.67,East Surrey,9.3,St. Georges Hospital,14.69
CR3 1BS,51.299738,-0.120894,South,East Surrey,9.48,Epsom Hospital,10.94,East Surrey,9.48,St. Georges Hospital,14.67
CR3 1BT,51.298839,-0.120931,South,East Surrey,9.38,Epsom Hospital,10.96,East Surrey,9.38,St. Georges Hospital,14.77
CR3 1BU,51.298885,-0.123798,South,East Surrey,9.33,Epsom Hospital,10.77,East Surrey,9.33,St. Georges Hospital,14.71
CR3 1BW,51.298839,-0.120931,South,East Surrey,9.38,Epsom Hospital,10.96,East Surrey,9.38,St. Georges Hospital,14.77
CR3 1BX,51.298885,-0.123798,South,East Surrey,9.33,Epsom Hospital,10.77,East Surrey,9.33,St. Georges Hospital,14.71
CR3 1BY,51.300636,-0.120858,South,East Surrey,9.57,Epsom Hospital,10.91,East Surrey,9.57,St. Georges Hospital,14.57
