Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
CM23 3WE,51.528566,-0.116476,South,Evelina (St Thomas'),3.15,West Middlesex,15.68,University Lewisham,10.81,Evelina (St Thomas'),3.15
SE1 0AA,51.498708,-0.101772,South,Evelina (St Thomas'),1.2,West Middlesex,15.71,University Lewisham,7.7,Evelina (St Thomas'),1.2
SE1 0AB,51.504038,-0.095542,South,Evelina (St Thomas'),1.67,West Middlesex,16.24,University Lewisham,7.8,Evelina (St Thomas'),1.67
SE1 0AD,51.499568,-0.101016,South,Evelina (St Thomas'),1.24,West Middlesex,15.77,University Lewisham,7.72,Evelina (St Thomas'),1.24
SE1 0AE,51.498575,-0.104112,South,Evelina (St Thomas'),1.04,West Middlesex,15.54,University Lewisham,7.81,Evelina (St Thomas'),1.04
SE1 0AF,51.498206,-0.104098,South,Evelina (St Thomas'),1.05,West Middlesex,15.54,University Lewisham,7.78,Evelina (St Thomas'),1.05
SE1 0AG,51.499201,-0.102677,South,Evelina (St Thomas'),1.13,West Middlesex,15.65,University Lewisham,7.78,Evelina (St Thomas'),1.13
SE1 0AH,51.499034,-0.102508,South,Evelina (St Thomas'),1.14,West Middlesex,15.66,University Lewisham,7.76,Evelina (St Thomas'),1.14
SE1 0AJ,51.49918,-0.100399,South,Evelina (St Thomas'),1.29,West Middlesex,15.81,University Lewisham,7.66,Evelina (St Thomas'),1.29
SE1 0AL,51.504758,-0.096103,South,Evelina (St Thomas'),1.65,West Middlesex,16.22,University Lewisham,7.89,Evelina (St Thomas'),1.65
SE1 0AN,51.499042,-0.103516,South,Evelina (St Thomas'),1.07,West Middlesex,15.59,University Lewisham,7.81,Evelina (St Thomas'),1.07
SE1 0AP,51.498961,-0.105234,South,Evelina (St Thomas'),0.96,West Middlesex,15.48,University Lewisham,7.9,Evelina (St Thomas'),0.96
SE1 0AQ,51.49928,-0.102138,South,Evelina (St Thomas'),1.17,West Middlesex,15.69,University Lewisham,7.76,Evelina (St Thomas'),1.17
SE1 0AR,51.504038,-0.095963,South,Evelina (St Thomas'),1.64,West Middlesex,16.22,University Lewisham,7.82,Evelina (St Thomas'),1.64
SE1 0AS,51.503409,-0.09613,South,Evelina (St Thomas'),1.61,West Middlesex,16.19,University Lewisham,7.78,Evelina (St Thomas'),1.61
SE1 0AT,51.503555,-0.09624,South,Evelina (St Thomas'),1.61,West Middlesex,16.19,University Lewisham,7.79,Evelina (St Thomas'),1.61
SE1 0AU,51.503481,-0.096675,South,Evelina (St Thomas'),1.58,West Middlesex,16.15,University Lewisham,7.81,Evelina (St Thomas'),1.58
SE1 0AW,51.502582,-0.096712,South,Evelina (St Thomas'),1.56,West Middlesex,16.13,University Lewisham,7.74,Evelina (St Thomas'),1.56
SE1 0AX,51.503469,-0.095267,South,Evelina (St Thomas'),1.67,West Middlesex,16.25,University Lewisham,7.74,Evelina (St Thomas'),1.67
SE1 0AY,51.503481,-0.096675,South,Evelina (St Thomas'),1.58,West Middlesex,16.15,University Lewisham,7.81,Evelina (St Thomas'),1.58
SE1 0AZ,51.50366,-0.096048,South,Evelina (St Thomas'),1.63,West Middlesex,16.2,University Lewisham,7.79,Evelina (St Thomas'),1.63
SE1 0BA,51.50296,-0.100587,South,Evelina (St Thomas'),1.3,West Middlesex,15.88,University Lewisham,7.96,Evelina (St Thomas'),1.3
SE1 0BB,51.502475,-0.101072,South,Evelina (St Thomas'),1.26,West Middlesex,15.83,University Lewisham,7.95,Evelina (St Thomas'),1.26
SE1 0BD,51.502474,-0.101097,South,Evelina (St Thomas'),1.26,West Middlesex,15.83,University Lewisham,7.95,Evelina (St Thomas'),1.26
SE1 0BE,51.501741,-0.10084,South,Evelina (St Thomas'),1.26,West Middlesex,15.83,University Lewisham,7.88,Evelina (St Thomas'),1.26
SE1 0BF,51.502474,-0.101097,South,Evelina (St Thomas'),1.26,West Middlesex,15.83,University Lewisham,7.95,Evelina (St Thomas'),1.26
SE1 0BG,51.501754,-0.10107,South,Evelina (St Thomas'),1.24,West Middlesex,15.82,University Lewisham,7.89,Evelina (St Thomas'),1.24
SE1 0BH,51.502282,-0.102575,South,Evelina (St Thomas'),1.15,West Middlesex,15.73,University Lewisham,8.01,Evelina (St Thomas'),1.15
SE1 0BJ,51.501945,-0.102891,South,Evelina (St Thomas'),1.12,West Middlesex,15.7,University Lewisham,8.0,Evelina (St Thomas'),1.12
SE1 0BL,51.503102,-0.10159,South,Evelina (St Thomas'),1.24,West Middlesex,15.81,University Lewisham,8.02,Evelina (St Thomas'),1.24
SE1 0BN,51.502676,-0.102472,South,Evelina (St Thomas'),1.17,West Middlesex,15.74,University Lewisham,8.03,Evelina (St Thomas'),1.17
SE1 0BP,51.498364,-0.102795,South,Evelina (St Thomas'),1.14,West Middlesex,15.63,University Lewisham,7.72,Evelina (St Thomas'),1.14
SE1 0BQ,51.501249,-0.098785,South,Evelina (St Thomas'),1.4,West Middlesex,15.96,University Lewisham,7.74,Evelina (St Thomas'),1.4
SE1 0BS,51.503585,-0.100864,South,Evelina (St Thomas'),1.3,West Middlesex,15.87,University Lewisham,8.02,Evelina (St Thomas'),1.3
SE1 0BT,51.502556,-0.100647,South,Evelina (St Thomas'),1.29,West Middlesex,15.86,University Lewisham,7.93,Evelina (St Thomas'),1.29
SE1 0BU,51.501466,-0.099381,South,Evelina (St Thomas'),1.36,West Middlesex,15.93,University Lewisham,7.78,Evelina (St Thomas'),1.36
SE1 0BW,51.501857,-0.103572,South,Evelina (St Thomas'),1.08,West Middlesex,15.65,University Lewisham,8.02,Evelina (St Thomas'),1.08
SE1 0BX,51.50117,-0.098875,South,Evelina (St Thomas'),1.39,West Middlesex,15.95,University Lewisham,7.74,Evelina (St Thomas'),1.39
SE1 0BY,51.502558,-0.102419,South,Evelina (St Thomas'),1.17,West Middlesex,15.74,University Lewisham,8.02,Evelina (St Thomas'),1.17
SE1 0BZ,51.502786,-0.10205,South,Evelina (St Thomas'),1.2,West Middlesex,15.77,University Lewisham,8.02,Evelina (St Thomas'),1.2
SE1 0DA,51.50173,-0.09963,South,Evelina (St Thomas'),1.34,West Middlesex,15.91,University Lewisham,7.82,Evelina (St Thomas'),1.34
SE1 0DB,51.503029,-0.100959,South,Evelina (St Thomas'),1.28,West Middlesex,15.85,University Lewisham,7.98,Evelina (St Thomas'),1.28
SE1 0DD,51.498163,-0.102573,South,Evelina (St Thomas'),1.15,West Middlesex,15.64,University Lewisham,7.7,Evelina (St Thomas'),1.15
SE1 0DE,51.492762,-0.080152,South,Evelina (St Thomas'),2.81,West Middlesex,17.09,University Lewisham,6.16,Evelina (St Thomas'),2.81
SE1 0DF,51.502786,-0.10205,South,Evelina (St Thomas'),1.2,West Middlesex,15.77,University Lewisham,8.02,Evelina (St Thomas'),1.2
SE1 0DG,51.500116,-0.099884,South,Evelina (St Thomas'),1.32,West Middlesex,15.86,University Lewisham,7.71,Evelina (St Thomas'),1.32
SE1 0DH,51.49997,-0.100294,South,Evelina (St Thomas'),1.29,West Middlesex,15.83,University Lewisham,7.72,Evelina (St Thomas'),1.29
SE1 0DJ,51.503183,-0.101068,South,Evelina (St Thomas'),1.28,West Middlesex,15.85,University Lewisham,8.0,Evelina (St Thomas'),1.28
SE1 0DL,51.499917,-0.100944,South,Evelina (St Thomas'),1.24,West Middlesex,15.79,University Lewisham,7.74,Evelina (St Thomas'),1.24
SE1 0DN,51.499731,-0.099425,South,Evelina (St Thomas'),1.35,West Middlesex,15.89,University Lewisham,7.65,Evelina (St Thomas'),1.35
SE1 0DP,51.500267,-0.101996,South,Evelina (St Thomas'),1.17,West Middlesex,15.72,University Lewisham,7.82,Evelina (St Thomas'),1.17
SE1 0DQ,51.500302,-0.100294,South,Evelina (St Thomas'),1.29,West Middlesex,15.84,University Lewisham,7.74,Evelina (St Thomas'),1.29
SE1 0DR,51.499956,-0.101144,South,Evelina (St Thomas'),1.23,West Middlesex,15.77,University Lewisham,7.76,Evelina (St Thomas'),1.23
SE1 0DS,51.499058,-0.101182,South,Evelina (St Thomas'),1.23,West Middlesex,15.75,University Lewisham,7.69,Evelina (St Thomas'),1.23
SE1 0DT,51.500653,-0.098637,South,Evelina (St Thomas'),1.4,West Middlesex,15.96,University Lewisham,7.68,Evelina (St Thomas'),1.4
SE1 0DU,51.499058,-0.101182,South,Evelina (St Thomas'),1.23,West Middlesex,15.75,University Lewisham,7.69,Evelina (St Thomas'),1.23
SE1 0DW,51.500267,-0.101996,South,Evelina (St Thomas'),1.17,West Middlesex,15.72,University Lewisham,7.82,Evelina (St Thomas'),1.17
SE1 0DX,51.502983,-0.10037,South,Evelina (St Thomas'),1.32,West Middlesex,15.89,University Lewisham,7.95,Evelina (St Thomas'),1.32
SE1 0DY,51.503197,-0.100217,South,Evelina (St Thomas'),1.33,West Middlesex,15.91,University Lewisham,7.96,Evelina (St Thomas'),1.33
SE1 0DZ,51.49998,-0.102584,South,Evelina (St Thomas'),1.13,West Middlesex,15.68,University Lewisham,7.83,Evelina (St Thomas'),1.13
