Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
E1 8PQ,51.534599,-0.03678,North,Homerton University,1.92,North Middlesex,9.1,Newham General,5.15,Homerton University,1.92
E10 5BY,51.558996,-0.01605,North,Homerton University,2.28,North Middlesex,7.21,Whipps Cross,2.5,Homerton University,2.28
E10 5FA,51.557288,-0.011668,North,Homerton University,2.49,North Middlesex,7.53,Whipps Cross,2.54,Homerton University,2.49
E10 5HL,51.563342,-0.021502,North,Homerton University,2.2,North Middlesex,6.6,Whipps Cross,2.34,Homerton University,2.2
E10 5LA,51.561525,-0.017787,North,Homerton University,2.3,North Middlesex,6.91,Whipps Cross,2.33,Homerton University,2.3
E10 5LB,51.561525,-0.017787,North,Homerton University,2.3,North Middlesex,6.91,Whipps Cross,2.33,Homerton University,2.3
E10 5NB,51.559332,-0.015184,North,Homerton University,2.34,North Middlesex,7.21,Whipps Cross,2.44,Homerton University,2.34
E10 5NL,51.557619,-0.013183,North,Homerton University,2.41,North Middlesex,7.44,Whipps Cross,2.55,Homerton University,2.41
E10 5NT,51.556746,-0.010623,North,Homerton University,2.55,North Middlesex,7.62,Whipps Cross,2.57,Homerton University,2.55
E10 5NX,51.556509,-0.012552,North,Homerton University,2.41,North Middlesex,7.57,Whipps Cross,2.64,Homerton University,2.41
E10 5PA,51.555211,-0.016619,North,Homerton University,2.1,North Middlesex,7.54,Whipps Cross,2.89,Homerton University,2.1
E10 5PB,51.555687,-0.014839,North,Homerton University,2.24,North Middlesex,7.56,Whipps Cross,2.79,Homerton University,2.24
E10 5PD,51.557327,-0.011982,North,Homerton University,2.47,North Middlesex,7.52,Whipps Cross,2.54,Homerton University,2.47
E10 5PF,51.558228,-0.013169,North,Homerton University,2.43,North Middlesex,7.39,Whipps Cross,2.49,Homerton University,2.43
E10 5PG,51.557445,-0.01153,North,Homerton University,2.51,North Middlesex,7.52,Whipps Cross,2.52,Homerton University,2.51
