Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
E11 4WH,51.532095,-0.005181,North,Newham General,2.99,North Middlesex,10.17,Newham General,2.99,Homerton University,3.52
E11 4WL,51.532095,-0.005181,North,Newham General,2.99,North Middlesex,10.17,Newham General,2.99,Homerton University,3.52
E12 5AA,51.551884,0.0462,North,Newham General,3.38,North Middlesex,10.7,Newham General,3.38,Homerton University,6.39
E12 5AB,51.551258,0.045479,North,Newham General,3.3,North Middlesex,10.71,Newham General,3.3,Homerton University,6.34
E12 5AD,51.55002,0.045407,North,Newham General,3.17,North Middlesex,10.79,Newham General,3.17,Homerton University,6.33
E12 5AE,51.554565,0.062044,North,Newham General,4.05,North Middlesex,11.39,Newham General,4.05,Homerton University,7.5
E12 5AF,51.549788,0.045786,North,Newham General,3.15,North Middlesex,10.83,Newham General,3.15,Homerton University,6.36
E12 5AG,51.550527,0.046644,North,Newham General,3.24,North Middlesex,10.82,Newham General,3.24,Homerton University,6.42
E12 5AH,51.554681,0.062626,North,Newham General,4.08,North Middlesex,11.41,Newham General,4.08,Homerton University,7.54
E12 5AJ,51.55184,0.051304,North,Newham General,3.47,North Middlesex,10.98,Newham General,3.47,Homerton University,6.74
E12 5AL,51.552005,0.051124,North,Newham General,3.49,North Middlesex,10.95,Newham General,3.49,Homerton University,6.73
E12 5AN,51.552115,0.051013,North,Newham General,3.5,North Middlesex,10.94,Newham General,3.5,Homerton University,6.72
E12 5AP,51.551376,0.049567,North,Newham General,3.39,North Middlesex,10.91,Newham General,3.39,Homerton University,6.62
E12 5AQ,51.550903,0.048839,North,Newham General,3.32,North Middlesex,10.91,Newham General,3.32,Homerton University,6.57
E12 5AR,51.551401,0.048125,North,Newham General,3.36,North Middlesex,10.84,Newham General,3.36,Homerton University,6.52
E12 5AS,51.551401,0.048125,North,Newham General,3.36,North Middlesex,10.84,Newham General,3.36,Homerton University,6.52
E12 5AT,51.551228,0.046156,North,Newham General,3.31,North Middlesex,10.74,Newham General,3.31,Homerton University,6.39
E12 5AU,51.551441,0.046338,North,Newham General,3.33,North Middlesex,10.74,Newham General,3.33,Homerton University,6.4
E12 5AW,51.551557,0.049068,North,Newham General,3.4,North Middlesex,10.88,Newham General,3.4,Homerton University,6.59
E12 5AX,51.551404,0.042255,North,Newham General,3.27,North Middlesex,10.53,Newham General,3.27,Homerton University,6.12
E12 5AY,51.551136,0.042675,North,Newham General,3.25,North Middlesex,10.57,Newham General,3.25,Homerton University,6.15
E12 5AZ,51.55061,0.041916,North,Newham General,3.18,North Middlesex,10.57,Newham General,3.18,Homerton University,6.09
E12 5BA,51.549679,0.043721,North,Newham General,3.1,North Middlesex,10.73,Newham General,3.1,Homerton University,6.22
E12 5BB,51.550259,0.040876,North,Newham General,3.14,North Middlesex,10.54,Newham General,3.14,Homerton University,6.02
E12 5BD,51.550574,0.042924,North,Newham General,3.19,North Middlesex,10.62,Newham General,3.19,Homerton University,6.16
E12 5BE,51.550474,0.043482,North,Newham General,3.19,North Middlesex,10.66,Newham General,3.19,Homerton University,6.2
E12 5BF,51.552804,0.063998,North,Newham General,3.94,North Middlesex,11.61,Newham General,3.94,Homerton University,7.62
E12 5BG,51.550612,0.044368,North,Newham General,3.21,North Middlesex,10.69,Newham General,3.21,Homerton University,6.26
E12 5BH,51.550826,0.039329,North,Newham General,3.19,North Middlesex,10.42,Newham General,3.19,Homerton University,5.91
E12 5BJ,51.551501,0.04236,North,Newham General,3.29,North Middlesex,10.52,Newham General,3.29,Homerton University,6.12
E12 5BL,51.551501,0.04236,North,Newham General,3.29,North Middlesex,10.52,Newham General,3.29,Homerton University,6.12
E12 5BN,51.552362,0.064093,North,Newham General,3.9,North Middlesex,11.65,Newham General,3.9,Homerton University,7.63
E12 5BP,51.55163,0.046837,North,Newham General,3.36,North Middlesex,10.75,Newham General,3.36,Homerton University,6.43
E12 5BQ,51.550628,0.040878,North,Newham General,3.18,North Middlesex,10.51,Newham General,3.18,Homerton University,6.02
E12 5BS,51.551315,0.046866,North,Newham General,3.33,North Middlesex,10.77,Newham General,3.33,Homerton University,6.44
E12 5BT,51.551786,0.047261,North,Newham General,3.39,North Middlesex,10.76,Newham General,3.39,Homerton University,6.46
E12 5BU,51.552366,0.046899,North,Newham General,3.44,North Middlesex,10.7,Newham General,3.44,Homerton University,6.44
E12 5BW,51.553687,0.043886,North,Newham General,3.54,North Middlesex,10.45,Newham General,3.54,Homerton University,6.24
