Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
HA0 1AA,51.54007,-0.30348,North,Northwick Park,4.27,West Middlesex,7.57,Northwick Park,4.27,Queen Charlottes',5.31
HA0 1AB,51.539777,-0.303116,North,Northwick Park,4.31,West Middlesex,7.54,Northwick Park,4.31,Queen Charlottes',5.27
HA0 1AD,51.540411,-0.303425,North,Northwick Park,4.24,West Middlesex,7.61,Northwick Park,4.24,Queen Charlottes',5.32
HA0 1AE,51.540881,-0.305469,North,Northwick Park,4.15,West Middlesex,7.63,Northwick Park,4.15,Queen Charlottes',5.47
HA0 1AF,51.542582,-0.30617,North,Northwick Park,3.95,West Middlesex,7.81,Northwick Park,3.95,Queen Charlottes',5.61
HA0 1AG,51.540857,-0.305658,North,Northwick Park,4.15,West Middlesex,7.63,Northwick Park,4.15,Queen Charlottes',5.48
HA0 1AH,51.542914,-0.305495,North,Northwick Park,3.93,West Middlesex,7.86,Northwick Park,3.93,Queen Charlottes',5.59
HA0 1AJ,51.541706,-0.30331,North,Northwick Park,4.1,West Middlesex,7.75,Northwick Park,4.1,Queen Charlottes',5.39
HA0 1AL,51.547777,-0.312886,North,Northwick Park,3.28,West Middlesex,8.32,Northwick Park,3.28,Queen Charlottes',6.31
HA0 1AN,51.540269,-0.302195,North,Northwick Park,4.28,West Middlesex,7.61,Northwick Park,4.28,Queen Charlottes',5.24
HA0 1AP,51.543084,-0.304825,North,Northwick Park,3.93,West Middlesex,7.88,Northwick Park,3.93,Queen Charlottes',5.56
HA0 1AQ,51.541341,-0.30365,North,Northwick Park,4.14,West Middlesex,7.71,Northwick Park,4.14,Queen Charlottes',5.39
HA0 1AR,51.545148,-0.306392,North,Northwick Park,3.67,West Middlesex,8.09,Northwick Park,3.67,Queen Charlottes',5.77
HA0 1AS,51.546668,-0.308297,North,Northwick Park,3.47,West Middlesex,8.24,Northwick Park,3.47,Queen Charlottes',5.97
HA0 1AT,51.54761,-0.310599,North,Northwick Park,3.33,West Middlesex,8.32,Northwick Park,3.33,Queen Charlottes',6.16
HA0 1AU,51.548318,-0.311683,North,Northwick Park,3.24,West Middlesex,8.39,Northwick Park,3.24,Queen Charlottes',6.27
HA0 1AW,51.541103,-0.301495,North,Northwick Park,4.21,West Middlesex,7.71,Northwick Park,4.21,Queen Charlottes',5.25
HA0 1AX,51.548672,-0.312593,North,Northwick Park,3.19,West Middlesex,8.42,Northwick Park,3.19,Queen Charlottes',6.34
HA0 1AY,51.548674,-0.31257,North,Northwick Park,3.19,West Middlesex,8.42,Northwick Park,3.19,Queen Charlottes',6.34
HA0 1AZ,51.539868,-0.305694,North,Northwick Park,4.25,West Middlesex,7.52,Northwick Park,4.25,Queen Charlottes',5.43
HA0 1BA,51.538576,-0.304646,North,Northwick Park,4.41,West Middlesex,7.39,Northwick Park,4.41,Queen Charlottes',5.3
HA0 1BB,51.551185,-0.307235,North,Northwick Park,3.02,West Middlesex,8.75,Northwick Park,3.02,Queen Charlottes',6.21
HA0 1BD,51.539937,-0.30425,North,Northwick Park,4.27,West Middlesex,7.55,Northwick Park,4.27,Queen Charlottes',5.35
HA0 1BE,51.539018,-0.302842,North,Northwick Park,4.4,West Middlesex,7.47,Northwick Park,4.4,Queen Charlottes',5.21
HA0 1BF,51.539018,-0.302842,North,Northwick Park,4.4,West Middlesex,7.47,Northwick Park,4.4,Queen Charlottes',5.21
HA0 1BG,51.539775,-0.301747,North,Northwick Park,4.34,West Middlesex,7.56,Northwick Park,4.34,Queen Charlottes',5.19
HA0 1BH,51.53772,-0.300632,North,Northwick Park,4.58,West Middlesex,7.36,Northwick Park,4.58,Queen Charlottes',5.01
HA0 1BJ,51.541116,-0.304884,North,Northwick Park,4.13,West Middlesex,7.67,Northwick Park,4.13,Queen Charlottes',5.45
HA0 1BL,51.541328,-0.304616,North,Northwick Park,4.12,West Middlesex,7.69,Northwick Park,4.12,Queen Charlottes',5.44
HA0 1BN,51.538716,-0.305622,North,Northwick Park,4.38,West Middlesex,7.4,Northwick Park,4.38,Queen Charlottes',5.37
HA0 1BP,51.538465,-0.305025,North,Northwick Park,4.41,West Middlesex,7.38,Northwick Park,4.41,Queen Charlottes',5.32
HA0 1BQ,51.551408,-0.306477,North,Northwick Park,3.02,West Middlesex,8.78,Northwick Park,3.02,Queen Charlottes',6.18
HA0 1BS,51.540334,-0.306787,North,Northwick Park,4.18,West Middlesex,7.56,Northwick Park,4.18,Queen Charlottes',5.52
HA0 1BT,51.540801,-0.30677,North,Northwick Park,4.13,West Middlesex,7.61,Northwick Park,4.13,Queen Charlottes',5.55
HA0 1BU,51.539985,-0.30569,North,Northwick Park,4.24,West Middlesex,7.53,Northwick Park,4.24,Queen Charlottes',5.44
HA0 1BW,51.538131,-0.306191,North,Northwick Park,4.43,West Middlesex,7.32,Northwick Park,4.43,Queen Charlottes',5.37
HA0 1BX,51.537266,-0.304219,North,Northwick Park,4.56,West Middlesex,7.26,Northwick Park,4.56,Queen Charlottes',5.21
HA0 1BY,51.537178,-0.304972,North,Northwick Park,4.55,West Middlesex,7.24,Northwick Park,4.55,Queen Charlottes',5.25
HA0 1BZ,51.54366,-0.306116,North,Northwick Park,3.84,West Middlesex,7.93,Northwick Park,3.84,Queen Charlottes',5.67
HA0 1DA,51.538517,-0.295579,North,Northwick Park,4.63,West Middlesex,7.53,Northwick Park,4.63,Queen Charlottes',4.75
HA0 1DB,51.539143,-0.304669,North,Northwick Park,4.35,West Middlesex,7.45,Northwick Park,4.35,Queen Charlottes',5.33
HA0 1DD,51.535487,-0.306189,North,Northwick Park,4.71,West Middlesex,7.04,Northwick Park,4.71,Queen Charlottes',5.25
HA0 1DE,51.536786,-0.306319,North,Northwick Park,4.57,West Middlesex,7.18,Northwick Park,4.57,Queen Charlottes',5.32
HA0 1DF,51.535915,-0.307773,North,Northwick Park,4.64,West Middlesex,7.06,Northwick Park,4.64,Queen Charlottes',5.37
HA0 1DG,51.53567,-0.308258,North,Northwick Park,4.66,West Middlesex,7.03,Northwick Park,4.66,Queen Charlottes',5.39
HA0 1DH,51.534595,-0.307274,North,Northwick Park,4.79,West Middlesex,6.92,Northwick Park,4.79,Queen Charlottes',5.28
HA0 1DJ,51.534667,-0.306666,North,Northwick Park,4.8,West Middlesex,6.94,Northwick Park,4.8,Queen Charlottes',5.25
HA0 1DL,51.534221,-0.308168,North,Northwick Park,4.82,West Middlesex,6.87,Northwick Park,4.82,Queen Charlottes',5.33
HA0 1DN,51.534488,-0.308634,North,Northwick Park,4.79,West Middlesex,6.9,Northwick Park,4.79,Queen Charlottes',5.37
HA0 1DP,51.535129,-0.309374,North,Northwick Park,4.71,West Middlesex,6.96,Northwick Park,4.71,Queen Charlottes',5.44
HA0 1DQ,51.536911,-0.30765,North,Northwick Park,4.54,West Middlesex,7.17,Northwick Park,4.54,Queen Charlottes',5.41
HA0 1DR,51.535721,-0.306829,North,Northwick Park,4.68,West Middlesex,7.05,Northwick Park,4.68,Queen Charlottes',5.3
HA0 1DS,51.535844,-0.307257,North,Northwick Park,4.66,West Middlesex,7.06,Northwick Park,4.66,Queen Charlottes',5.34
HA0 1DT,51.533831,-0.308543,North,Northwick Park,4.86,West Middlesex,6.83,Northwick Park,4.86,Queen Charlottes',5.34
HA0 1DU,51.533622,-0.30904,North,Northwick Park,4.88,West Middlesex,6.8,Northwick Park,4.88,Queen Charlottes',5.36
HA0 1DW,51.534838,-0.309183,North,Northwick Park,4.74,West Middlesex,6.93,Northwick Park,4.74,Queen Charlottes',5.42
HA0 1DX,51.533218,-0.305941,North,Northwick Park,4.96,West Middlesex,6.79,Northwick Park,4.96,Queen Charlottes',5.14
HA0 1DY,51.533625,-0.303042,North,Northwick Park,4.97,West Middlesex,6.88,Northwick Park,4.97,Queen Charlottes',4.97
HA0 1DZ,51.533821,-0.302905,North,Northwick Park,4.95,West Middlesex,6.9,Northwick Park,4.95,Queen Charlottes',4.97
HA0 1EA,51.532771,-0.306174,North,Northwick Park,5.01,West Middlesex,6.74,Northwick Park,5.01,Queen Charlottes',5.14
HA0 1EB,51.533605,-0.306013,North,Northwick Park,4.92,West Middlesex,6.83,Northwick Park,4.92,Queen Charlottes',5.16
HA0 1ED,51.537241,-0.30435,North,Northwick Park,4.56,West Middlesex,7.25,Northwick Park,4.56,Queen Charlottes',5.22
HA0 1EE,51.537434,-0.304025,North,Northwick Park,4.54,West Middlesex,7.28,Northwick Park,4.54,Queen Charlottes',5.21
HA0 1EF,51.537484,-0.303706,North,Northwick Park,4.54,West Middlesex,7.29,Northwick Park,4.54,Queen Charlottes',5.19
HA0 1EG,51.539896,-0.301367,North,Northwick Park,4.34,West Middlesex,7.58,Northwick Park,4.34,Queen Charlottes',5.17
HA0 1EH,51.539828,-0.301673,North,Northwick Park,4.34,West Middlesex,7.57,Northwick Park,4.34,Queen Charlottes',5.18
HA0 1EN,51.534545,-0.30445,North,Northwick Park,4.85,West Middlesex,6.96,Northwick Park,4.85,Queen Charlottes',5.1
HA0 1EP,51.541931,-0.3022,North,Northwick Park,4.11,West Middlesex,7.79,Northwick Park,4.11,Queen Charlottes',5.33
HA0 1EQ,51.538517,-0.295579,North,Northwick Park,4.63,West Middlesex,7.53,Northwick Park,4.63,Queen Charlottes',4.75
HA0 1ER,51.533405,-0.305242,North,Northwick Park,4.95,West Middlesex,6.82,Northwick Park,4.95,Queen Charlottes',5.11
