Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
BR7 5EW,51.426915,0.054234,South,Queen Elizabeth Woolwich,5.77,Darent Valley,14.2,Queen Elizabeth Woolwich,5.77,Kings College Hospital,11.12
BR7 6AL,51.42576,0.055449,South,Queen Elizabeth Woolwich,5.9,Darent Valley,14.12,Queen Elizabeth Woolwich,5.9,Kings College Hospital,11.25
BR7 6AU,51.424202,0.066857,South,Queen Elizabeth Woolwich,6.16,Darent Valley,13.35,Queen Elizabeth Woolwich,6.16,Kings College Hospital,12.05
BR7 6AX,51.424492,0.065173,South,Queen Elizabeth Woolwich,6.11,Darent Valley,13.46,Queen Elizabeth Woolwich,6.11,Kings College Hospital,11.93
BR7 6AY,51.424807,0.065705,South,Queen Elizabeth Woolwich,6.09,Darent Valley,13.42,Queen Elizabeth Woolwich,6.09,Kings College Hospital,11.95
BR7 6AZ,51.422647,0.067808,South,Queen Elizabeth Woolwich,6.35,Darent Valley,13.3,Queen Elizabeth Woolwich,6.35,Kings College Hospital,12.18
BR7 6BL,51.423679,0.071509,South,Queen Elizabeth Woolwich,6.29,Darent Valley,13.03,Queen Elizabeth Woolwich,6.29,Kings College Hospital,12.36
BR7 6BN,51.423178,0.071889,South,Queen Elizabeth Woolwich,6.35,Darent Valley,13.01,Queen Elizabeth Woolwich,6.35,Kings College Hospital,12.41
BR7 6BP,51.422961,0.069908,South,Queen Elizabeth Woolwich,6.34,Darent Valley,13.15,Queen Elizabeth Woolwich,6.34,Kings College Hospital,12.29
BR7 6DG,51.422396,0.061163,South,Queen Elizabeth Woolwich,6.31,Darent Valley,13.76,Queen Elizabeth Woolwich,6.31,Kings College Hospital,11.77
BR7 6DH,51.425945,0.056205,South,Queen Elizabeth Woolwich,5.89,Darent Valley,14.07,Queen Elizabeth Woolwich,5.89,Kings College Hospital,11.29
BR7 6DJ,51.424049,0.05973,South,Queen Elizabeth Woolwich,6.12,Darent Valley,13.84,Queen Elizabeth Woolwich,6.12,Kings College Hospital,11.6
BR7 6DL,51.422806,0.061328,South,Queen Elizabeth Woolwich,6.26,Darent Valley,13.75,Queen Elizabeth Woolwich,6.26,Kings College Hospital,11.76
BR7 6DN,51.42511,0.061749,South,Queen Elizabeth Woolwich,6.01,Darent Valley,13.69,Queen Elizabeth Woolwich,6.01,Kings College Hospital,11.68
BR7 6DP,51.422808,0.060247,South,Queen Elizabeth Woolwich,6.26,Darent Valley,13.82,Queen Elizabeth Woolwich,6.26,Kings College Hospital,11.69
BR7 6DQ,51.423905,0.059206,South,Queen Elizabeth Woolwich,6.13,Darent Valley,13.88,Queen Elizabeth Woolwich,6.13,Kings College Hospital,11.58
BR7 6DR,51.424756,0.062941,South,Queen Elizabeth Woolwich,6.06,Darent Valley,13.61,Queen Elizabeth Woolwich,6.06,Kings College Hospital,11.77
BR7 6DS,51.424266,0.062703,South,Queen Elizabeth Woolwich,6.11,Darent Valley,13.64,Queen Elizabeth Woolwich,6.11,Kings College Hospital,11.78
BR7 6DT,51.423968,0.061755,South,Queen Elizabeth Woolwich,6.14,Darent Valley,13.7,Queen Elizabeth Woolwich,6.14,Kings College Hospital,11.73
BR7 6DU,51.424529,0.061579,South,Queen Elizabeth Woolwich,6.08,Darent Valley,13.71,Queen Elizabeth Woolwich,6.08,Kings College Hospital,11.7
BR7 6DW,51.425062,0.062451,South,Queen Elizabeth Woolwich,6.02,Darent Valley,13.65,Queen Elizabeth Woolwich,6.02,Kings College Hospital,11.73
BR7 6DX,51.424125,0.060482,South,Queen Elizabeth Woolwich,6.11,Darent Valley,13.79,Queen Elizabeth Woolwich,6.11,Kings College Hospital,11.65
BR7 6DY,51.423443,0.05733,South,Queen Elizabeth Woolwich,6.17,Darent Valley,14.02,Queen Elizabeth Woolwich,6.17,Kings College Hospital,11.48
BR7 6EJ,51.424326,0.056233,South,Queen Elizabeth Woolwich,6.07,Darent Valley,14.08,Queen Elizabeth Woolwich,6.07,Kings College Hospital,11.37
BR7 6EN,51.424526,0.056616,South,Queen Elizabeth Woolwich,6.05,Darent Valley,14.05,Queen Elizabeth Woolwich,6.05,Kings College Hospital,11.39
BR7 6FB,51.423596,0.058372,South,Queen Elizabeth Woolwich,6.16,Darent Valley,13.94,Queen Elizabeth Woolwich,6.16,Kings College Hospital,11.54
BR7 6HL,51.429584,0.081342,South,Queen Elizabeth Woolwich,5.85,Darent Valley,12.3,Queen Elizabeth Woolwich,5.85,Kings College Hospital,12.75
BR7 6HS,51.423006,0.068901,South,Queen Elizabeth Woolwich,6.32,Darent Valley,13.22,Queen Elizabeth Woolwich,6.32,Kings College Hospital,12.23
BR7 6HT,51.422806,0.068477,South,Queen Elizabeth Woolwich,6.34,Darent Valley,13.25,Queen Elizabeth Woolwich,6.34,Kings College Hospital,12.21
BR7 6HU,51.422686,0.06407,South,Queen Elizabeth Woolwich,6.3,Darent Valley,13.56,Queen Elizabeth Woolwich,6.3,Kings College Hospital,11.94
BR7 6HX,51.422529,0.06484,South,Queen Elizabeth Woolwich,6.33,Darent Valley,13.51,Queen Elizabeth Woolwich,6.33,Kings College Hospital,12.0
BR7 6HY,51.423169,0.063733,South,Queen Elizabeth Woolwich,6.24,Darent Valley,13.58,Queen Elizabeth Woolwich,6.24,Kings College Hospital,11.9
BR7 6HZ,51.422888,0.062799,South,Queen Elizabeth Woolwich,6.27,Darent Valley,13.64,Queen Elizabeth Woolwich,6.27,Kings College Hospital,11.85
BR7 6JE,51.423203,0.06231,South,Queen Elizabeth Woolwich,6.23,Darent Valley,13.67,Queen Elizabeth Woolwich,6.23,Kings College Hospital,11.81
BR7 6JF,51.42391,0.064039,South,Queen Elizabeth Woolwich,6.17,Darent Valley,13.55,Queen Elizabeth Woolwich,6.17,Kings College Hospital,11.88
BR7 6JG,51.42429,0.063869,South,Queen Elizabeth Woolwich,6.12,Darent Valley,13.56,Queen Elizabeth Woolwich,6.12,Kings College Hospital,11.85
BR7 6JH,51.423468,0.064609,South,Queen Elizabeth Woolwich,6.22,Darent Valley,13.51,Queen Elizabeth Woolwich,6.22,Kings College Hospital,11.94
BR7 6JJ,51.424248,0.068327,South,Queen Elizabeth Woolwich,6.18,Darent Valley,13.25,Queen Elizabeth Woolwich,6.18,Kings College Hospital,12.14
BR7 6JL,51.425962,0.06803,South,Queen Elizabeth Woolwich,5.99,Darent Valley,13.25,Queen Elizabeth Woolwich,5.99,Kings College Hospital,12.04
BR7 6JN,51.425112,0.070811,South,Queen Elizabeth Woolwich,6.12,Darent Valley,13.07,Queen Elizabeth Woolwich,6.12,Kings College Hospital,12.26
BR7 6JP,51.427154,0.075348,South,Queen Elizabeth Woolwich,5.98,Darent Valley,12.74,Queen Elizabeth Woolwich,5.98,Kings College Hospital,12.46
BR7 6JQ,51.423485,0.062107,South,Queen Elizabeth Woolwich,6.2,Darent Valley,13.69,Queen Elizabeth Woolwich,6.2,Kings College Hospital,11.78
BR7 6JR,51.428682,0.075892,South,Queen Elizabeth Woolwich,5.83,Darent Valley,12.69,Queen Elizabeth Woolwich,5.83,Kings College Hospital,12.43
BR7 6JS,51.430566,0.074151,South,Queen Elizabeth Woolwich,5.59,Darent Valley,12.8,Queen Elizabeth Woolwich,5.59,Kings College Hospital,12.25
