Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
CR2 2LD,51.340408,-0.133589,South,St Heliers Hospital,5.64,Epsom Hospital,9.79,St Heliers Hospital,5.64,St. Georges Hospital,10.08
CR2 3BE,51.334094,-0.13241,South,St Heliers Hospital,6.26,Epsom Hospital,9.78,St Heliers Hospital,6.26,St. Georges Hospital,10.77
CR2 3BF,51.334117,-0.133845,South,St Heliers Hospital,6.2,Epsom Hospital,9.68,St Heliers Hospital,6.2,St. Georges Hospital,10.74
CR2 3BJ,51.334072,-0.130976,South,St Heliers Hospital,6.31,Epsom Hospital,9.88,St Heliers Hospital,6.31,St. Georges Hospital,10.8
CR2 3BN,51.333219,-0.133881,South,St Heliers Hospital,6.28,Epsom Hospital,9.67,St Heliers Hospital,6.28,St. Georges Hospital,10.84
CR2 3DA,51.337872,-0.143742,South,St Heliers Hospital,5.48,Epsom Hospital,9.05,St Heliers Hospital,5.48,St. Georges Hospital,10.17
CR2 3DB,51.334209,-0.139583,South,St Heliers Hospital,5.98,Epsom Hospital,9.29,St Heliers Hospital,5.98,St. Georges Hospital,10.64
CR2 3DD,51.332411,-0.139656,South,St Heliers Hospital,6.15,Epsom Hospital,9.27,St Heliers Hospital,6.15,St. Georges Hospital,10.83
CR2 3DE,51.336052,-0.14238,South,St Heliers Hospital,5.7,Epsom Hospital,9.12,St Heliers Hospital,5.7,St. Georges Hospital,10.39
CR2 3DF,51.332388,-0.138222,South,St Heliers Hospital,6.2,Epsom Hospital,9.36,St Heliers Hospital,6.2,St. Georges Hospital,10.85
CR2 3DG,51.333355,-0.142489,South,St Heliers Hospital,5.96,Epsom Hospital,9.08,St Heliers Hospital,5.96,St. Georges Hospital,10.68
CR2 3DH,51.333378,-0.143924,South,St Heliers Hospital,5.91,Epsom Hospital,8.98,St Heliers Hospital,5.91,St. Georges Hospital,10.66
CR2 3DJ,51.333355,-0.142489,South,St Heliers Hospital,5.96,Epsom Hospital,9.08,St Heliers Hospital,5.96,St. Georges Hospital,10.68
CR2 3DL,51.333401,-0.145358,South,St Heliers Hospital,5.87,Epsom Hospital,8.88,St Heliers Hospital,5.87,St. Georges Hospital,10.64
CR2 3DN,51.3343,-0.145322,South,St Heliers Hospital,5.78,Epsom Hospital,8.89,St Heliers Hospital,5.78,St. Georges Hospital,10.54
CR2 3HA,51.337803,-0.139438,South,St Heliers Hospital,5.64,Epsom Hospital,9.35,St Heliers Hospital,5.64,St. Georges Hospital,10.25
CR2 3HB,51.336882,-0.13804,South,St Heliers Hospital,5.78,Epsom Hospital,9.43,St Heliers Hospital,5.78,St. Georges Hospital,10.37
CR2 3HE,51.334163,-0.136714,South,St Heliers Hospital,6.09,Epsom Hospital,9.49,St Heliers Hospital,6.09,St. Georges Hospital,10.69
