Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
TW13 4RY,51.435613,-0.438622,South,St Peters Hospital,8.88,West Middlesex,8.92,Kingston Hospital,11.15,St Peters Hospital,8.88
TW14 8PU,51.445778,-0.453083,South,St Peters Hospital,9.14,West Middlesex,9.39,Kingston Hospital,12.39,St Peters Hospital,9.14
TW14 8PY,51.440385,-0.453265,South,St Peters Hospital,8.64,West Middlesex,9.62,Kingston Hospital,12.25,St Peters Hospital,8.64
TW14 8PZ,51.440385,-0.453265,South,St Peters Hospital,8.64,West Middlesex,9.62,Kingston Hospital,12.25,St Peters Hospital,8.64
TW14 8QA,51.441237,-0.452438,South,St Peters Hospital,8.75,West Middlesex,9.53,Kingston Hospital,12.22,St Peters Hospital,8.75
TW14 8QB,51.444898,-0.454551,South,St Peters Hospital,9.0,West Middlesex,9.52,Kingston Hospital,12.46,St Peters Hospital,9.0
TW14 8QD,51.445797,-0.454521,South,St Peters Hospital,9.09,West Middlesex,9.49,Kingston Hospital,12.49,St Peters Hospital,9.09
TW14 8QE,51.445815,-0.455959,South,St Peters Hospital,9.04,West Middlesex,9.58,Kingston Hospital,12.58,St Peters Hospital,9.04
TW14 8QF,51.44493,-0.456349,South,St Peters Hospital,8.94,West Middlesex,9.64,Kingston Hospital,12.58,St Peters Hospital,8.94
TW14 8QG,51.445815,-0.455959,South,St Peters Hospital,9.04,West Middlesex,9.58,Kingston Hospital,12.58,St Peters Hospital,9.04
TW14 8QH,51.445294,-0.453214,South,St Peters Hospital,9.09,West Middlesex,9.42,Kingston Hospital,12.39,St Peters Hospital,9.09
TW14 8QJ,51.445815,-0.455959,South,St Peters Hospital,9.04,West Middlesex,9.58,Kingston Hospital,12.58,St Peters Hospital,9.04
TW14 8QL,51.445834,-0.457398,South,St Peters Hospital,8.98,West Middlesex,9.67,Kingston Hospital,12.68,St Peters Hospital,8.98
TW14 8QN,51.444898,-0.454551,South,St Peters Hospital,9.0,West Middlesex,9.52,Kingston Hospital,12.46,St Peters Hospital,9.0
TW14 8QP,51.445815,-0.455959,South,St Peters Hospital,9.04,West Middlesex,9.58,Kingston Hospital,12.58,St Peters Hospital,9.04
TW14 8QQ,51.445815,-0.455959,South,St Peters Hospital,9.04,West Middlesex,9.58,Kingston Hospital,12.58,St Peters Hospital,9.04
TW14 8QR,51.445834,-0.457398,South,St Peters Hospital,8.98,West Middlesex,9.67,Kingston Hospital,12.68,St Peters Hospital,8.98
TW14 8QT,51.444917,-0.45599,South,St Peters Hospital,8.95,West Middlesex,9.61,Kingston Hospital,12.56,St Peters Hospital,8.95
TW14 8QU,51.444917,-0.45599,South,St Peters Hospital,8.95,West Middlesex,9.61,Kingston Hospital,12.56,St Peters Hospital,8.95
TW14 8RJ,51.447575,-0.453022,South,St Peters Hospital,9.31,West Middlesex,9.33,Kingston Hospital,12.44,St Peters Hospital,9.31
TW14 8RP,51.446889,-0.454196,South,St Peters Hospital,9.2,West Middlesex,9.43,Kingston Hospital,12.5,St Peters Hospital,9.2
TW14 8RQ,51.446666,-0.453628,South,St Peters Hospital,9.2,West Middlesex,9.4,Kingston Hospital,12.45,St Peters Hospital,9.2
TW14 8RS,51.446434,-0.453075,South,St Peters Hospital,9.2,West Middlesex,9.37,Kingston Hospital,12.41,St Peters Hospital,9.2
TW14 8RU,51.447228,-0.456041,South,St Peters Hospital,9.17,West Middlesex,9.54,Kingston Hospital,12.63,St Peters Hospital,9.17
TW15 1AT,51.435076,-0.438755,South,St Peters Hospital,8.83,West Middlesex,8.96,Kingston Hospital,11.14,St Peters Hospital,8.83
TW15 1AU,51.435417,-0.442757,South,St Peters Hospital,8.67,West Middlesex,9.19,Kingston Hospital,11.42,St Peters Hospital,8.67
TW15 1AZ,51.435719,-0.440474,South,St Peters Hospital,8.8,West Middlesex,9.03,Kingston Hospital,11.27,St Peters Hospital,8.8
TW15 1BF,51.43661,-0.440516,South,St Peters Hospital,8.87,West Middlesex,8.99,Kingston Hospital,11.3,St Peters Hospital,8.87
TW15 1BL,51.435209,-0.446067,South,St Peters Hospital,8.5,West Middlesex,9.4,Kingston Hospital,11.64,St Peters Hospital,8.5
TW15 1HX,51.437629,-0.440711,South,St Peters Hospital,8.94,West Middlesex,8.95,Kingston Hospital,11.34,St Peters Hospital,8.94
TW6 3BN,51.461897,-0.470661,South,St Peters Hospital,10.16,West Middlesex,10.18,Wexham Park,11.25,St Peters Hospital,10.16
TW6 3EF,51.462285,-0.474852,South,St Peters Hospital,10.09,West Middlesex,10.46,Wexham Park,11.01,St Peters Hospital,10.09
TW6 3ET,51.459668,-0.468677,South,St Peters Hospital,9.98,West Middlesex,10.07,Wexham Park,11.52,St Peters Hospital,9.98
TW6 3GF,51.460936,-0.474839,South,St Peters Hospital,9.95,West Middlesex,10.48,Wexham Park,11.12,St Peters Hospital,9.95
TW6 3JE,51.458628,-0.468899,South,St Peters Hospital,9.87,West Middlesex,10.11,Wexham Park,11.59,St Peters Hospital,9.87
TW6 3NL,51.462379,-0.4759,South,St Peters Hospital,10.08,West Middlesex,10.53,Wexham Park,10.95,St Peters Hospital,10.08
TW6 3NN,51.460562,-0.471023,South,St Peters Hospital,10.01,West Middlesex,10.22,Wexham Park,11.33,St Peters Hospital,10.01
TW6 3PN,51.459008,-0.469722,South,St Peters Hospital,9.89,West Middlesex,10.16,Wexham Park,11.52,St Peters Hospital,9.89
TW6 3PR,51.459224,-0.471816,South,St Peters Hospital,9.85,West Middlesex,10.3,Wexham Park,11.4,St Peters Hospital,9.85
TW6 3QG,51.458973,-0.470514,South,St Peters Hospital,9.86,West Middlesex,10.21,Wexham Park,11.48,St Peters Hospital,9.86
TW6 3QR,51.459025,-0.469649,South,St Peters Hospital,9.89,West Middlesex,10.15,Wexham Park,11.52,St Peters Hospital,9.89
TW6 3QY,51.458854,-0.469626,South,St Peters Hospital,9.88,West Middlesex,10.15,Wexham Park,11.54,St Peters Hospital,9.88
TW6 3RJ,51.460117,-0.470663,South,St Peters Hospital,9.98,West Middlesex,10.2,Wexham Park,11.39,St Peters Hospital,9.98
TW6 3RN,51.461026,-0.470691,South,St Peters Hospital,10.07,West Middlesex,10.19,Wexham Park,11.31,St Peters Hospital,10.07
TW6 3RP,51.461284,-0.469833,South,St Peters Hospital,10.12,West Middlesex,10.13,Wexham Park,11.34,St Peters Hospital,10.12
TW6 3RT,51.460117,-0.470663,South,St Peters Hospital,9.98,West Middlesex,10.2,Wexham Park,11.39,St Peters Hospital,9.98
TW6 3RW,51.461897,-0.470661,South,St Peters Hospital,10.16,West Middlesex,10.18,Wexham Park,11.25,St Peters Hospital,10.16
TW6 3SA,51.460936,-0.474839,South,St Peters Hospital,9.95,West Middlesex,10.48,Wexham Park,11.12,St Peters Hospital,9.95
TW6 3SD,51.461394,-0.474824,South,St Peters Hospital,10.0,West Middlesex,10.47,Wexham Park,11.08,St Peters Hospital,10.0
TW6 3SE,51.459224,-0.471816,South,St Peters Hospital,9.85,West Middlesex,10.3,Wexham Park,11.4,St Peters Hospital,9.85
TW6 3SF,51.461934,-0.474835,South,St Peters Hospital,10.06,West Middlesex,10.46,Wexham Park,11.04,St Peters Hospital,10.06
TW6 3SH,51.462325,-0.475887,South,St Peters Hospital,10.07,West Middlesex,10.53,Wexham Park,10.96,St Peters Hospital,10.07
TW6 3SJ,51.461897,-0.470661,South,St Peters Hospital,10.16,West Middlesex,10.18,Wexham Park,11.25,St Peters Hospital,10.16
TW6 3SL,51.461647,-0.47481,South,St Peters Hospital,10.03,West Middlesex,10.46,Wexham Park,11.06,St Peters Hospital,10.03
TW6 3SN,51.461646,-0.47483,South,St Peters Hospital,10.03,West Middlesex,10.47,Wexham Park,11.06,St Peters Hospital,10.03
TW6 3SQ,51.462618,-0.474913,South,St Peters Hospital,10.13,West Middlesex,10.46,Wexham Park,10.98,St Peters Hospital,10.13
TW6 3TG,51.461897,-0.470661,South,St Peters Hospital,10.16,West Middlesex,10.18,Wexham Park,11.25,St Peters Hospital,10.16
TW6 3TU,51.461897,-0.470661,South,St Peters Hospital,10.16,West Middlesex,10.18,Wexham Park,11.25,St Peters Hospital,10.16
TW6 3WA,51.459232,-0.471772,South,St Peters Hospital,9.86,West Middlesex,10.29,Wexham Park,11.4,St Peters Hospital,9.86
