Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
E1 0AA,51.512497,-0.052098,North,The Royal London,0.84,Royal Free Hospital,9.05,Newham General,6.12,The Royal London,0.84
E1 0AB,51.513385,-0.050878,North,The Royal London,0.82,Royal Free Hospital,9.07,Newham General,6.02,The Royal London,0.82
E1 0AD,51.51291,-0.055323,North,The Royal London,0.68,Royal Free Hospital,8.83,Newham General,6.34,The Royal London,0.68
E1 0AE,51.510671,-0.052594,North,The Royal London,0.99,Royal Free Hospital,9.12,Newham General,6.2,The Royal London,0.99
E1 0AF,51.510864,-0.051161,North,The Royal London,1.02,Royal Free Hospital,9.2,Newham General,6.1,The Royal London,1.02
E1 0AG,51.513392,-0.054034,North,The Royal London,0.68,Royal Free Hospital,8.88,Newham General,6.24,The Royal London,0.68
E1 0AH,51.511129,-0.051464,North,The Royal London,0.99,Royal Free Hospital,9.16,Newham General,6.11,The Royal London,0.99
E1 0AJ,51.511258,-0.052785,North,The Royal London,0.93,Royal Free Hospital,9.08,Newham General,6.2,The Royal London,0.93
E1 0AL,51.511002,-0.052522,North,The Royal London,0.96,Royal Free Hospital,9.11,Newham General,6.19,The Royal London,0.96
E1 0AN,51.511296,-0.052365,North,The Royal London,0.94,Royal Free Hospital,9.1,Newham General,6.17,The Royal London,0.94
E1 0AP,51.511394,-0.051713,North,The Royal London,0.95,Royal Free Hospital,9.14,Newham General,6.12,The Royal London,0.95
E1 0AQ,51.511551,-0.050884,North,The Royal London,0.97,Royal Free Hospital,9.18,Newham General,6.06,The Royal London,0.97
E1 0AR,51.511598,-0.052093,North,The Royal London,0.92,Royal Free Hospital,9.1,Newham General,6.14,The Royal London,0.92
E1 0AS,51.511572,-0.052685,North,The Royal London,0.9,Royal Free Hospital,9.07,Newham General,6.18,The Royal London,0.9
E1 0AT,51.513148,-0.054364,North,The Royal London,0.69,Royal Free Hospital,8.88,Newham General,6.27,The Royal London,0.69
