Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
N10 1AA,51.600529,-0.150711,North,Whittington Hospital,3.85,Royal Free Hospital,5.36,Whittington Hospital,3.85,UCH (University College),8.49
N10 1AB,51.600194,-0.15058,North,Whittington Hospital,3.81,Royal Free Hospital,5.32,Whittington Hospital,3.81,UCH (University College),8.45
N10 1AD,51.601212,-0.149571,North,Whittington Hospital,3.91,Royal Free Hospital,5.45,Whittington Hospital,3.91,UCH (University College),8.55
N10 1AE,51.601593,-0.149209,North,Whittington Hospital,3.95,North Middlesex,5.42,Whittington Hospital,3.95,UCH (University College),8.59
N10 1AF,51.604002,-0.156378,North,Whittington Hospital,4.32,Royal Free Hospital,5.68,Whittington Hospital,4.32,UCH (University College),8.93
N10 1AG,51.601286,-0.150276,North,Whittington Hospital,3.93,Royal Free Hospital,5.45,Whittington Hospital,3.93,UCH (University College),8.57
N10 1AH,51.602225,-0.150497,North,Whittington Hospital,4.03,North Middlesex,5.49,Whittington Hospital,4.03,UCH (University College),8.67
N10 1AJ,51.60252,-0.149244,North,Whittington Hospital,4.05,North Middlesex,5.4,Whittington Hospital,4.05,UCH (University College),8.7
N10 1AL,51.603722,-0.150234,North,Whittington Hospital,4.2,North Middlesex,5.44,Whittington Hospital,4.2,UCH (University College),8.84
N10 1AN,51.604221,-0.151052,North,Whittington Hospital,4.26,North Middlesex,5.48,Whittington Hospital,4.26,UCH (University College),8.9
N10 1AP,51.604979,-0.149519,North,Whittington Hospital,4.33,North Middlesex,5.36,Whittington Hospital,4.33,UCH (University College),8.97
N10 1AQ,51.601972,-0.149067,North,Whittington Hospital,3.99,North Middlesex,5.4,Whittington Hospital,3.99,UCH (University College),8.63
N10 1AR,51.60438,-0.149731,North,Whittington Hospital,4.26,North Middlesex,5.39,Whittington Hospital,4.26,UCH (University College),8.91
N10 1AS,51.60439,-0.149211,North,Whittington Hospital,4.26,North Middlesex,5.36,Whittington Hospital,4.26,UCH (University College),8.9
N10 1AT,51.604017,-0.149544,North,Whittington Hospital,4.22,North Middlesex,5.39,Whittington Hospital,4.22,UCH (University College),8.86
N10 1AU,51.604027,-0.149038,North,Whittington Hospital,4.22,North Middlesex,5.35,Whittington Hospital,4.22,UCH (University College),8.86
N10 1AW,51.59791,-0.14946,North,Whittington Hospital,3.55,Royal Free Hospital,5.09,Whittington Hospital,3.55,UCH (University College),8.19
N10 1AX,51.603655,-0.149356,North,Whittington Hospital,4.18,North Middlesex,5.38,Whittington Hospital,4.18,UCH (University College),8.82
N10 1AY,51.603674,-0.14885,North,Whittington Hospital,4.18,North Middlesex,5.35,Whittington Hospital,4.18,UCH (University College),8.82
N10 1AZ,51.603255,-0.150268,North,Whittington Hospital,4.14,North Middlesex,5.45,Whittington Hospital,4.14,UCH (University College),8.79
N10 1BA,51.60331,-0.149183,North,Whittington Hospital,4.14,North Middlesex,5.38,Whittington Hospital,4.14,UCH (University College),8.78
N10 1BB,51.603784,-0.147116,North,Whittington Hospital,4.17,North Middlesex,5.23,Whittington Hospital,4.17,UCH (University College),8.82
N10 1BD,51.604521,-0.148426,North,Whittington Hospital,4.26,North Middlesex,5.3,Whittington Hospital,4.26,UCH (University College),8.91
N10 1BE,51.604131,-0.148788,North,Whittington Hospital,4.23,North Middlesex,5.33,Whittington Hospital,4.23,UCH (University College),8.87
N10 1BF,51.604294,-0.155514,North,Whittington Hospital,4.33,Royal Free Hospital,5.72,Whittington Hospital,4.33,UCH (University College),8.95
N10 1BG,51.605053,-0.150195,North,Whittington Hospital,4.34,North Middlesex,5.41,Whittington Hospital,4.34,UCH (University College),8.98
N10 1BH,51.597919,-0.14946,North,Whittington Hospital,3.55,Royal Free Hospital,5.09,Whittington Hospital,3.55,UCH (University College),8.19
N10 1BJ,51.603923,-0.155006,North,Whittington Hospital,4.28,Royal Free Hospital,5.69,Whittington Hospital,4.28,UCH (University College),8.9
N10 1BL,51.592357,-0.143492,North,Whittington Hospital,2.88,Royal Free Hospital,4.61,Whittington Hospital,2.88,UCH (University College),7.53
N10 1BN,51.594535,-0.153813,North,Whittington Hospital,3.25,Royal Free Hospital,4.67,Whittington Hospital,3.25,UCH (University College),7.86
N10 1BP,51.592357,-0.143492,North,Whittington Hospital,2.88,Royal Free Hospital,4.61,Whittington Hospital,2.88,UCH (University College),7.53
N10 1BQ,51.597919,-0.14946,North,Whittington Hospital,3.55,Royal Free Hospital,5.09,Whittington Hospital,3.55,UCH (University College),8.19
N10 1BS,51.592574,-0.142978,North,Whittington Hospital,2.91,Royal Free Hospital,4.64,Whittington Hospital,2.91,UCH (University College),7.56
N10 1BT,51.592919,-0.143195,North,Whittington Hospital,2.94,Royal Free Hospital,4.68,Whittington Hospital,2.94,UCH (University College),7.59
N10 1BU,51.59347,-0.143331,North,Whittington Hospital,3.01,Royal Free Hospital,4.73,Whittington Hospital,3.01,UCH (University College),7.66
N10 1BW,51.592502,-0.143558,North,Whittington Hospital,2.9,Royal Free Hospital,4.62,Whittington Hospital,2.9,UCH (University College),7.55
N10 1BX,51.592802,-0.143748,North,Whittington Hospital,2.93,Royal Free Hospital,4.65,Whittington Hospital,2.93,UCH (University College),7.58
N10 1BY,51.592149,-0.1434,North,Whittington Hospital,2.86,Royal Free Hospital,4.59,Whittington Hospital,2.86,UCH (University College),7.51
N10 1BZ,51.597919,-0.14946,North,Whittington Hospital,3.55,Royal Free Hospital,5.09,Whittington Hospital,3.55,UCH (University College),8.19
N10 1DA,51.592113,-0.143387,North,Whittington Hospital,2.86,Royal Free Hospital,4.59,Whittington Hospital,2.86,UCH (University College),7.51
