Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
BR3 1AL,51.396361,-0.048051,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR3 1AS,51.396361,-0.048051,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR3 1BP,51.396361,-0.048051,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR3 1DL,51.399286,-0.049249,South,Croydon University,4.35,Epsom Hospital,17.52,Croydon University,4.35,Kings College Hospital,8.22
BR3 1FA,51.396361,-0.048051,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR3 1GB,51.396361,-0.048051,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR3 1GD,51.396363,-0.048151,South,Croydon University,4.36,Epsom Hospital,17.44,Croydon University,4.36,Kings College Hospital,8.55
BR3 1GE,51.396361,-0.048051,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR3 1GF,51.396363,-0.048151,South,Croydon University,4.36,Epsom Hospital,17.44,Croydon University,4.36,Kings College Hospital,8.55
BR3 1GJ,51.396361,-0.048051,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR3 1GL,51.399286,-0.049249,South,Croydon University,4.35,Epsom Hospital,17.52,Croydon University,4.35,Kings College Hospital,8.22
BR3 1GP,51.396363,-0.048151,South,Croydon University,4.36,Epsom Hospital,17.44,Croydon University,4.36,Kings College Hospital,8.55
BR3 1GR,51.396361,-0.048051,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR3 1GS,51.396361,-0.048051,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR3 1GT,51.396361,-0.048051,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR3 1GU,51.399286,-0.049249,South,Croydon University,4.35,Epsom Hospital,17.52,Croydon University,4.35,Kings College Hospital,8.22
BR3 1GY,51.396361,-0.048051,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR3 1WD,51.396361,-0.048051,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR3 1WE,51.396361,-0.048051,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR3 1WF,51.396361,-0.048051,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR3 1WH,51.396363,-0.048151,South,Croydon University,4.36,Epsom Hospital,17.44,Croydon University,4.36,Kings College Hospital,8.55
BR3 1WL,51.396363,-0.048151,South,Croydon University,4.36,Epsom Hospital,17.44,Croydon University,4.36,Kings College Hospital,8.55
BR3 1WN,51.399286,-0.049249,South,Croydon University,4.35,Epsom Hospital,17.52,Croydon University,4.35,Kings College Hospital,8.22
BR3 1WP,51.396361,-0.048051,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR3 1WQ,51.399286,-0.049249,South,Croydon University,4.35,Epsom Hospital,17.52,Croydon University,4.35,Kings College Hospital,8.22
BR3 1WR,51.396361,-0.048051,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR3 1WS,51.399286,-0.049249,South,Croydon University,4.35,Epsom Hospital,17.52,Croydon University,4.35,Kings College Hospital,8.22
BR3 1WT,51.399286,-0.049249,South,Croydon University,4.35,Epsom Hospital,17.52,Croydon University,4.35,Kings College Hospital,8.22
BR3 1WU,51.399286,-0.049249,South,Croydon University,4.35,Epsom Hospital,17.52,Croydon University,4.35,Kings College Hospital,8.22
BR3 1WW,51.399286,-0.049249,South,Croydon University,4.35,Epsom Hospital,17.52,Croydon University,4.35,Kings College Hospital,8.22
BR3 1WX,51.396361,-0.048051,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR3 1WY,51.399286,-0.049249,South,Croydon University,4.35,Epsom Hospital,17.52,Croydon University,4.35,Kings College Hospital,8.22
BR3 1WZ,51.396361,-0.048051,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR3 1XA,51.396361,-0.048051,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR3 1XD,51.396361,-0.048051,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR3 1XE,51.396361,-0.048051,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR3 1XH,51.396361,-0.048051,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR3 1XJ,51.396363,-0.048151,South,Croydon University,4.36,Epsom Hospital,17.44,Croydon University,4.36,Kings College Hospital,8.55
BR3 1XL,51.396362,-0.048125,South,Croydon University,4.36,Epsom Hospital,17.44,Croydon University,4.36,Kings College Hospital,8.56
BR3 1XP,51.396361,-0.048051,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR3 1XQ,51.396361,-0.048051,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR3 1XR,51.396361,-0.048051,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR3 1XT,51.396361,-0.048051,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR3 1XU,51.396361,-0.048051,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR3 1XW,51.396361,-0.048051,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR3 1XX,51.396361,-0.048051,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR3 1XY,51.396361,-0.048051,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR3 1XZ,51.396361,-0.048051,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR3 1YA,51.399286,-0.049249,South,Croydon University,4.35,Epsom Hospital,17.52,Croydon University,4.35,Kings College Hospital,8.22
BR3 1YB,51.399286,-0.049249,South,Croydon University,4.35,Epsom Hospital,17.52,Croydon University,4.35,Kings College Hospital,8.22
BR3 1YD,51.396361,-0.048051,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR3 1YE,51.396361,-0.048051,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR3 1YF,51.399286,-0.049249,South,Croydon University,4.35,Epsom Hospital,17.52,Croydon University,4.35,Kings College Hospital,8.22
BR3 1YL,51.396361,-0.048051,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR3 1YP,51.396361,-0.048051,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR3 1YQ,51.399286,-0.049249,South,Croydon University,4.35,Epsom Hospital,17.52,Croydon University,4.35,Kings College Hospital,8.22
BR3 1YT,51.396361,-0.048051,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR3 1YU,51.396361,-0.048051,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR3 1YW,51.396361,-0.048051,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR3 1YY,51.399286,-0.049249,South,Croydon University,4.35,Epsom Hospital,17.52,Croydon University,4.35,Kings College Hospital,8.22
BR3 1ZA,51.399286,-0.049249,South,Croydon University,4.35,Epsom Hospital,17.52,Croydon University,4.35,Kings College Hospital,8.22
BR3 1ZF,51.399286,-0.049249,South,Croydon University,4.35,Epsom Hospital,17.52,Croydon University,4.35,Kings College Hospital,8.22
BR3 1ZG,51.399286,-0.049249,South,Croydon University,4.35,Epsom Hospital,17.52,Croydon University,4.35,Kings College Hospital,8.22
BR3 1ZH,51.399286,-0.049249,South,Croydon University,4.35,Epsom Hospital,17.52,Croydon University,4.35,Kings College Hospital,8.22
BR3 1ZJ,51.396361,-0.048051,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR3 1ZL,51.396361,-0.048051,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR3 1ZN,51.396361,-0.048051,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR3 1ZS,51.396361,-0.048051,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR3 1ZU,51.396361,-0.048051,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR3 1ZW,51.399286,-0.049249,South,Croydon University,4.35,Epsom Hospital,17.52,Croydon University,4.35,Kings College Hospital,8.22
BR3 1ZX,51.399286,-0.049249,South,Croydon University,4.35,Epsom Hospital,17.52,Croydon University,4.35,Kings College Hospital,8.22
BR3 1ZZ,51.399286,-0.049249,South,Croydon University,4.35,Epsom Hospital,17.52,Croydon University,4.35,Kings College Hospital,8.22
BR3 3AL,51.391969,-0.021056,South,Croydon University,6.2,Epsom Hospital,18.95,Croydon University,6.2,Kings College Hospital,9.81
BR3 3AX,51.391239,-0.023606,South,Croydon University,6.02,Epsom Hospital,18.75,Croydon University,6.02,Kings College Hospital,9.79
BR3 3AY,51.390654,-0.025698,South,Croydon University,5.88,Epsom Hospital,18.59,Croydon University,5.88,Kings College Hospital,9.78
BR3 3AZ,51.391038,-0.025538,South,Croydon University,5.89,Epsom Hospital,18.62,Croydon University,5.89,Kings College Hospital,9.75
BR3 3BA,51.389418,-0.023869,South,Croydon University,6.01,Epsom Hospital,18.66,Croydon University,6.01,Kings College Hospital,9.96
BR3 3BB,51.390045,-0.024776,South,Croydon University,5.94,Epsom Hospital,18.63,Croydon University,5.94,Kings College Hospital,9.87
BR3 3BD,51.388777,-0.023206,South,Croydon University,6.05,Epsom Hospital,18.68,Croydon University,6.05,Kings College Hospital,10.04
BR3 3BF,51.390677,-0.02758,South,Croydon University,5.75,Epsom Hospital,18.48,Croydon University,5.75,Kings College Hospital,9.72
BR3 3BH,51.384852,-0.025057,South,Croydon University,5.96,Epsom Hospital,18.4,Croydon University,5.96,Kings College Hospital,10.37
BR3 3BJ,51.382338,-0.026372,South,Croydon University,5.91,Epsom Hospital,18.21,Croydon University,5.91,Kings College Hospital,10.58
BR3 3BL,51.384632,-0.025871,South,Croydon University,5.91,Epsom Hospital,18.34,Croydon University,5.91,Kings College Hospital,10.37
BR3 3BN,51.384899,-0.025745,South,Croydon University,5.91,Epsom Hospital,18.35,Croydon University,5.91,Kings College Hospital,10.35
BR3 3BS,51.394073,-0.019931,South,Croydon University,6.29,Epsom Hospital,19.11,Croydon University,6.29,Kings College Hospital,9.64
BR3 3BT,51.39624,-0.021016,South,Croydon University,6.23,Epsom Hospital,19.14,Croydon University,6.23,Kings College Hospital,9.4
BR3 3BU,51.387558,-0.022885,South,Croydon University,6.08,Epsom Hospital,18.65,Croydon University,6.08,Kings College Hospital,10.17
