Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
CR3 3ED,51.304756,-0.153687,South,Epsom Hospital,8.59,Epsom Hospital,8.59,St Heliers Hospital,8.68,St. Georges Hospital,13.7
CR3 3EL,51.304733,-0.152253,South,Epsom Hospital,8.69,Epsom Hospital,8.69,St Heliers Hospital,8.7,St. Georges Hospital,13.72
CR3 3ET,51.302913,-0.150891,South,Epsom Hospital,8.84,Epsom Hospital,8.84,St Heliers Hospital,8.92,St. Georges Hospital,13.93
CR3 3QA,51.306576,-0.155048,South,Epsom Hospital,8.45,Epsom Hospital,8.45,St Heliers Hospital,8.46,St. Georges Hospital,13.49
CR5 3ED,51.305491,-0.153571,South,Epsom Hospital,8.58,Epsom Hospital,8.58,St Heliers Hospital,8.6,St. Georges Hospital,13.62
CR5 3ET,51.303184,-0.149833,South,Epsom Hospital,8.9,Epsom Hospital,8.9,St Heliers Hospital,8.91,St. Georges Hospital,13.91
KT173HL,51.337096,-0.227792,South,Epsom Hospital,3.35,Epsom Hospital,3.35,St Heliers Hospital,5.75,St. Georges Hospital,10.68
KT173HN,51.336806,-0.228216,South,Epsom Hospital,3.31,Epsom Hospital,3.31,St Heliers Hospital,5.79,St. Georges Hospital,10.72
KT187TR,51.337565,-0.305641,South,Epsom Hospital,2.64,Epsom Hospital,2.64,Kingston Hospital,8.77,St. Georges Hospital,13.49
KT187YP,51.340391,-0.310188,South,Epsom Hospital,3.07,Epsom Hospital,3.07,Kingston Hospital,8.53,St. Georges Hospital,13.48
KT199HN,51.361761,-0.288129,South,Epsom Hospital,4.13,Epsom Hospital,4.13,Kingston Hospital,5.94,St. Georges Hospital,10.72
KT199HW,51.361439,-0.286977,South,Epsom Hospital,4.08,Epsom Hospital,4.08,Kingston Hospital,5.97,St. Georges Hospital,10.69
KT199JA,51.360714,-0.286722,South,Epsom Hospital,3.99,Epsom Hospital,3.99,Kingston Hospital,6.05,St. Georges Hospital,10.73
KT220DP,51.327159,-0.327425,South,Epsom Hospital,3.81,Epsom Hospital,3.81,Kingston Hospital,10.28,St Peters Hospital,14.87
KT9 1AA,51.367473,-0.305663,South,Epsom Hospital,5.16,Epsom Hospital,5.16,Kingston Hospital,5.55,St. Georges Hospital,11.26
KT9 1AB,51.36739,-0.306154,South,Epsom Hospital,5.17,Epsom Hospital,5.17,Kingston Hospital,5.57,St. Georges Hospital,11.29
KT9 1AD,51.367348,-0.306237,South,Epsom Hospital,5.17,Epsom Hospital,5.17,Kingston Hospital,5.57,St. Georges Hospital,11.3
KT9 1AE,51.368412,-0.30581,South,Epsom Hospital,5.26,Epsom Hospital,5.26,Kingston Hospital,5.45,St. Georges Hospital,11.2
KT9 1AF,51.36814,-0.304397,South,Epsom Hospital,5.19,Epsom Hospital,5.19,Kingston Hospital,5.45,St. Georges Hospital,11.14
KT9 1AG,51.369116,-0.303542,South,Epsom Hospital,5.26,Epsom Hospital,5.26,Kingston Hospital,5.33,St. Georges Hospital,11.03
KT9 1AN,51.369445,-0.302625,South,Epsom Hospital,5.27,Epsom Hospital,5.27,Kingston Hospital,5.28,St. Georges Hospital,10.96
KT9 1AP,51.367414,-0.305846,South,Epsom Hospital,5.16,Epsom Hospital,5.16,Kingston Hospital,5.56,St. Georges Hospital,11.27
KT9 1AQ,51.368924,-0.304618,South,Epsom Hospital,5.28,Epsom Hospital,5.28,Kingston Hospital,5.37,St. Georges Hospital,11.1
KT9 1AR,51.367807,-0.303806,South,Epsom Hospital,5.14,Epsom Hospital,5.14,Kingston Hospital,5.48,St. Georges Hospital,11.13
KT9 1AS,51.367119,-0.303487,South,Epsom Hospital,5.06,Epsom Hospital,5.06,Kingston Hospital,5.54,St. Georges Hospital,11.16
KT9 1AT,51.366574,-0.304326,South,Epsom Hospital,5.03,Epsom Hospital,5.03,Kingston Hospital,5.62,St. Georges Hospital,11.24
KT9 1AU,51.36564,-0.302579,South,Epsom Hospital,4.88,Epsom Hospital,4.88,Kingston Hospital,5.68,St. Georges Hospital,11.21
KT9 1AW,51.367846,-0.303977,South,Epsom Hospital,5.15,Epsom Hospital,5.15,Kingston Hospital,5.47,St. Georges Hospital,11.14
KT9 1AX,51.364814,-0.300785,South,Epsom Hospital,4.75,Epsom Hospital,4.75,Kingston Hospital,5.74,St. Georges Hospital,11.17
KT9 1AY,51.365406,-0.303177,South,Epsom Hospital,4.88,Epsom Hospital,4.88,Kingston Hospital,5.72,St. Georges Hospital,11.26
KT9 1AZ,51.365093,-0.303303,South,Epsom Hospital,4.85,Epsom Hospital,4.85,Kingston Hospital,5.76,St. Georges Hospital,11.28
KT9 1BA,51.366309,-0.305964,South,Epsom Hospital,5.06,Epsom Hospital,5.06,Kingston Hospital,5.68,St. Georges Hospital,11.35
KT9 1BB,51.36679,-0.304964,South,Epsom Hospital,5.07,Epsom Hospital,5.07,Kingston Hospital,5.61,St. Georges Hospital,11.26
KT9 1BG,51.367473,-0.305663,South,Epsom Hospital,5.16,Epsom Hospital,5.16,Kingston Hospital,5.55,St. Georges Hospital,11.26
KT9 1BJ,51.367741,-0.301683,South,Epsom Hospital,5.07,Epsom Hospital,5.07,Kingston Hospital,5.44,St. Georges Hospital,11.02
KT9 1BL,51.367351,-0.300849,South,Epsom Hospital,5.01,Epsom Hospital,5.01,Kingston Hospital,5.47,St. Georges Hospital,11.0
KT9 1BN,51.366424,-0.300841,South,Epsom Hospital,4.91,Epsom Hospital,4.91,Kingston Hospital,5.57,St. Georges Hospital,11.06
KT9 1BP,51.367355,-0.303033,South,Epsom Hospital,5.07,Epsom Hospital,5.07,Kingston Hospital,5.51,St. Georges Hospital,11.12
KT9 1BQ,51.367414,-0.305846,South,Epsom Hospital,5.16,Epsom Hospital,5.16,Kingston Hospital,5.56,St. Georges Hospital,11.27
KT9 1BS,51.367577,-0.302206,South,Epsom Hospital,5.07,Epsom Hospital,5.07,Kingston Hospital,5.47,St. Georges Hospital,11.06
KT9 1BT,51.368562,-0.301327,South,Epsom Hospital,5.15,Epsom Hospital,5.15,Kingston Hospital,5.35,St. Georges Hospital,10.94
