Side,Hospital,Balance_Metric,Target,Assigned_Weight,Pct_vs_Target,Postcode_Count
North,Barnet Hospital,population,232487.125,256590,10.367402065813321,8989
North,Chelsea & Westminster,population,232487.125,185990,-19.999870960596205,13670
North,Hillingdon Hospital,population,232487.125,268881,15.654146439292068,9413
North,Homerton University,population,232487.125,186866,-19.623075901514976,7496
North,Newham General,population,232487.125,252058,8.418046805817742,10892
North,North Middlesex,population,232487.125,278984,19.99976342775971,12502
North,Northwick Park,population,232487.125,278984,19.99976342775971,14958
North,Queen Charlottes',population,232487.125,204848,-11.888454038046191,13715
North,Queens Hospital,population,232487.125,278984,19.99976342775971,11810
North,Royal Free Hospital,population,232487.125,226680,-2.497826492542329,10821
North,St Marys Hospital,population,232487.125,185990,-19.999870960596205,13410
North,The Royal London,population,232487.125,185990,-19.999870960596205,18130
North,UCH (University College),population,232487.125,185990,-19.999870960596205,42185
North,West Middlesex,population,232487.125,269600,15.963410877053944,16152
North,Whipps Cross,population,232487.125,278984,19.99976342775971,8638
North,Whittington Hospital,population,232487.125,194375,-16.393219624527593,12217
South,Croydon University,population,201636.88888888888,240978,19.510869924594935,13128
South,Evelina (St Thomas'),population,201636.88888888888,161310,-19.99975753995631,9309
South,Kings College Hospital,population,201636.88888888888,161314,-19.997773775962507,12910
South,Kingston Hospital,population,201636.88888888888,193636,-3.96796882404674,9996
South,Princess Royal (PRUH),population,201636.88888888888,224992,11.582757123365882,7094
South,Queen Elizabeth Woolwich,population,201636.88888888888,241964,19.99986774906709,13071
South,St Heliers Hospital,population,201636.88888888888,223415,10.800658168809505,7521
South,St. Georges Hospital,population,201636.88888888888,161311,-19.999261598957858,15876
South,University Lewisham,population,201636.88888888888,205812,2.07060877308606,12311
