Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
HA4 0AA,51.573461,-0.413585,North,Hillingdon Hospital,6.18,West Middlesex,12.72,Hillingdon Hospital,6.18,Queen Charlottes',13.77
HA4 0AB,51.572806,-0.413045,North,Hillingdon Hospital,6.13,West Middlesex,12.63,Hillingdon Hospital,6.13,Queen Charlottes',13.71
HA4 0AD,51.572048,-0.414168,North,Hillingdon Hospital,6.02,West Middlesex,12.6,Hillingdon Hospital,6.02,Queen Charlottes',13.74
HA4 0AE,51.572048,-0.414168,North,Hillingdon Hospital,6.02,West Middlesex,12.6,Hillingdon Hospital,6.02,Queen Charlottes',13.74
HA4 0AG,51.572482,-0.412833,North,Hillingdon Hospital,6.11,West Middlesex,12.6,Hillingdon Hospital,6.11,Queen Charlottes',13.68
HA4 0AH,51.571736,-0.412404,North,Hillingdon Hospital,6.06,West Middlesex,12.51,Hillingdon Hospital,6.06,Queen Charlottes',13.61
HA4 0AL,51.570909,-0.411755,North,Hillingdon Hospital,6.0,West Middlesex,12.41,Hillingdon Hospital,6.0,Queen Charlottes',13.53
HA4 0AN,51.570121,-0.411306,North,Hillingdon Hospital,5.95,West Middlesex,12.31,Hillingdon Hospital,5.95,Queen Charlottes',13.47
HA4 0AP,51.56796,-0.409116,North,Hillingdon Hospital,5.84,West Middlesex,12.03,Hillingdon Hospital,5.84,Queen Charlottes',13.23
HA4 0AQ,51.572028,-0.412726,North,Hillingdon Hospital,6.07,West Middlesex,12.55,Hillingdon Hospital,6.07,Queen Charlottes',13.65
HA4 0AR,51.567431,-0.409221,North,Hillingdon Hospital,5.79,West Middlesex,11.98,Hillingdon Hospital,5.79,Queen Charlottes',13.21
HA4 0AS,51.566349,-0.412289,North,Hillingdon Hospital,5.57,West Middlesex,11.98,Hillingdon Hospital,5.57,Queen Charlottes',13.35
HA4 0AT,51.565732,-0.413248,North,Hillingdon Hospital,5.47,West Middlesex,11.96,Hillingdon Hospital,5.47,Queen Charlottes',13.38
HA4 0AU,51.566741,-0.410082,North,Hillingdon Hospital,5.69,West Middlesex,11.95,Hillingdon Hospital,5.69,Queen Charlottes',13.23
HA4 0AW,51.569262,-0.410297,North,Hillingdon Hospital,5.91,West Middlesex,12.2,Hillingdon Hospital,5.91,Queen Charlottes',13.36
HA4 0AX,51.566612,-0.413145,North,Hillingdon Hospital,5.55,West Middlesex,12.04,Hillingdon Hospital,5.55,Queen Charlottes',13.42
HA4 0AY,51.567336,-0.410869,North,Hillingdon Hospital,5.71,West Middlesex,12.03,Hillingdon Hospital,5.71,Queen Charlottes',13.31
HA4 0AZ,51.566644,-0.414226,North,Hillingdon Hospital,5.51,West Middlesex,12.08,Hillingdon Hospital,5.51,Queen Charlottes',13.49
HA4 0BA,51.566952,-0.413018,North,Hillingdon Hospital,5.59,West Middlesex,12.07,Hillingdon Hospital,5.59,Queen Charlottes',13.42
HA4 0BB,51.56741,-0.411631,North,Hillingdon Hospital,5.69,West Middlesex,12.06,Hillingdon Hospital,5.69,Queen Charlottes',13.36
HA4 0BD,51.567721,-0.410683,North,Hillingdon Hospital,5.75,West Middlesex,12.06,Hillingdon Hospital,5.75,Queen Charlottes',13.31
HA4 0BL,51.566597,-0.410029,North,Hillingdon Hospital,5.68,West Middlesex,11.93,Hillingdon Hospital,5.68,Queen Charlottes',13.22
HA4 0BN,51.567114,-0.408366,North,Hillingdon Hospital,5.8,West Middlesex,11.92,Hillingdon Hospital,5.8,Queen Charlottes',13.14
HA4 0BP,51.566155,-0.410514,North,Hillingdon Hospital,5.62,West Middlesex,11.9,Hillingdon Hospital,5.62,Queen Charlottes',13.23
HA4 0BQ,51.566597,-0.410029,North,Hillingdon Hospital,5.68,West Middlesex,11.93,Hillingdon Hospital,5.68,Queen Charlottes',13.22
HA4 0BS,51.56552,-0.410904,North,Hillingdon Hospital,5.55,West Middlesex,11.86,Hillingdon Hospital,5.55,Queen Charlottes',13.22
HA4 0BT,51.564786,-0.409818,North,Hillingdon Hospital,5.53,West Middlesex,11.75,Hillingdon Hospital,5.53,Queen Charlottes',13.12
HA4 0BU,51.565545,-0.409431,North,Hillingdon Hospital,5.61,West Middlesex,11.81,Hillingdon Hospital,5.61,Queen Charlottes',13.13
HA4 0BW,51.566472,-0.409471,North,Hillingdon Hospital,5.69,West Middlesex,11.9,Hillingdon Hospital,5.69,Queen Charlottes',13.18
HA4 0BX,51.564914,-0.408587,North,Hillingdon Hospital,5.6,West Middlesex,11.72,Hillingdon Hospital,5.6,Queen Charlottes',13.05
HA4 0BY,51.564737,-0.408132,North,Hillingdon Hospital,5.6,West Middlesex,11.69,Hillingdon Hospital,5.6,Queen Charlottes',13.01
HA4 0BZ,51.563738,-0.408066,North,Hillingdon Hospital,5.52,West Middlesex,11.59,Hillingdon Hospital,5.52,Queen Charlottes',12.97
HA4 0DA,51.564434,-0.409037,North,Hillingdon Hospital,5.53,West Middlesex,11.69,Hillingdon Hospital,5.53,Queen Charlottes',13.06
HA4 0DB,51.56343,-0.409288,North,Hillingdon Hospital,5.44,West Middlesex,11.6,Hillingdon Hospital,5.44,Queen Charlottes',13.03
HA4 0DD,51.56346,-0.408811,North,Hillingdon Hospital,5.46,West Middlesex,11.59,Hillingdon Hospital,5.46,Queen Charlottes',13.0
HA4 0DE,51.562574,-0.407789,North,Hillingdon Hospital,5.43,West Middlesex,11.46,Hillingdon Hospital,5.43,Queen Charlottes',12.9
HA4 0DF,51.562996,-0.406447,North,Hillingdon Hospital,5.53,West Middlesex,11.46,Hillingdon Hospital,5.53,Queen Charlottes',12.83
HA4 0DG,51.563353,-0.405554,North,Hillingdon Hospital,5.6,West Middlesex,11.46,Hillingdon Hospital,5.6,Queen Charlottes',12.79
HA4 0DH,51.564209,-0.406996,North,Hillingdon Hospital,5.61,West Middlesex,11.6,Hillingdon Hospital,5.61,Queen Charlottes',12.92
HA4 0DJ,51.565419,-0.40805,North,Hillingdon Hospital,5.66,West Middlesex,11.75,Hillingdon Hospital,5.66,Queen Charlottes',13.04
HA4 0DL,51.566102,-0.408676,North,Hillingdon Hospital,5.69,West Middlesex,11.84,Hillingdon Hospital,5.69,Queen Charlottes',13.11
HA4 0DN,51.565939,-0.40796,North,Hillingdon Hospital,5.71,West Middlesex,11.8,Hillingdon Hospital,5.71,Queen Charlottes',13.06
HA4 0DP,51.564598,-0.4059,North,Hillingdon Hospital,5.69,West Middlesex,11.6,Hillingdon Hospital,5.69,Queen Charlottes',12.87
HA4 0DQ,51.564475,-0.406713,North,Hillingdon Hospital,5.64,West Middlesex,11.61,Hillingdon Hospital,5.64,Queen Charlottes',12.91
HA4 0DR,51.562954,-0.404025,North,Hillingdon Hospital,5.64,West Middlesex,11.37,Hillingdon Hospital,5.64,Queen Charlottes',12.67
HA4 0DS,51.563696,-0.404345,North,Hillingdon Hospital,5.68,West Middlesex,11.46,Hillingdon Hospital,5.68,Queen Charlottes',12.73
HA4 0DT,51.565536,-0.406762,North,Hillingdon Hospital,5.73,West Middlesex,11.72,Hillingdon Hospital,5.73,Queen Charlottes',12.96
HA4 0DU,51.559775,-0.403674,North,Hillingdon Hospital,5.4,West Middlesex,11.05,Hillingdon Hospital,5.4,Queen Charlottes',12.51
HA4 0DW,51.56612,-0.407333,North,Hillingdon Hospital,5.75,West Middlesex,11.79,Hillingdon Hospital,5.75,Queen Charlottes',13.03
HA4 0DX,51.560188,-0.401597,North,Hillingdon Hospital,5.54,West Middlesex,11.02,Hillingdon Hospital,5.54,Queen Charlottes',12.4
HA4 0EA,51.562024,-0.404418,North,Hillingdon Hospital,5.55,West Middlesex,11.3,Hillingdon Hospital,5.55,Queen Charlottes',12.66
HA4 0EB,51.561704,-0.404674,North,Hillingdon Hospital,5.51,West Middlesex,11.27,Hillingdon Hospital,5.51,Queen Charlottes',12.66
HA4 0ED,51.561707,-0.404184,North,Hillingdon Hospital,5.53,West Middlesex,11.26,Hillingdon Hospital,5.53,Queen Charlottes',12.63
HA4 0EE,51.560251,-0.405605,North,Hillingdon Hospital,5.35,West Middlesex,11.17,Hillingdon Hospital,5.35,Queen Charlottes',12.66
HA4 0EF,51.561532,-0.401168,North,Hillingdon Hospital,5.66,West Middlesex,11.14,Hillingdon Hospital,5.66,Queen Charlottes',12.43
HA4 0EH,51.560865,-0.401004,North,Hillingdon Hospital,5.62,West Middlesex,11.07,Hillingdon Hospital,5.62,Queen Charlottes',12.39
HA4 0EJ,51.560571,-0.40268,North,Hillingdon Hospital,5.51,West Middlesex,11.1,Hillingdon Hospital,5.51,Queen Charlottes',12.48
HA4 0EP,51.561634,-0.402138,North,Hillingdon Hospital,5.62,West Middlesex,11.18,Hillingdon Hospital,5.62,Queen Charlottes',12.5
HA4 0ER,51.561139,-0.403482,North,Hillingdon Hospital,5.52,West Middlesex,11.18,Hillingdon Hospital,5.52,Queen Charlottes',12.56
HA4 0ES,51.561191,-0.403956,North,Hillingdon Hospital,5.5,West Middlesex,11.2,Hillingdon Hospital,5.5,Queen Charlottes',12.59
HA4 0ET,51.562276,-0.403067,North,Hillingdon Hospital,5.63,West Middlesex,11.28,Hillingdon Hospital,5.63,Queen Charlottes',12.58
HA4 0EU,51.559326,-0.399088,North,Hillingdon Hospital,5.6,West Middlesex,10.86,Hillingdon Hospital,5.6,Queen Charlottes',12.2
HA4 0EW,51.560518,-0.401455,North,Hillingdon Hospital,5.57,West Middlesex,11.05,Hillingdon Hospital,5.57,Queen Charlottes',12.4
HA4 0EX,51.55895,-0.398553,North,Hillingdon Hospital,5.6,West Middlesex,10.8,Hillingdon Hospital,5.6,Queen Charlottes',12.15
HA4 0EY,51.558556,-0.39799,North,Hillingdon Hospital,5.6,West Middlesex,10.74,Hillingdon Hospital,5.6,Queen Charlottes',12.1
HA4 0FF,51.55793,-0.39815,North,Hillingdon Hospital,5.55,West Middlesex,10.69,Hillingdon Hospital,5.55,Queen Charlottes',12.08
HA4 0FY,51.559071,-0.400057,North,Hillingdon Hospital,5.53,West Middlesex,10.86,Hillingdon Hospital,5.53,Queen Charlottes',12.25
HA4 0GD,51.558574,-0.39856,North,Hillingdon Hospital,5.57,West Middlesex,10.77,Hillingdon Hospital,5.57,Queen Charlottes',12.14
HA4 0HE,51.557432,-0.397366,North,Hillingdon Hospital,5.56,West Middlesex,10.61,Hillingdon Hospital,5.56,Queen Charlottes',12.01
HA4 0HF,51.55851,-0.399247,North,Hillingdon Hospital,5.53,West Middlesex,10.78,Hillingdon Hospital,5.53,Queen Charlottes',12.18
HA4 0HG,51.557512,-0.397183,North,Hillingdon Hospital,5.57,West Middlesex,10.62,Hillingdon Hospital,5.57,Queen Charlottes',12.0
HA4 0HH,51.557057,-0.396874,North,Hillingdon Hospital,5.56,West Middlesex,10.56,Hillingdon Hospital,5.56,Queen Charlottes',11.96
HA4 0JF,51.570211,-0.411346,North,Hillingdon Hospital,5.95,West Middlesex,12.32,Hillingdon Hospital,5.95,Queen Charlottes',13.47
HA4 0RP,51.580543,-0.444181,North,Hillingdon Hospital,6.17,West Middlesex,14.5,Hillingdon Hospital,6.17,Queen Charlottes',16.02
HA4 0TZ,51.559775,-0.403674,North,Hillingdon Hospital,5.4,West Middlesex,11.05,Hillingdon Hospital,5.4,Queen Charlottes',12.51
HA4 0XB,51.560207,-0.403039,North,Hillingdon Hospital,5.47,West Middlesex,11.07,Hillingdon Hospital,5.47,Queen Charlottes',12.49
HA4 0XJ,51.559347,-0.404612,North,Hillingdon Hospital,5.32,West Middlesex,11.04,Hillingdon Hospital,5.32,Queen Charlottes',12.56
HA4 0XL,51.55963,-0.401559,North,Hillingdon Hospital,5.5,West Middlesex,10.97,Hillingdon Hospital,5.5,Queen Charlottes',12.37
HA4 0XN,51.560207,-0.403039,North,Hillingdon Hospital,5.47,West Middlesex,11.07,Hillingdon Hospital,5.47,Queen Charlottes',12.49
HA4 0XU,51.56002,-0.404502,North,Hillingdon Hospital,5.38,West Middlesex,11.11,Hillingdon Hospital,5.38,Queen Charlottes',12.58
HA4 0XW,51.55841,-0.403102,North,Hillingdon Hospital,5.33,West Middlesex,10.9,Hillingdon Hospital,5.33,Queen Charlottes',12.42
HA4 0XX,51.559737,-0.403531,North,Hillingdon Hospital,5.41,West Middlesex,11.04,Hillingdon Hospital,5.41,Queen Charlottes',12.5
HA4 0XY,51.55841,-0.403102,North,Hillingdon Hospital,5.33,West Middlesex,10.9,Hillingdon Hospital,5.33,Queen Charlottes',12.42
HA4 0YA,51.560207,-0.403039,North,Hillingdon Hospital,5.47,West Middlesex,11.07,Hillingdon Hospital,5.47,Queen Charlottes',12.49
HA4 0YB,51.559328,-0.404512,North,Hillingdon Hospital,5.33,West Middlesex,11.04,Hillingdon Hospital,5.33,Queen Charlottes',12.55
HA4 0YD,51.559328,-0.404512,North,Hillingdon Hospital,5.33,West Middlesex,11.04,Hillingdon Hospital,5.33,Queen Charlottes',12.55
HA4 6AA,51.568818,-0.410595,North,Hillingdon Hospital,5.86,West Middlesex,12.16,Hillingdon Hospital,5.86,Queen Charlottes',13.36
HA4 6AB,51.568588,-0.410984,North,Hillingdon Hospital,5.82,West Middlesex,12.15,Hillingdon Hospital,5.82,Queen Charlottes',13.37
HA4 6AD,51.569773,-0.412004,North,Hillingdon Hospital,5.89,West Middlesex,12.3,Hillingdon Hospital,5.89,Queen Charlottes',13.49
HA4 6AE,51.570445,-0.41203,North,Hillingdon Hospital,5.95,West Middlesex,12.37,Hillingdon Hospital,5.95,Queen Charlottes',13.53
HA4 6AF,51.571081,-0.413134,North,Hillingdon Hospital,5.97,West Middlesex,12.47,Hillingdon Hospital,5.97,Queen Charlottes',13.63
HA4 6AG,51.570257,-0.412759,North,Hillingdon Hospital,5.9,West Middlesex,12.38,Hillingdon Hospital,5.9,Queen Charlottes',13.56
HA4 6AH,51.569253,-0.414972,North,Hillingdon Hospital,5.73,West Middlesex,12.36,Hillingdon Hospital,5.73,Queen Charlottes',13.65
HA4 6AJ,51.566652,-0.415438,North,Hillingdon Hospital,5.47,West Middlesex,12.12,Hillingdon Hospital,5.47,Queen Charlottes',13.56
HA4 6AL,51.565996,-0.414811,North,Hillingdon Hospital,5.43,West Middlesex,12.04,Hillingdon Hospital,5.43,Queen Charlottes',13.49
HA4 6AN,51.567814,-0.414907,North,Hillingdon Hospital,5.6,West Middlesex,12.22,Hillingdon Hospital,5.6,Queen Charlottes',13.58
HA4 6AP,51.570144,-0.411709,North,Hillingdon Hospital,5.93,West Middlesex,12.33,Hillingdon Hospital,5.93,Queen Charlottes',13.49
HA4 6AQ,51.570937,-0.413831,North,Hillingdon Hospital,5.93,West Middlesex,12.48,Hillingdon Hospital,5.93,Queen Charlottes',13.66
HA4 6AR,51.569704,-0.412417,North,Hillingdon Hospital,5.87,West Middlesex,12.31,Hillingdon Hospital,5.87,Queen Charlottes',13.51
HA4 6AS,51.569265,-0.413168,North,Hillingdon Hospital,5.8,West Middlesex,12.29,Hillingdon Hospital,5.8,Queen Charlottes',13.54
HA4 6AT,51.568962,-0.414016,North,Hillingdon Hospital,5.74,West Middlesex,12.29,Hillingdon Hospital,5.74,Queen Charlottes',13.58
HA4 6AU,51.567804,-0.414215,North,Hillingdon Hospital,5.62,West Middlesex,12.19,Hillingdon Hospital,5.62,Queen Charlottes',13.54
HA4 6AW,51.56969,-0.413327,North,Hillingdon Hospital,5.83,West Middlesex,12.34,Hillingdon Hospital,5.83,Queen Charlottes',13.57
HA4 6AX,51.567502,-0.413778,North,Hillingdon Hospital,5.61,West Middlesex,12.15,Hillingdon Hospital,5.61,Queen Charlottes',13.5
HA4 6AY,51.568101,-0.412712,North,Hillingdon Hospital,5.71,West Middlesex,12.17,Hillingdon Hospital,5.71,Queen Charlottes',13.46
HA4 6AZ,51.568958,-0.413049,North,Hillingdon Hospital,5.77,West Middlesex,12.26,Hillingdon Hospital,5.77,Queen Charlottes',13.52
HA4 6BA,51.56826,-0.412034,North,Hillingdon Hospital,5.75,West Middlesex,12.16,Hillingdon Hospital,5.75,Queen Charlottes',13.42
HA4 6BB,51.569284,-0.411927,North,Hillingdon Hospital,5.85,West Middlesex,12.25,Hillingdon Hospital,5.85,Queen Charlottes',13.46
HA4 6BD,51.569332,-0.41282,North,Hillingdon Hospital,5.82,West Middlesex,12.29,Hillingdon Hospital,5.82,Queen Charlottes',13.52
HA4 6BE,51.571149,-0.414199,North,Hillingdon Hospital,5.93,West Middlesex,12.51,Hillingdon Hospital,5.93,Queen Charlottes',13.7
HA4 6BF,51.571149,-0.414199,North,Hillingdon Hospital,5.93,West Middlesex,12.51,Hillingdon Hospital,5.93,Queen Charlottes',13.7
HA4 6BG,51.571149,-0.414199,North,Hillingdon Hospital,5.93,West Middlesex,12.51,Hillingdon Hospital,5.93,Queen Charlottes',13.7
HA4 6BJ,51.561183,-0.41267,North,Hillingdon Hospital,5.1,West Middlesex,11.51,Hillingdon Hospital,5.1,Queen Charlottes',13.15
HA4 6BL,51.571149,-0.414199,North,Hillingdon Hospital,5.93,West Middlesex,12.51,Hillingdon Hospital,5.93,Queen Charlottes',13.7
HA4 6BN,51.571149,-0.414199,North,Hillingdon Hospital,5.93,West Middlesex,12.51,Hillingdon Hospital,5.93,Queen Charlottes',13.7
HA4 6BP,51.571917,-0.412997,North,Hillingdon Hospital,6.05,West Middlesex,12.55,Hillingdon Hospital,6.05,Queen Charlottes',13.66
HA4 6BQ,51.571149,-0.414199,North,Hillingdon Hospital,5.93,West Middlesex,12.51,Hillingdon Hospital,5.93,Queen Charlottes',13.7
HA4 6BS,51.571678,-0.414051,North,Hillingdon Hospital,5.99,West Middlesex,12.56,Hillingdon Hospital,5.99,Queen Charlottes',13.71
