Hospital,Any_Population,L1_Population,L2_Population,L3_Population
Barnet Hospital,186790,0,188781,0
Chelsea & Westminster,215705,0,0,246589
Croydon University,447793,0,711434,0
Evelina (St Thomas'),165169,0,0,165181
Hillingdon Hospital,302269,0,668778,0
Homerton University,284584,0,0,2209328
Kings College Hospital,429240,0,0,1629923
Kingston Hospital,275902,0,426901,0
Newham General,469140,0,722699,0
None Found,0,3180238,0,0
North Middlesex,519898,0,540235,0
Northwick Park,631012,0,821214,0
Princess Royal (PRUH),246352,0,246352,0
Queen Charlottes',382208,0,0,2092772
Queen Elizabeth Woolwich,500410,0,500410,0
Queens Hospital,500464,0,500464,0
Royal Free Hospital,242176,4277376,0,0
St Heliers Hospital,272242,0,406858,0
St Marys Hospital,158259,0,920196,0
St. Georges Hospital,447722,0,0,1385134
The Royal London,314961,0,0,429028
UCH (University College),169151,0,0,641823
University Lewisham,395408,0,888283,0
West Middlesex,512926,1342164,0,0
Whipps Cross,418869,0,545072,0
Whittington Hospital,311128,0,712101,0
