Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
SE1 3AH,51.494079,-0.07383,South,Kings College Hospital,3.13,West Middlesex,17.54,University Lewisham,5.98,Kings College Hospital,3.13
SE1 3AL,51.493715,-0.073978,South,Kings College Hospital,3.09,West Middlesex,17.52,University Lewisham,5.95,Kings College Hospital,3.09
SE1 3AP,51.493887,-0.073089,South,Kings College Hospital,3.13,West Middlesex,17.59,University Lewisham,5.93,Kings College Hospital,3.13
SE1 3AR,51.493743,-0.072504,South,Kings College Hospital,3.13,West Middlesex,17.62,University Lewisham,5.89,Kings College Hospital,3.13
SE1 3AU,51.494674,-0.072782,South,Kings College Hospital,3.22,West Middlesex,17.62,University Lewisham,5.98,Kings College Hospital,3.22
SE1 3AW,51.493314,-0.074842,South,Kings College Hospital,3.02,West Middlesex,17.46,University Lewisham,5.96,Kings College Hospital,3.02
SE1 3AY,51.494018,-0.073919,South,Kings College Hospital,3.12,West Middlesex,17.53,University Lewisham,5.97,Kings College Hospital,3.12
SE1 3AZ,51.493852,-0.074228,South,Kings College Hospital,3.09,West Middlesex,17.51,University Lewisham,5.97,Kings College Hospital,3.09
SE1 3BF,51.493799,-0.074302,South,Kings College Hospital,3.09,West Middlesex,17.5,University Lewisham,5.97,Kings College Hospital,3.09
SE1 3BJ,51.493667,-0.074985,South,Kings College Hospital,3.05,West Middlesex,17.45,University Lewisham,5.99,Kings College Hospital,3.05
SE1 3BL,51.493258,-0.074196,South,Kings College Hospital,3.03,West Middlesex,17.5,University Lewisham,5.92,Kings College Hospital,3.03
SE1 3FQ,51.494421,-0.072749,South,Kings College Hospital,3.19,West Middlesex,17.62,University Lewisham,5.96,Kings College Hospital,3.19
SE1 3GF,51.493978,-0.074785,South,Kings College Hospital,3.09,West Middlesex,17.47,University Lewisham,6.01,Kings College Hospital,3.09
SE1 3GG,51.494045,-0.074479,South,Kings College Hospital,3.11,West Middlesex,17.49,University Lewisham,6.0,Kings College Hospital,3.11
SE1 4SA,51.48525,-0.081591,South,Kings College Hospital,2.02,West Middlesex,16.9,University Lewisham,5.66,Kings College Hospital,2.02
SE1 5AA,51.487027,-0.074706,South,Kings College Hospital,2.4,West Middlesex,17.39,University Lewisham,5.44,Kings College Hospital,2.4
SE1 5AD,51.48662,-0.075728,South,Kings College Hospital,2.32,West Middlesex,17.32,University Lewisham,5.46,Kings College Hospital,2.32
SE1 5AG,51.48595,-0.072185,South,Kings College Hospital,2.39,West Middlesex,17.56,University Lewisham,5.23,Kings College Hospital,2.39
