Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
KT1 1AA,51.408688,-0.304465,South,Kingston Hospital,1.75,Epsom Hospital,9.47,Kingston Hospital,1.75,St. Georges Hospital,9.23
KT1 1AB,51.41233,-0.302591,South,Kingston Hospital,1.51,Epsom Hospital,9.83,Kingston Hospital,1.51,St. Georges Hospital,9.02
KT1 1AD,51.411211,-0.301136,South,Kingston Hospital,1.44,Epsom Hospital,9.69,Kingston Hospital,1.44,St. Georges Hospital,8.94
KT1 1AE,51.412605,-0.307304,South,Kingston Hospital,1.82,Epsom Hospital,9.94,Kingston Hospital,1.82,St. Georges Hospital,9.33
KT1 1AF,51.412549,-0.307205,South,Kingston Hospital,1.82,Epsom Hospital,9.93,Kingston Hospital,1.82,St. Georges Hospital,9.33
KT1 1AH,51.410758,-0.30771,South,Kingston Hospital,1.89,Epsom Hospital,9.75,Kingston Hospital,1.89,St. Georges Hospital,9.4
KT1 1AJ,51.412616,-0.307447,South,Kingston Hospital,1.83,Epsom Hospital,9.94,Kingston Hospital,1.83,St. Georges Hospital,9.34
KT1 1AL,51.409152,-0.307353,South,Kingston Hospital,1.92,Epsom Hospital,9.57,Kingston Hospital,1.92,St. Georges Hospital,9.41
KT1 1AN,51.411874,-0.300918,South,Kingston Hospital,1.4,Epsom Hospital,9.76,Kingston Hospital,1.4,St. Georges Hospital,8.91
KT1 1AP,51.412641,-0.301119,South,Kingston Hospital,1.4,Epsom Hospital,9.85,Kingston Hospital,1.4,St. Georges Hospital,8.91
KT1 1AQ,51.409943,-0.307287,South,Kingston Hospital,1.89,Epsom Hospital,9.65,Kingston Hospital,1.89,St. Georges Hospital,9.39
KT1 1AR,51.411146,-0.300945,South,Kingston Hospital,1.43,Epsom Hospital,9.68,Kingston Hospital,1.43,St. Georges Hospital,8.93
KT1 1AS,51.410265,-0.307189,South,Kingston Hospital,1.87,Epsom Hospital,9.68,Kingston Hospital,1.87,St. Georges Hospital,9.37
KT1 1AZ,51.408764,-0.307856,South,Kingston Hospital,1.97,Epsom Hospital,9.53,Kingston Hospital,1.97,St. Georges Hospital,9.45
KT1 1BA,51.408677,-0.306234,South,Kingston Hospital,1.87,Epsom Hospital,9.5,Kingston Hospital,1.87,St. Georges Hospital,9.35
KT1 1BB,51.408876,-0.30568,South,Kingston Hospital,1.82,Epsom Hospital,9.51,Kingston Hospital,1.82,St. Georges Hospital,9.3
KT1 1BD,51.408677,-0.306234,South,Kingston Hospital,1.87,Epsom Hospital,9.5,Kingston Hospital,1.87,St. Georges Hospital,9.35
KT1 1BE,51.408677,-0.306234,South,Kingston Hospital,1.87,Epsom Hospital,9.5,Kingston Hospital,1.87,St. Georges Hospital,9.35
KT1 1BG,51.408657,-0.304797,South,Kingston Hospital,1.78,Epsom Hospital,9.47,Kingston Hospital,1.78,St. Georges Hospital,9.25
KT1 1BJ,51.40967,-0.304623,South,Kingston Hospital,1.72,Epsom Hospital,9.58,Kingston Hospital,1.72,St. Georges Hospital,9.21
