Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
E17 5DY,51.599742,-0.031447,North,North Middlesex,3.24,North Middlesex,3.24,Whipps Cross,3.3,Homerton University,5.54
E17 5EA,51.601174,-0.030096,North,North Middlesex,3.26,North Middlesex,3.26,Whipps Cross,3.36,Homerton University,5.71
E17 5EB,51.601092,-0.031096,North,North Middlesex,3.2,North Middlesex,3.2,Whipps Cross,3.4,Homerton University,5.69
E17 5EG,51.601577,-0.031061,North,North Middlesex,3.18,North Middlesex,3.18,Whipps Cross,3.44,Homerton University,5.74
E17 5HE,51.599713,-0.031993,North,North Middlesex,3.21,North Middlesex,3.21,Whipps Cross,3.33,Homerton University,5.53
E17 5HF,51.599576,-0.032404,North,North Middlesex,3.19,North Middlesex,3.19,Whipps Cross,3.34,Homerton University,5.51
E17 5HG,51.599301,-0.031549,North,North Middlesex,3.26,North Middlesex,3.26,Whipps Cross,3.27,Homerton University,5.49
E17 5HJ,51.598681,-0.034233,North,North Middlesex,3.13,North Middlesex,3.13,Whipps Cross,3.36,Homerton University,5.39
E17 5NS,51.599096,-0.034345,North,North Middlesex,3.1,North Middlesex,3.1,Whipps Cross,3.4,Homerton University,5.43
E17 5NT,51.601055,-0.033712,North,North Middlesex,3.04,North Middlesex,3.04,Whipps Cross,3.52,Homerton University,5.65
E17 5NU,51.599658,-0.034046,North,North Middlesex,3.09,North Middlesex,3.09,Whipps Cross,3.43,Homerton University,5.5
E17 5NX,51.59973,-0.03666,North,North Middlesex,2.93,North Middlesex,2.93,Whipps Cross,3.56,Homerton University,5.48
E17 5PA,51.600369,-0.034131,North,North Middlesex,3.05,North Middlesex,3.05,Whipps Cross,3.48,Homerton University,5.57
E17 5PB,51.599276,-0.037008,North,North Middlesex,2.93,North Middlesex,2.93,Whipps Cross,3.55,Homerton University,5.43
E17 5PD,51.599295,-0.036531,North,North Middlesex,2.96,North Middlesex,2.96,Whipps Cross,3.53,Homerton University,5.43
E17 5PE,51.599532,-0.035164,North,North Middlesex,3.03,North Middlesex,3.03,Whipps Cross,3.47,Homerton University,5.47
E17 5PG,51.599974,-0.038466,North,North Middlesex,2.81,North Middlesex,2.81,Whipps Cross,3.68,Homerton University,5.49
E17 5PH,51.598926,-0.038572,North,North Middlesex,2.86,North Middlesex,2.86,Whipps Cross,3.61,Homerton University,5.38
E17 5PJ,51.598633,-0.041079,North,North Middlesex,2.74,North Middlesex,2.74,Whipps Cross,3.72,Homerton University,5.33
E17 5PL,51.599744,-0.039197,North,North Middlesex,2.78,North Middlesex,2.78,Whipps Cross,3.7,Homerton University,5.46
E17 5PN,51.60086,-0.037113,North,North Middlesex,2.84,North Middlesex,2.84,Whipps Cross,3.67,Homerton University,5.6
E17 5PP,51.601071,-0.03631,North,North Middlesex,2.88,North Middlesex,2.88,Whipps Cross,3.65,Homerton University,5.63
E17 5PQ,51.599983,-0.037353,North,North Middlesex,2.87,North Middlesex,2.87,Whipps Cross,3.62,Homerton University,5.5
E17 5PR,51.599652,-0.04014,North,North Middlesex,2.73,North Middlesex,2.73,Whipps Cross,3.74,Homerton University,5.45
E17 5PS,51.600924,-0.039854,North,North Middlesex,2.67,North Middlesex,2.67,Whipps Cross,3.82,Homerton University,5.59
E17 5PT,51.599951,-0.040835,North,North Middlesex,2.67,North Middlesex,2.67,Whipps Cross,3.8,Homerton University,5.48
E17 5PU,51.598647,-0.037613,North,North Middlesex,2.94,North Middlesex,2.94,Whipps Cross,3.54,Homerton University,5.35
E17 5PW,51.600522,-0.035179,North,North Middlesex,2.97,North Middlesex,2.97,Whipps Cross,3.55,Homerton University,5.58
E17 5PX,51.597912,-0.040839,North,North Middlesex,2.8,North Middlesex,2.8,Whipps Cross,3.66,Homerton University,5.25
E17 5PY,51.596449,-0.042776,North,North Middlesex,2.8,North Middlesex,2.8,Whipps Cross,3.68,Homerton University,5.08
