hospital,births
Barnet Hospital,10056
Chelsea & Westminster,5737
Croydon University,14584
Epsom Hospital,0
Evelina (St Thomas'),3594
Hillingdon Hospital,12730
Homerton University,5833
Kings College Hospital,6760
Kingston Hospital,8927
Newham General,9781
North Middlesex,19555
Northwick Park,26667
Princess Royal (PRUH),11689
Queen Charlottes',1975
Queen Elizabeth Woolwich,16486
Queens Hospital,16209
Royal Free Hospital,9556
St Heliers Hospital,13776
St Marys Hospital,5747
St. Georges Hospital,1375
The Royal London,5438
UCH (University College),1711
University Lewisham,1428
West Middlesex,14830
Whipps Cross,20796
Whittington Hospital,2673
