Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
IG1 1UQ,51.563217,0.091941,North,Queens Hospital,5.98,North Middlesex,12.68,Queens Hospital,5.98,Homerton University,9.65
IG1 4AL,51.565212,0.090503,North,Queens Hospital,6.06,North Middlesex,12.5,Queens Hospital,6.06,Homerton University,9.59
IG1 4AN,51.564909,0.090359,North,Queens Hospital,6.07,North Middlesex,12.5,Queens Hospital,6.07,Homerton University,9.57
IG1 4AR,51.565906,0.090463,North,Queens Hospital,6.06,North Middlesex,12.46,Queens Hospital,6.06,Homerton University,9.6
IG1 4AS,51.56673,0.09063,North,Queens Hospital,6.04,North Middlesex,12.43,Queens Hospital,6.04,Homerton University,9.62
IG110AB,51.524794,0.124878,North,Queens Hospital,6.17,Darent Valley,13.59,Queens Hospital,6.17,Homerton University,12.18
IG110RH,51.531026,0.122819,North,Queens Hospital,5.72,Darent Valley,14.2,Queens Hospital,5.72,Homerton University,11.89
IG110RJ,51.531307,0.120798,North,Queens Hospital,5.79,Darent Valley,14.32,Queens Hospital,5.79,Homerton University,11.75
IG110RL,51.531257,0.122469,North,Queens Hospital,5.72,Darent Valley,14.24,Queens Hospital,5.72,Homerton University,11.87
IG110RN,51.530327,0.12071,North,Queens Hospital,5.87,Darent Valley,14.24,Queens Hospital,5.87,Homerton University,11.77
IG110RR,51.531173,0.123633,North,Queens Hospital,5.67,Darent Valley,14.18,Queens Hospital,5.67,Homerton University,11.95
IG110RW,51.531225,0.120752,North,Queens Hospital,5.8,Darent Valley,14.31,Queens Hospital,5.8,Homerton University,11.75
IG110SE,51.52812,0.12489,North,Queens Hospital,5.87,Darent Valley,13.87,Queens Hospital,5.87,Homerton University,12.1
IG110SQ,51.528055,0.123602,North,Queens Hospital,5.94,Darent Valley,13.92,Queens Hospital,5.94,Homerton University,12.01
IG110TP,51.530465,0.127983,North,Queens Hospital,5.54,Darent Valley,13.92,Queens Hospital,5.54,Homerton University,12.26
IG110TQ,51.531121,0.126515,North,Queens Hospital,5.54,Darent Valley,14.04,Queens Hospital,5.54,Homerton University,12.14
IG110TT,51.531229,0.125525,North,Queens Hospital,5.58,Darent Valley,14.1,Queens Hospital,5.58,Homerton University,12.07
IG110TU,51.531298,0.126696,North,Queens Hospital,5.52,Darent Valley,14.05,Queens Hospital,5.52,Homerton University,12.15
IG110TW,51.53047,0.123759,North,Queens Hospital,5.72,Darent Valley,14.11,Queens Hospital,5.72,Homerton University,11.97
IG110TX,51.531095,0.127955,North,Queens Hospital,5.48,Darent Valley,13.98,Queens Hospital,5.48,Homerton University,12.24
IG110TY,51.531189,0.130685,North,Queens Hospital,5.36,Darent Valley,13.86,Queens Hospital,5.36,Homerton University,12.43
IG110UA,51.530426,0.132581,North,Queens Hospital,5.35,Darent Valley,13.71,Queens Hospital,5.35,Homerton University,12.57
IG110UB,51.530764,0.134284,North,Queens Hospital,5.25,Darent Valley,13.67,Queens Hospital,5.25,Homerton University,12.68
IG110UD,51.530391,0.135045,North,Queens Hospital,5.25,Darent Valley,13.6,Queens Hospital,5.25,Homerton University,12.74
IG110UE,51.529579,0.134185,North,Queens Hospital,5.36,Darent Valley,13.57,Queens Hospital,5.36,Homerton University,12.7
IG110UG,51.530023,0.133499,North,Queens Hospital,5.35,Darent Valley,13.64,Queens Hospital,5.35,Homerton University,12.64
IG110UH,51.529914,0.130567,North,Queens Hospital,5.48,Darent Valley,13.76,Queens Hospital,5.48,Homerton University,12.44
IG110UJ,51.530573,0.131015,North,Queens Hospital,5.4,Darent Valley,13.79,Queens Hospital,5.4,Homerton University,12.46
IG110UL,51.530932,0.129029,North,Queens Hospital,5.45,Darent Valley,13.91,Queens Hospital,5.45,Homerton University,12.32
IG110UP,51.53017,0.129354,North,Queens Hospital,5.5,Darent Valley,13.83,Queens Hospital,5.5,Homerton University,12.36
IG110UQ,51.530373,0.132045,North,Queens Hospital,5.37,Darent Valley,13.73,Queens Hospital,5.37,Homerton University,12.53
IG110XX,51.530118,0.132235,North,Queens Hospital,5.39,Darent Valley,13.7,Queens Hospital,5.39,Homerton University,12.55
IG118PD,51.555779,0.120147,North,Queens Hospital,4.27,North Middlesex,14.8,Queens Hospital,4.27,Homerton University,11.51
