Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
BR1 5SP,51.42279,-0.122899,South,St. Georges Hospital,3.63,Epsom Hospital,14.97,Croydon University,3.66,St. Georges Hospital,3.63
CR4 1AA,51.410383,-0.147321,South,St. Georges Hospital,2.68,Epsom Hospital,12.8,Croydon University,3.36,St. Georges Hospital,2.68
CR4 1AB,51.411792,-0.145466,South,St. Georges Hospital,2.67,Epsom Hospital,13.0,Croydon University,3.37,St. Georges Hospital,2.67
CR4 1AD,51.409705,-0.147118,South,St. Georges Hospital,2.74,Epsom Hospital,12.76,Croydon University,3.3,St. Georges Hospital,2.74
CR4 1AE,51.410638,-0.147584,South,St. Georges Hospital,2.64,Epsom Hospital,12.81,Croydon University,3.39,St. Georges Hospital,2.64
CR4 1AF,51.411819,-0.146012,South,St. Georges Hospital,2.64,Epsom Hospital,12.98,Croydon University,3.4,St. Georges Hospital,2.64
CR4 1AG,51.410077,-0.146169,South,St. Georges Hospital,2.76,Epsom Hospital,12.83,Croydon University,3.28,St. Georges Hospital,2.76
CR4 1AH,51.410227,-0.145458,South,St. Georges Hospital,2.78,Epsom Hospital,12.88,Croydon University,3.25,St. Georges Hospital,2.78
CR4 1AJ,51.410232,-0.145745,South,St. Georges Hospital,2.77,Epsom Hospital,12.86,Croydon University,3.27,St. Georges Hospital,2.77
CR4 1AL,51.411196,-0.148726,South,St. Georges Hospital,2.54,Epsom Hospital,12.8,Croydon University,3.49,St. Georges Hospital,2.54
CR4 1AN,51.410488,-0.151127,South,St. Georges Hospital,2.49,Epsom Hospital,12.63,Croydon University,3.57,St. Georges Hospital,2.49
CR4 1AP,51.410565,-0.149744,South,St. Georges Hospital,2.55,Epsom Hospital,12.7,Croydon University,3.5,St. Georges Hospital,2.55
CR4 1AQ,51.411726,-0.149237,South,St. Georges Hospital,2.48,Epsom Hospital,12.82,Croydon University,3.56,St. Georges Hospital,2.48
CR4 1AR,51.410463,-0.149575,South,St. Georges Hospital,2.56,Epsom Hospital,12.7,Croydon University,3.49,St. Georges Hospital,2.56
CR4 1AS,51.411388,-0.150616,South,St. Georges Hospital,2.44,Epsom Hospital,12.73,Croydon University,3.61,St. Georges Hospital,2.44
CR4 1AT,51.410391,-0.150139,South,St. Georges Hospital,2.54,Epsom Hospital,12.67,Croydon University,3.51,St. Georges Hospital,2.54
CR4 1AU,51.411375,-0.146936,South,St. Georges Hospital,2.62,Epsom Hospital,12.9,Croydon University,3.41,St. Georges Hospital,2.62
CR4 1AW,51.410675,-0.149897,South,St. Georges Hospital,2.53,Epsom Hospital,12.71,Croydon University,3.52,St. Georges Hospital,2.53
CR4 1AX,51.409613,-0.152097,South,St. Georges Hospital,2.52,Epsom Hospital,12.52,Croydon University,3.57,St. Georges Hospital,2.52
CR4 1AY,51.410671,-0.151336,South,St. Georges Hospital,2.46,Epsom Hospital,12.64,Croydon University,3.6,St. Georges Hospital,2.46
CR4 1AZ,51.405204,-0.17492,South,St. Georges Hospital,2.46,Epsom Hospital,11.12,St Heliers Hospital,2.79,St. Georges Hospital,2.46
CR4 1BA,51.409416,-0.148165,South,St. Georges Hospital,2.71,Epsom Hospital,12.68,Croydon University,3.34,St. Georges Hospital,2.71
CR4 1BB,51.40927,-0.145238,South,St. Georges Hospital,2.87,Epsom Hospital,12.81,Croydon University,3.17,St. Georges Hospital,2.87
