Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
N8  0HW,51.535964,-0.194669,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N8  0LF,51.535964,-0.194669,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N8  0XH,51.535964,-0.194669,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N8  0XQ,51.535964,-0.194669,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N8  0XU,51.535964,-0.194669,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N8  0XX,51.535964,-0.194669,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N8  0ZW,51.535964,-0.194669,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N8  1AH,51.535964,-0.194669,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N8  1AN,51.535964,-0.194669,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N8  1AQ,51.535984,-0.194754,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N8  1BB,51.535964,-0.194669,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N8  1BD,51.535964,-0.194669,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N8  1BL,51.535964,-0.194669,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N8  1BP,51.535964,-0.194669,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N8  1BU,51.535964,-0.194669,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N8  1DD,51.535964,-0.194669,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N8  1DF,51.535984,-0.194754,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N8  1DL,51.535984,-0.194754,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N8  1DQ,51.535964,-0.194669,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
