Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
TW134RY,51.435613,-0.438622,North,St Peters Hospital,8.88,West Middlesex,8.92,Hillingdon Hospital,10.15,St Peters Hospital,8.88
TW148PY,51.440385,-0.453265,North,St Peters Hospital,8.64,West Middlesex,9.62,Hillingdon Hospital,9.52,St Peters Hospital,8.64
TW148PZ,51.440385,-0.453265,North,St Peters Hospital,8.64,West Middlesex,9.62,Hillingdon Hospital,9.52,St Peters Hospital,8.64
TW148QA,51.441237,-0.452438,North,St Peters Hospital,8.75,West Middlesex,9.53,Hillingdon Hospital,9.43,St Peters Hospital,8.75
TW148QB,51.444898,-0.454551,North,St Peters Hospital,9.0,West Middlesex,9.52,Hillingdon Hospital,9.01,St Peters Hospital,9.0
TW148QF,51.44493,-0.456349,North,St Peters Hospital,8.94,West Middlesex,9.64,Hillingdon Hospital,9.01,St Peters Hospital,8.94
TW148QN,51.444898,-0.454551,North,St Peters Hospital,9.0,West Middlesex,9.52,Hillingdon Hospital,9.01,St Peters Hospital,9.0
TW148QT,51.444917,-0.45599,North,St Peters Hospital,8.95,West Middlesex,9.61,Hillingdon Hospital,9.01,St Peters Hospital,8.95
TW148QU,51.444917,-0.45599,North,St Peters Hospital,8.95,West Middlesex,9.61,Hillingdon Hospital,9.01,St Peters Hospital,8.95
TW151AT,51.435076,-0.438755,South,St Peters Hospital,8.83,Epsom Hospital,16.74,Kingston Hospital,11.14,St Peters Hospital,8.83
TW151AU,51.435417,-0.442757,South,St Peters Hospital,8.67,Epsom Hospital,16.96,Kingston Hospital,11.42,St Peters Hospital,8.67
TW151AX,51.438114,-0.440738,South,St Peters Hospital,8.98,Epsom Hospital,17.08,Kingston Hospital,11.35,St Peters Hospital,8.98
TW151AZ,51.435719,-0.440474,South,St Peters Hospital,8.8,Epsom Hospital,16.88,Kingston Hospital,11.27,St Peters Hospital,8.8
TW151BA,51.438137,-0.441054,South,St Peters Hospital,8.97,Epsom Hospital,17.1,Kingston Hospital,11.37,St Peters Hospital,8.97
TW151BF,51.43661,-0.440516,South,St Peters Hospital,8.87,Epsom Hospital,16.95,Kingston Hospital,11.3,St Peters Hospital,8.87
TW151BL,51.435209,-0.446067,South,St Peters Hospital,8.5,Epsom Hospital,17.11,Kingston Hospital,11.64,St Peters Hospital,8.5
TW151HX,51.437629,-0.440711,South,St Peters Hospital,8.94,Epsom Hospital,17.04,Kingston Hospital,11.34,St Peters Hospital,8.94
TW197LE,51.454662,-0.457158,South,St Peters Hospital,9.84,Epsom Hospital,19.21,Wexham Park,12.48,St Peters Hospital,9.84
TW197LQ,51.453245,-0.458861,South,St Peters Hospital,9.64,Epsom Hospital,19.17,Wexham Park,12.5,St Peters Hospital,9.64
TW197LZ,51.453245,-0.458861,South,St Peters Hospital,9.64,Epsom Hospital,19.17,Wexham Park,12.5,St Peters Hospital,9.64
TW197NH,51.454463,-0.455696,South,St Peters Hospital,9.87,Epsom Hospital,19.13,Wexham Park,12.57,St Peters Hospital,9.87
TW197NL,51.454554,-0.455802,South,St Peters Hospital,9.87,Epsom Hospital,19.14,Wexham Park,12.56,St Peters Hospital,9.87
