Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
BR1 1AX,51.408226,0.017578,South,University Lewisham,5.55,Darent Valley,16.98,University Lewisham,5.55,Kings College Hospital,10.11
BR1 1BP,51.409027,0.010236,South,University Lewisham,5.26,Darent Valley,17.47,University Lewisham,5.26,Kings College Hospital,9.67
BR1 1BQ,51.408058,0.015874,South,University Lewisham,5.52,Darent Valley,17.1,University Lewisham,5.52,Kings College Hospital,10.03
BR1 1BS,51.407276,0.010045,South,University Lewisham,5.44,Darent Valley,17.51,University Lewisham,5.44,Kings College Hospital,9.8
BR1 1BU,51.409074,0.010123,South,University Lewisham,5.25,Darent Valley,17.47,University Lewisham,5.25,Kings College Hospital,9.66
BR1 1BX,51.407276,0.010045,South,University Lewisham,5.44,Darent Valley,17.51,University Lewisham,5.44,Kings College Hospital,9.8
BR1 1BY,51.408116,0.010898,South,University Lewisham,5.37,Darent Valley,17.44,University Lewisham,5.37,Kings College Hospital,9.78
BR1 1BZ,51.408226,0.017578,South,University Lewisham,5.55,Darent Valley,16.98,University Lewisham,5.55,Kings College Hospital,10.11
BR1 1DB,51.407276,0.010045,South,University Lewisham,5.44,Darent Valley,17.51,University Lewisham,5.44,Kings College Hospital,9.8
BR1 1DE,51.408562,0.01059,South,University Lewisham,5.32,Darent Valley,17.45,University Lewisham,5.32,Kings College Hospital,9.73
BR1 1DF,51.408899,0.01036,South,University Lewisham,5.28,Darent Valley,17.46,University Lewisham,5.28,Kings College Hospital,9.69
BR1 1DG,51.409191,0.010068,South,University Lewisham,5.24,Darent Valley,17.48,University Lewisham,5.24,Kings College Hospital,9.65
BR1 1DH,51.409027,0.010236,South,University Lewisham,5.26,Darent Valley,17.47,University Lewisham,5.26,Kings College Hospital,9.67
BR1 1DL,51.409192,0.010042,South,University Lewisham,5.24,Darent Valley,17.48,University Lewisham,5.24,Kings College Hospital,9.65
