Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
HA3 6SE,51.620508,-0.346252,North,Watford General,5.09,Royal Free Hospital,14.56,Watford General,5.09,Queen Charlottes',13.79
HA3 6SF,51.623857,-0.348696,North,Watford General,4.73,Royal Free Hospital,14.9,Watford General,4.73,Queen Charlottes',14.2
HA3 6SG,51.620605,-0.348915,North,Watford General,4.94,Royal Free Hospital,14.73,Watford General,4.94,Queen Charlottes',13.9
HA3 6SJ,51.622612,-0.35998,North,Watford General,4.22,Royal Free Hospital,15.5,Watford General,4.22,Queen Charlottes',14.52
HA3 6SL,51.617752,-0.360696,North,Watford General,4.57,Royal Free Hospital,15.28,Watford General,4.57,Queen Charlottes',14.12
HA3 6SN,51.616516,-0.359362,North,Watford General,4.73,Royal Free Hospital,15.14,Watford General,4.73,Queen Charlottes',13.96
HA3 6SQ,51.621007,-0.348473,North,Watford General,4.93,Royal Free Hospital,14.72,Watford General,4.93,Queen Charlottes',13.92
HA3 6SY,51.622816,-0.356535,North,Watford General,4.38,Royal Free Hospital,15.31,Watford General,4.38,Queen Charlottes',14.4
HA4 7GD,51.588614,-0.435807,North,Watford General,7.0,West Middlesex,14.94,Watford General,7.0,Queen Charlottes',15.93
HA4 7GN,51.589716,-0.435466,North,Watford General,6.88,West Middlesex,15.04,Watford General,6.88,Queen Charlottes',15.97
HA4 7SD,51.588731,-0.435168,North,Watford General,6.97,West Middlesex,14.93,Watford General,6.97,Queen Charlottes',15.89
HA4 7SW,51.588678,-0.437205,North,Watford General,7.02,West Middlesex,15.0,Watford General,7.02,Queen Charlottes',16.01
HA4 7SY,51.58863,-0.435634,North,Watford General,6.99,West Middlesex,14.94,Watford General,6.99,Queen Charlottes',15.92
HA4 7TL,51.588301,-0.435725,North,Watford General,7.03,West Middlesex,14.91,Watford General,7.03,Queen Charlottes',15.9
HA4 7TP,51.58951,-0.436903,North,Watford General,6.93,West Middlesex,15.07,Watford General,6.93,Queen Charlottes',16.04
HA4 7TR,51.589483,-0.436254,North,Watford General,6.92,West Middlesex,15.04,Watford General,6.92,Queen Charlottes',16.0
HA4 7TS,51.590757,-0.436687,North,Watford General,6.79,West Middlesex,15.18,Watford General,6.79,Queen Charlottes',16.1
HA4 7TT,51.590331,-0.434435,North,Watford General,6.79,West Middlesex,15.06,Watford General,6.79,Queen Charlottes',15.94
HA4 7TU,51.589238,-0.435396,North,Watford General,6.92,West Middlesex,14.99,Watford General,6.92,Queen Charlottes',15.94
HA4 7TW,51.588373,-0.436624,North,Watford General,7.04,West Middlesex,14.95,Watford General,7.04,Queen Charlottes',15.96
HA4 7TX,51.588746,-0.434244,North,Watford General,6.95,West Middlesex,14.9,Watford General,6.95,Queen Charlottes',15.84
HA4 7TY,51.591029,-0.432779,North,Watford General,6.68,West Middlesex,15.07,Watford General,6.68,Queen Charlottes',15.88
HA4 7UE,51.590466,-0.435109,North,Watford General,6.79,West Middlesex,15.09,Watford General,6.79,Queen Charlottes',15.99
HA4 7UF,51.588298,-0.435732,North,Watford General,7.03,West Middlesex,14.91,Watford General,7.03,Queen Charlottes',15.9
HA4 7YP,51.589419,-0.434134,North,Watford General,6.88,West Middlesex,14.96,Watford General,6.88,Queen Charlottes',15.87
HA4 7YY,51.589415,-0.435217,North,Watford General,6.9,West Middlesex,15.0,Watford General,6.9,Queen Charlottes',15.94
HA5 2AJ,51.597782,-0.396827,North,Watford General,5.67,West Middlesex,14.71,Watford General,5.67,Queen Charlottes',14.28
HA5 2AN,51.597692,-0.397494,North,Watford General,5.67,West Middlesex,14.71,Watford General,5.67,Queen Charlottes',14.31
HA5 2AW,51.597487,-0.398931,North,Watford General,5.69,West Middlesex,14.73,Watford General,5.69,Queen Charlottes',14.37
HA5 2DA,51.595678,-0.40412,North,Watford General,5.87,West Middlesex,14.67,Watford General,5.87,Queen Charlottes',14.53
HA5 2DB,51.597591,-0.405265,North,Watford General,5.66,West Middlesex,14.9,Watford General,5.66,Queen Charlottes',14.72
HA5 2DE,51.595313,-0.4024,North,Watford General,5.92,West Middlesex,14.59,Watford General,5.92,Queen Charlottes',14.41
HA5 2DF,51.596425,-0.403971,North,Watford General,5.79,West Middlesex,14.74,Watford General,5.79,Queen Charlottes',14.57
HA5 2DG,51.598064,-0.405711,North,Watford General,5.61,West Middlesex,14.96,Watford General,5.61,Queen Charlottes',14.78
HA5 2DH,51.599254,-0.407907,North,Watford General,5.48,West Middlesex,15.14,Watford General,5.48,Queen Charlottes',14.98
HA5 2DJ,51.598198,-0.404941,North,Watford General,5.59,West Middlesex,14.95,Watford General,5.59,Queen Charlottes',14.74
HA5 2DL,51.597485,-0.4028,North,Watford General,5.67,West Middlesex,14.82,Watford General,5.67,Queen Charlottes',14.58
HA5 2DN,51.597067,-0.401154,North,Watford General,5.72,West Middlesex,14.74,Watford General,5.72,Queen Charlottes',14.46
HA5 2DP,51.59744,-0.404072,North,Watford General,5.68,West Middlesex,14.85,Watford General,5.68,Queen Charlottes',14.65
HA5 2DQ,51.59881,-0.407634,North,Watford General,5.53,West Middlesex,15.08,Watford General,5.53,Queen Charlottes',14.93
HA5 2DR,51.596265,-0.401024,North,Watford General,5.81,West Middlesex,14.65,Watford General,5.81,Queen Charlottes',14.4
HA5 2DS,51.596674,-0.400028,North,Watford General,5.77,West Middlesex,14.67,Watford General,5.77,Queen Charlottes',14.37
HA5 2DX,51.596159,-0.401778,North,Watford General,5.82,West Middlesex,14.66,Watford General,5.82,Queen Charlottes',14.43
HA5 2DY,51.596159,-0.401778,North,Watford General,5.82,West Middlesex,14.66,Watford General,5.82,Queen Charlottes',14.43
HA5 2DZ,51.596826,-0.399712,North,Watford General,5.76,West Middlesex,14.68,Watford General,5.76,Queen Charlottes',14.37
HA5 2FF,51.59102,-0.413198,North,Watford General,6.42,West Middlesex,14.44,Watford General,6.42,Queen Charlottes',14.74
HA5 2LB,51.594799,-0.418934,North,Watford General,6.05,West Middlesex,14.99,Watford General,6.05,Queen Charlottes',15.3
HA5 2LG,51.595318,-0.417357,North,Watford General,5.98,West Middlesex,15.0,Watford General,5.98,Queen Charlottes',15.25
HA5 2LX,51.594856,-0.413114,North,Watford General,5.99,West Middlesex,14.83,Watford General,5.99,Queen Charlottes',14.98
HA5 2LY,51.593459,-0.413581,North,Watford General,6.15,West Middlesex,14.7,Watford General,6.15,Queen Charlottes',14.92
HA5 2LZ,51.594929,-0.415869,North,Watford General,6.01,West Middlesex,14.92,Watford General,6.01,Queen Charlottes',15.14
HA5 2NA,51.594534,-0.415926,North,Watford General,6.05,West Middlesex,14.88,Watford General,6.05,Queen Charlottes',15.12
HA5 2NB,51.594497,-0.417169,North,Watford General,6.07,West Middlesex,14.91,Watford General,6.07,Queen Charlottes',15.19
HA5 2ND,51.591521,-0.415678,North,Watford General,6.38,West Middlesex,14.57,Watford General,6.38,Queen Charlottes',14.91
HA5 2NE,51.593166,-0.415151,North,Watford General,6.2,West Middlesex,14.72,Watford General,6.2,Queen Charlottes',14.99
HA5 2NF,51.592357,-0.413865,North,Watford General,6.28,West Middlesex,14.6,Watford General,6.28,Queen Charlottes',14.86
HA5 2NG,51.591588,-0.412852,North,Watford General,6.35,West Middlesex,14.49,Watford General,6.35,Queen Charlottes',14.76
HA5 2NL,51.594211,-0.41998,North,Watford General,6.13,West Middlesex,14.97,Watford General,6.13,Queen Charlottes',15.33
HA5 2NN,51.591268,-0.412445,North,Watford General,6.39,West Middlesex,14.45,Watford General,6.39,Queen Charlottes',14.71
HA5 2NP,51.593831,-0.415806,North,Watford General,6.13,West Middlesex,14.8,Watford General,6.13,Queen Charlottes',15.07
HA5 2NQ,51.59089,-0.413729,North,Watford General,6.44,West Middlesex,14.45,Watford General,6.44,Queen Charlottes',14.76
HA5 2NR,51.594053,-0.415596,North,Watford General,6.1,West Middlesex,14.82,Watford General,6.1,Queen Charlottes',15.07
HA5 2NS,51.594269,-0.418288,North,Watford General,6.1,West Middlesex,14.92,Watford General,6.1,Queen Charlottes',15.23
HA5 2NT,51.593677,-0.417746,North,Watford General,6.16,West Middlesex,14.85,Watford General,6.16,Queen Charlottes',15.17
HA5 2NU,51.594032,-0.418022,North,Watford General,6.13,West Middlesex,14.89,Watford General,6.13,Queen Charlottes',15.2
HA5 2NW,51.594316,-0.415082,North,Watford General,6.07,West Middlesex,14.83,Watford General,6.07,Queen Charlottes',15.05
HA5 2PA,51.599069,-0.409502,North,Watford General,5.51,West Middlesex,15.16,Watford General,5.51,Queen Charlottes',15.05
HA5 2PB,51.596681,-0.409758,North,Watford General,5.77,West Middlesex,14.92,Watford General,5.77,Queen Charlottes',14.91
HA5 2PD,51.5942,-0.408943,North,Watford General,6.05,West Middlesex,14.65,Watford General,6.05,Queen Charlottes',14.7
HA5 2PE,51.595654,-0.410285,North,Watford General,5.89,West Middlesex,14.83,Watford General,5.89,Queen Charlottes',14.87
HA5 2PG,51.594578,-0.407233,North,Watford General,6.0,West Middlesex,14.64,Watford General,6.0,Queen Charlottes',14.63
HA5 2PH,51.593404,-0.406827,North,Watford General,6.13,West Middlesex,14.51,Watford General,6.13,Queen Charlottes',14.53
HA5 2PQ,51.59426,-0.407605,North,Watford General,6.03,West Middlesex,14.62,Watford General,6.03,Queen Charlottes',14.63
HA5 2QB,51.592919,-0.40885,North,Watford General,6.19,West Middlesex,14.51,Watford General,6.19,Queen Charlottes',14.61
