Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
UB1 1AA,51.5075,-0.378483,North,West Middlesex,5.31,West Middlesex,5.31,Hillingdon Hospital,5.98,Queen Charlottes',9.89
UB1 1AB,51.5075,-0.378483,North,West Middlesex,5.31,West Middlesex,5.31,Hillingdon Hospital,5.98,Queen Charlottes',9.89
UB1 1AE,51.5075,-0.378483,North,West Middlesex,5.31,West Middlesex,5.31,Hillingdon Hospital,5.98,Queen Charlottes',9.89
UB1 1AF,51.506823,-0.378969,North,West Middlesex,5.28,West Middlesex,5.28,Hillingdon Hospital,5.98,Queen Charlottes',9.94
UB1 1AG,51.506823,-0.378969,North,West Middlesex,5.28,West Middlesex,5.28,Hillingdon Hospital,5.98,Queen Charlottes',9.94
UB1 1AH,51.506823,-0.378969,North,West Middlesex,5.28,West Middlesex,5.28,Hillingdon Hospital,5.98,Queen Charlottes',9.94
UB1 1AN,51.506823,-0.378969,North,West Middlesex,5.28,West Middlesex,5.28,Hillingdon Hospital,5.98,Queen Charlottes',9.94
UB1 1AQ,51.506823,-0.378969,North,West Middlesex,5.28,West Middlesex,5.28,Hillingdon Hospital,5.98,Queen Charlottes',9.94
UB1 1AR,51.506823,-0.378969,North,West Middlesex,5.28,West Middlesex,5.28,Hillingdon Hospital,5.98,Queen Charlottes',9.94
UB1 1BA,51.507171,-0.379446,North,West Middlesex,5.33,West Middlesex,5.33,Hillingdon Hospital,5.93,Queen Charlottes',9.96
UB1 1BB,51.506843,-0.380409,North,West Middlesex,5.36,West Middlesex,5.36,Hillingdon Hospital,5.88,Queen Charlottes',10.04
UB1 1BD,51.507133,-0.379289,North,West Middlesex,5.32,West Middlesex,5.32,Hillingdon Hospital,5.94,Queen Charlottes',9.95
UB1 1BE,51.507037,-0.378738,North,West Middlesex,5.29,West Middlesex,5.29,Hillingdon Hospital,5.98,Queen Charlottes',9.92
UB1 1BL,51.506655,-0.379746,North,West Middlesex,5.31,West Middlesex,5.31,Hillingdon Hospital,5.93,Queen Charlottes',9.99
UB1 1BN,51.506607,-0.380259,North,West Middlesex,5.33,West Middlesex,5.33,Hillingdon Hospital,5.9,Queen Charlottes',10.03
UB1 1BP,51.506751,-0.380945,North,West Middlesex,5.38,West Middlesex,5.38,Hillingdon Hospital,5.85,Queen Charlottes',10.07
UB1 1BQ,51.506823,-0.378969,North,West Middlesex,5.28,West Middlesex,5.28,Hillingdon Hospital,5.98,Queen Charlottes',9.94
UB1 1BS,51.507318,-0.381617,North,West Middlesex,5.45,West Middlesex,5.45,Hillingdon Hospital,5.78,Queen Charlottes',10.11
UB1 1BT,51.506797,-0.382298,North,West Middlesex,5.45,West Middlesex,5.45,Hillingdon Hospital,5.76,Queen Charlottes',10.17
UB1 1BU,51.507492,-0.383152,North,West Middlesex,5.54,West Middlesex,5.54,Hillingdon Hospital,5.68,Queen Charlottes',10.22
UB1 1BW,51.507298,-0.380148,North,West Middlesex,5.38,West Middlesex,5.38,Hillingdon Hospital,5.88,Queen Charlottes',10.01
UB1 1BX,51.506903,-0.38473,North,West Middlesex,5.58,West Middlesex,5.58,Hillingdon Hospital,5.6,Queen Charlottes',10.33
