Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
TW196BP,51.467616,-0.494854,South,Wexham Park,9.63,Epsom Hospital,22.05,Wexham Park,9.63,St Peters Hospital,10.27
TW196BW,51.467199,-0.495405,South,Wexham Park,9.63,Epsom Hospital,22.04,Wexham Park,9.63,St Peters Hospital,10.22
TW6 1AA,51.470836,-0.458283,South,Wexham Park,11.25,Epsom Hospital,20.63,Wexham Park,11.25,St Peters Hospital,11.41
TW6 1AB,51.472385,-0.450959,South,Wexham Park,11.56,Epsom Hospital,20.46,Wexham Park,11.56,St Peters Hospital,11.78
TW6 1AD,51.472385,-0.450959,South,Wexham Park,11.56,Epsom Hospital,20.46,Wexham Park,11.56,St Peters Hospital,11.78
TW6 1AG,51.472385,-0.450959,South,Wexham Park,11.56,Epsom Hospital,20.46,Wexham Park,11.56,St Peters Hospital,11.78
TW6 1AJ,51.472385,-0.450959,South,Wexham Park,11.56,Epsom Hospital,20.46,Wexham Park,11.56,St Peters Hospital,11.78
TW6 1AL,51.472319,-0.450774,South,Wexham Park,11.58,Epsom Hospital,20.44,Wexham Park,11.58,St Peters Hospital,11.78
TW6 1AN,51.472385,-0.450959,South,Wexham Park,11.56,Epsom Hospital,20.46,Wexham Park,11.56,St Peters Hospital,11.78
TW6 1AP,51.472385,-0.450939,South,Wexham Park,11.56,Epsom Hospital,20.45,Wexham Park,11.56,St Peters Hospital,11.78
TW6 1AR,51.472385,-0.450959,South,Wexham Park,11.56,Epsom Hospital,20.46,Wexham Park,11.56,St Peters Hospital,11.78
TW6 1AS,51.472385,-0.450959,South,Wexham Park,11.56,Epsom Hospital,20.46,Wexham Park,11.56,St Peters Hospital,11.78
TW6 1AT,51.473033,-0.457186,South,Wexham Park,11.17,Epsom Hospital,20.78,Wexham Park,11.17,St Peters Hospital,11.67
TW6 1AU,51.470836,-0.458283,South,Wexham Park,11.25,Epsom Hospital,20.63,Wexham Park,11.25,St Peters Hospital,11.41
TW6 1AY,51.470836,-0.458283,South,Wexham Park,11.25,Epsom Hospital,20.63,Wexham Park,11.25,St Peters Hospital,11.41
TW6 1AZ,51.472385,-0.450959,South,Wexham Park,11.56,Epsom Hospital,20.46,Wexham Park,11.56,St Peters Hospital,11.78
TW6 1BA,51.471824,-0.450762,South,Wexham Park,11.61,Epsom Hospital,20.4,Wexham Park,11.61,St Peters Hospital,11.73
TW6 1BD,51.472385,-0.450959,South,Wexham Park,11.56,Epsom Hospital,20.46,Wexham Park,11.56,St Peters Hospital,11.78
TW6 1BE,51.471824,-0.450762,South,Wexham Park,11.61,Epsom Hospital,20.4,Wexham Park,11.61,St Peters Hospital,11.73
TW6 1BF,51.471824,-0.450762,South,Wexham Park,11.61,Epsom Hospital,20.4,Wexham Park,11.61,St Peters Hospital,11.73
TW6 1BG,51.471824,-0.450762,South,Wexham Park,11.61,Epsom Hospital,20.4,Wexham Park,11.61,St Peters Hospital,11.73
TW6 1BH,51.472385,-0.450959,South,Wexham Park,11.56,Epsom Hospital,20.46,Wexham Park,11.56,St Peters Hospital,11.78
TW6 1BJ,51.472385,-0.450959,South,Wexham Park,11.56,Epsom Hospital,20.46,Wexham Park,11.56,St Peters Hospital,11.78
TW6 1BL,51.472385,-0.450959,South,Wexham Park,11.56,Epsom Hospital,20.46,Wexham Park,11.56,St Peters Hospital,11.78
TW6 1BN,51.472385,-0.450959,South,Wexham Park,11.56,Epsom Hospital,20.46,Wexham Park,11.56,St Peters Hospital,11.78
