Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
EN28AD,51.675941,-0.124589,North,Barnet Hospital,6.85,Royal Free Hospital,13.94,Barnet Hospital,6.85,Homerton University,14.93
EN28AE,51.681446,-0.147883,North,Barnet Hospital,5.77,Royal Free Hospital,14.31,Barnet Hospital,5.77,Homerton University,16.13
EN28AF,51.681052,-0.146872,North,Barnet Hospital,5.8,Royal Free Hospital,14.27,Barnet Hospital,5.8,Homerton University,16.06
EN28AG,51.68202,-0.143259,North,Barnet Hospital,6.06,Royal Free Hospital,14.41,Barnet Hospital,6.06,Homerton University,16.06
EN28AH,51.681515,-0.140864,North,Barnet Hospital,6.17,Royal Free Hospital,14.37,Barnet Hospital,6.17,Homerton University,15.94
EN28AL,51.676846,-0.126663,North,Barnet Hospital,6.76,Royal Free Hospital,14.01,Barnet Hospital,6.76,Homerton University,15.08
EN28AN,51.683602,-0.135267,North,Barnet Hospital,6.62,Royal Free Hospital,14.65,Barnet Hospital,6.62,Homerton University,16.0
EN28AP,51.677079,-0.128274,North,Barnet Hospital,6.67,Royal Free Hospital,14.01,Barnet Hospital,6.67,Homerton University,15.14
EN28AQ,51.682266,-0.144595,North,Barnet Hospital,6.0,Royal Free Hospital,14.42,Barnet Hospital,6.0,Homerton University,16.12
EN28AS,51.677555,-0.120892,North,Barnet Hospital,7.16,Royal Free Hospital,14.17,Barnet Hospital,7.16,Homerton University,15.01
EN28AX,51.688816,-0.111571,North,Barnet Hospital,8.31,Royal Free Hospital,15.53,Barnet Hospital,8.31,Homerton University,16.0
EN28AY,51.68425,-0.108911,North,Barnet Hospital,8.23,Royal Free Hospital,15.08,Barnet Hospital,8.23,Homerton University,15.46
EN28AZ,51.684348,-0.109385,North,Barnet Hospital,8.2,Royal Free Hospital,15.09,Barnet Hospital,8.2,Homerton University,15.48
EN28BA,51.68423,-0.110995,North,Barnet Hospital,8.1,Royal Free Hospital,15.05,Barnet Hospital,8.1,Homerton University,15.5
EN28BE,51.68223,-0.14461,North,Barnet Hospital,6.0,Royal Free Hospital,14.42,Barnet Hospital,6.0,Homerton University,16.12
EN29DU,51.688302,-0.105907,North,Barnet Hospital,8.62,Royal Free Hospital,15.57,Barnet Hospital,8.62,Homerton University,15.84
EN29EB,51.683608,-0.113697,North,Barnet Hospital,7.9,Royal Free Hospital,14.93,Barnet Hospital,7.9,Homerton University,15.49
EN40AA,51.649957,-0.149209,North,Barnet Hospital,4.55,Royal Free Hospital,10.82,Barnet Hospital,4.55,Homerton University,13.12
EN40AB,51.667663,-0.168083,North,Barnet Hospital,3.76,Royal Free Hospital,12.73,Barnet Hospital,3.76,Homerton University,15.48
EN40AD,51.643241,-0.171119,North,Barnet Hospital,3.15,Royal Free Hospital,10.02,Barnet Hospital,3.15,UCH (University College),13.4
EN40AE,51.64863,-0.148323,North,Barnet Hospital,4.62,Royal Free Hospital,10.68,Barnet Hospital,4.62,Homerton University,12.96
EN40AF,51.65756,-0.156909,North,Barnet Hospital,4.09,Royal Free Hospital,11.62,Barnet Hospital,4.09,Homerton University,14.12
EN40AG,51.649156,-0.14914,North,Barnet Hospital,4.56,Royal Free Hospital,10.73,Barnet Hospital,4.56,Homerton University,13.04
EN40AH,51.649701,-0.150101,North,Barnet Hospital,4.49,Royal Free Hospital,10.78,Barnet Hospital,4.49,Homerton University,13.13
EN40AJ,51.6644,-0.181518,North,Barnet Hospital,2.78,Royal Free Hospital,12.41,Barnet Hospital,2.78,Homerton University,15.71
EN40AN,51.65756,-0.156909,North,Barnet Hospital,4.09,Royal Free Hospital,11.62,Barnet Hospital,4.09,Homerton University,14.12
EN40AP,51.647659,-0.144908,North,Barnet Hospital,4.86,Royal Free Hospital,10.6,Barnet Hospital,4.86,Homerton University,12.75
EN40AQ,51.669542,-0.170379,North,Barnet Hospital,3.73,Royal Free Hospital,12.94,Barnet Hospital,3.73,Homerton University,15.74
EN40AR,51.649172,-0.146176,North,Barnet Hospital,4.77,Royal Free Hospital,10.75,Barnet Hospital,4.77,Homerton University,12.94
EN40AS,51.650206,-0.147305,North,Barnet Hospital,4.68,Royal Free Hospital,10.86,Barnet Hospital,4.68,Homerton University,13.07
EN40AT,51.650013,-0.146489,North,Barnet Hospital,4.74,Royal Free Hospital,10.84,Barnet Hospital,4.74,Homerton University,13.03
EN40AU,51.649623,-0.145681,North,Barnet Hospital,4.8,Royal Free Hospital,10.81,Barnet Hospital,4.8,Homerton University,12.96
EN40AW,51.662009,-0.155066,North,Barnet Hospital,4.33,Royal Free Hospital,12.12,Barnet Hospital,4.33,Homerton University,14.47
EN40AX,51.647867,-0.138149,North,Barnet Hospital,5.33,Royal Free Hospital,10.69,Barnet Hospital,5.33,Homerton University,12.52
EN40AY,51.647849,-0.140419,North,Barnet Hospital,5.17,Royal Free Hospital,10.66,Barnet Hospital,5.17,Homerton University,12.6
EN40AZ,51.647201,-0.142672,North,Barnet Hospital,5.02,Royal Free Hospital,10.57,Barnet Hospital,5.02,Homerton University,12.62
EN40BA,51.648607,-0.142296,North,Barnet Hospital,5.04,Royal Free Hospital,10.73,Barnet Hospital,5.04,Homerton University,12.74
EN40BB,51.648987,-0.144175,North,Barnet Hospital,4.9,Royal Free Hospital,10.75,Barnet Hospital,4.9,Homerton University,12.84
EN40BD,51.647314,-0.136148,North,Barnet Hospital,5.47,Royal Free Hospital,10.66,Barnet Hospital,5.47,Homerton University,12.4
EN40BE,51.643241,-0.171119,North,Barnet Hospital,3.15,Royal Free Hospital,10.02,Barnet Hospital,3.15,UCH (University College),13.4
EN40BF,51.643241,-0.171119,North,Barnet Hospital,3.15,Royal Free Hospital,10.02,Barnet Hospital,3.15,UCH (University College),13.4
EN40BG,51.646055,-0.144685,North,Barnet Hospital,4.89,Royal Free Hospital,10.42,Barnet Hospital,4.89,Homerton University,12.59
