Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
CM233WE,51.528568,-0.11645,South,Evelina (St Thomas'),3.15,None Found,0.0,University Lewisham,10.81,Evelina (St Thomas'),3.15
SE10AA,51.498709,-0.101747,South,Evelina (St Thomas'),1.2,None Found,0.0,University Lewisham,7.7,Evelina (St Thomas'),1.2
SE10AB,51.504039,-0.095459,South,Evelina (St Thomas'),1.67,None Found,0.0,University Lewisham,7.8,Evelina (St Thomas'),1.67
SE10AD,51.499569,-0.100991,South,Evelina (St Thomas'),1.24,None Found,0.0,University Lewisham,7.72,Evelina (St Thomas'),1.24
SE10AE,51.498576,-0.104087,South,Evelina (St Thomas'),1.04,None Found,0.0,University Lewisham,7.81,Evelina (St Thomas'),1.04
SE10AF,51.498207,-0.104073,South,Evelina (St Thomas'),1.05,None Found,0.0,University Lewisham,7.78,Evelina (St Thomas'),1.05
SE10AG,51.499201,-0.102678,South,Evelina (St Thomas'),1.13,None Found,0.0,University Lewisham,7.78,Evelina (St Thomas'),1.13
SE10AH,51.499036,-0.102483,South,Evelina (St Thomas'),1.15,None Found,0.0,University Lewisham,7.76,Evelina (St Thomas'),1.15
SE10AJ,51.499181,-0.100373,South,Evelina (St Thomas'),1.29,None Found,0.0,University Lewisham,7.66,Evelina (St Thomas'),1.29
SE10AL,51.504759,-0.096078,South,Evelina (St Thomas'),1.66,None Found,0.0,University Lewisham,7.88,Evelina (St Thomas'),1.66
SE10AN,51.499043,-0.103491,South,Evelina (St Thomas'),1.08,None Found,0.0,University Lewisham,7.81,Evelina (St Thomas'),1.08
SE10AP,51.498963,-0.105209,South,Evelina (St Thomas'),0.96,None Found,0.0,University Lewisham,7.89,Evelina (St Thomas'),0.96
SE10AQ,51.499281,-0.102112,South,Evelina (St Thomas'),1.17,None Found,0.0,University Lewisham,7.76,Evelina (St Thomas'),1.17
SE10AR,51.504038,-0.095963,South,Evelina (St Thomas'),1.64,None Found,0.0,University Lewisham,7.82,Evelina (St Thomas'),1.64
SE10AS,51.503411,-0.096105,South,Evelina (St Thomas'),1.62,None Found,0.0,University Lewisham,7.78,Evelina (St Thomas'),1.62
SE10AT,51.503556,-0.096214,South,Evelina (St Thomas'),1.61,None Found,0.0,University Lewisham,7.79,Evelina (St Thomas'),1.61
SE10AU,51.503482,-0.096649,South,Evelina (St Thomas'),1.58,None Found,0.0,University Lewisham,7.81,Evelina (St Thomas'),1.58
SE10AW,51.502584,-0.096687,South,Evelina (St Thomas'),1.56,None Found,0.0,University Lewisham,7.74,Evelina (St Thomas'),1.56
SE10AX,51.503469,-0.095267,South,Evelina (St Thomas'),1.67,None Found,0.0,University Lewisham,7.74,Evelina (St Thomas'),1.67
SE10AY,51.503482,-0.096649,South,Evelina (St Thomas'),1.58,None Found,0.0,University Lewisham,7.81,Evelina (St Thomas'),1.58
SE10AZ,51.503661,-0.096022,South,Evelina (St Thomas'),1.63,None Found,0.0,University Lewisham,7.79,Evelina (St Thomas'),1.63
SE10BA,51.502961,-0.100562,South,Evelina (St Thomas'),1.3,None Found,0.0,University Lewisham,7.96,Evelina (St Thomas'),1.3
SE10BB,51.50252,-0.101099,South,Evelina (St Thomas'),1.26,None Found,0.0,University Lewisham,7.95,Evelina (St Thomas'),1.26
SE10BD,51.502475,-0.101072,South,Evelina (St Thomas'),1.26,None Found,0.0,University Lewisham,7.95,Evelina (St Thomas'),1.26
SE10BE,51.501639,-0.10053,South,Evelina (St Thomas'),1.28,None Found,0.0,University Lewisham,7.85,Evelina (St Thomas'),1.28
SE10BF,51.502411,-0.101031,South,Evelina (St Thomas'),1.26,None Found,0.0,University Lewisham,7.94,Evelina (St Thomas'),1.26
SE10BG,51.501755,-0.101044,South,Evelina (St Thomas'),1.25,None Found,0.0,University Lewisham,7.89,Evelina (St Thomas'),1.25
SE10BH,51.502283,-0.102549,South,Evelina (St Thomas'),1.15,None Found,0.0,University Lewisham,8.0,Evelina (St Thomas'),1.15
SE10BJ,51.501946,-0.102866,South,Evelina (St Thomas'),1.12,None Found,0.0,University Lewisham,8.0,Evelina (St Thomas'),1.12
SE10BL,51.503104,-0.101579,South,Evelina (St Thomas'),1.24,None Found,0.0,University Lewisham,8.02,Evelina (St Thomas'),1.24
SE10BN,51.502677,-0.102447,South,Evelina (St Thomas'),1.17,None Found,0.0,University Lewisham,8.03,Evelina (St Thomas'),1.17
SE10BP,51.498366,-0.10277,South,Evelina (St Thomas'),1.14,None Found,0.0,University Lewisham,7.72,Evelina (St Thomas'),1.14
SE10BQ,51.50125,-0.09876,South,Evelina (St Thomas'),1.4,None Found,0.0,University Lewisham,7.74,Evelina (St Thomas'),1.4
SE10BS,51.503552,-0.100969,South,Evelina (St Thomas'),1.29,None Found,0.0,University Lewisham,8.02,Evelina (St Thomas'),1.29
SE10BT,51.502558,-0.100622,South,Evelina (St Thomas'),1.29,None Found,0.0,University Lewisham,7.93,Evelina (St Thomas'),1.29
SE10BU,51.501467,-0.099356,South,Evelina (St Thomas'),1.36,None Found,0.0,University Lewisham,7.78,Evelina (St Thomas'),1.36
SE10BW,51.501876,-0.103489,South,Evelina (St Thomas'),1.08,None Found,0.0,University Lewisham,8.02,Evelina (St Thomas'),1.08
SE10BX,51.501217,-0.098891,South,Evelina (St Thomas'),1.39,None Found,0.0,University Lewisham,7.74,Evelina (St Thomas'),1.39
SE10BY,51.502559,-0.102394,South,Evelina (St Thomas'),1.17,None Found,0.0,University Lewisham,8.02,Evelina (St Thomas'),1.17
SE10BZ,51.502787,-0.102024,South,Evelina (St Thomas'),1.2,None Found,0.0,University Lewisham,8.02,Evelina (St Thomas'),1.2
SE10DA,51.501732,-0.099604,South,Evelina (St Thomas'),1.35,None Found,0.0,University Lewisham,7.82,Evelina (St Thomas'),1.35
SE10DB,51.50295,-0.100951,South,Evelina (St Thomas'),1.28,None Found,0.0,University Lewisham,7.98,Evelina (St Thomas'),1.28
SE10DD,51.498164,-0.102548,South,Evelina (St Thomas'),1.16,None Found,0.0,University Lewisham,7.7,Evelina (St Thomas'),1.16
SE10DE,51.492763,-0.080126,South,Evelina (St Thomas'),2.81,None Found,0.0,University Lewisham,6.16,Evelina (St Thomas'),2.81
SE10DF,51.502787,-0.102024,South,Evelina (St Thomas'),1.2,None Found,0.0,University Lewisham,8.02,Evelina (St Thomas'),1.2
SE10DG,51.500221,-0.099609,South,Evelina (St Thomas'),1.34,None Found,0.0,University Lewisham,7.7,Evelina (St Thomas'),1.34
SE10DH,51.499971,-0.100268,South,Evelina (St Thomas'),1.29,None Found,0.0,University Lewisham,7.71,Evelina (St Thomas'),1.29
SE10DJ,51.503185,-0.101042,South,Evelina (St Thomas'),1.28,None Found,0.0,University Lewisham,8.0,Evelina (St Thomas'),1.28
SE10DL,51.499918,-0.100919,South,Evelina (St Thomas'),1.25,None Found,0.0,University Lewisham,7.74,Evelina (St Thomas'),1.25
SE10DN,51.499751,-0.099442,South,Evelina (St Thomas'),1.35,None Found,0.0,University Lewisham,7.66,Evelina (St Thomas'),1.35
SE10DP,51.500104,-0.101833,South,Evelina (St Thomas'),1.18,None Found,0.0,University Lewisham,7.8,Evelina (St Thomas'),1.18
SE10DQ,51.500304,-0.100269,South,Evelina (St Thomas'),1.29,None Found,0.0,University Lewisham,7.74,Evelina (St Thomas'),1.29
SE10DR,51.499958,-0.101119,South,Evelina (St Thomas'),1.23,None Found,0.0,University Lewisham,7.76,Evelina (St Thomas'),1.23
SE10DS,51.499059,-0.101156,South,Evelina (St Thomas'),1.24,None Found,0.0,University Lewisham,7.69,Evelina (St Thomas'),1.24
SE10DT,51.500654,-0.098612,South,Evelina (St Thomas'),1.4,None Found,0.0,University Lewisham,7.68,Evelina (St Thomas'),1.4
SE10DU,51.499059,-0.101156,South,Evelina (St Thomas'),1.24,None Found,0.0,University Lewisham,7.69,Evelina (St Thomas'),1.24
SE10DW,51.500104,-0.101833,South,Evelina (St Thomas'),1.18,None Found,0.0,University Lewisham,7.8,Evelina (St Thomas'),1.18
SE10DX,51.502985,-0.100345,South,Evelina (St Thomas'),1.32,None Found,0.0,University Lewisham,7.95,Evelina (St Thomas'),1.32
SE10DY,51.503198,-0.100192,South,Evelina (St Thomas'),1.33,None Found,0.0,University Lewisham,7.96,Evelina (St Thomas'),1.33
