Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
SE13AH,51.494081,-0.073804,South,Kings College Hospital,3.13,None Found,0.0,University Lewisham,5.97,Kings College Hospital,3.13
SE13AL,51.493715,-0.073978,South,Kings College Hospital,3.09,None Found,0.0,University Lewisham,5.95,Kings College Hospital,3.09
SE13AP,51.493889,-0.073063,South,Kings College Hospital,3.13,None Found,0.0,University Lewisham,5.92,Kings College Hospital,3.13
SE13AR,51.493744,-0.072478,South,Kings College Hospital,3.13,None Found,0.0,University Lewisham,5.89,Kings College Hospital,3.13
SE13AU,51.494675,-0.072756,South,Kings College Hospital,3.22,None Found,0.0,University Lewisham,5.98,Kings College Hospital,3.22
SE13AW,51.493315,-0.074816,South,Kings College Hospital,3.02,None Found,0.0,University Lewisham,5.95,Kings College Hospital,3.02
SE13AY,51.494019,-0.073893,South,Kings College Hospital,3.12,None Found,0.0,University Lewisham,5.97,Kings College Hospital,3.12
SE13AZ,51.493853,-0.074202,South,Kings College Hospital,3.09,None Found,0.0,University Lewisham,5.97,Kings College Hospital,3.09
SE13BF,51.493801,-0.074277,South,Kings College Hospital,3.09,None Found,0.0,University Lewisham,5.97,Kings College Hospital,3.09
SE13BJ,51.493668,-0.074959,South,Kings College Hospital,3.06,None Found,0.0,University Lewisham,5.99,Kings College Hospital,3.06
SE13BL,51.493259,-0.07417,South,Kings College Hospital,3.03,None Found,0.0,University Lewisham,5.92,Kings College Hospital,3.03
SE13FQ,51.494422,-0.072723,South,Kings College Hospital,3.19,None Found,0.0,University Lewisham,5.96,Kings College Hospital,3.19
SE13GF,51.493979,-0.074759,South,Kings College Hospital,3.09,None Found,0.0,University Lewisham,6.01,Kings College Hospital,3.09
SE13GG,51.494046,-0.074454,South,Kings College Hospital,3.11,None Found,0.0,University Lewisham,6.0,Kings College Hospital,3.11
SE14SA,51.485251,-0.081565,South,Kings College Hospital,2.02,None Found,0.0,University Lewisham,5.66,Kings College Hospital,2.02
SE15AA,51.486973,-0.074694,South,Kings College Hospital,2.39,None Found,0.0,University Lewisham,5.43,Kings College Hospital,2.39
SE15AD,51.486621,-0.075703,South,Kings College Hospital,2.33,None Found,0.0,University Lewisham,5.46,Kings College Hospital,2.33
SE15AG,51.485874,-0.071845,South,Kings College Hospital,2.4,None Found,0.0,University Lewisham,5.21,Kings College Hospital,2.4
SE15AH,51.485419,-0.071,South,Kings College Hospital,2.39,None Found,0.0,University Lewisham,5.13,Kings College Hospital,2.39
SE15AN,51.484287,-0.071048,South,Kings College Hospital,2.29,None Found,0.0,University Lewisham,5.05,Kings College Hospital,2.29
SE15AS,51.484584,-0.069955,South,Kings College Hospital,2.36,None Found,0.0,University Lewisham,5.01,Kings College Hospital,2.36
SE15AU,51.48332,-0.070182,South,Kings College Hospital,2.25,None Found,0.0,University Lewisham,4.93,Kings College Hospital,2.25
SE15AW,51.483607,-0.071278,South,Kings College Hospital,2.22,None Found,0.0,University Lewisham,5.0,Kings College Hospital,2.22
SE15AY,51.483715,-0.06907,South,Kings College Hospital,2.33,None Found,0.0,University Lewisham,4.9,Kings College Hospital,2.33
SE15BA,51.484387,-0.068408,South,Kings College Hospital,2.42,None Found,0.0,University Lewisham,4.92,Kings College Hospital,2.42
SE15BB,51.484019,-0.070037,South,Kings College Hospital,2.31,None Found,0.0,University Lewisham,4.97,Kings College Hospital,2.31
SE15BH,51.491854,-0.064174,South,Kings College Hospital,3.25,None Found,0.0,University Lewisham,5.37,Kings College Hospital,3.25
SE15BJ,51.49204,-0.064584,South,Kings College Hospital,3.25,None Found,0.0,University Lewisham,5.4,Kings College Hospital,3.25
SE15BL,51.491027,-0.066413,South,Kings College Hospital,3.08,None Found,0.0,University Lewisham,5.39,Kings College Hospital,3.08
SE15BN,51.491264,-0.066057,South,Kings College Hospital,3.12,None Found,0.0,University Lewisham,5.39,Kings College Hospital,3.12
SE15BP,51.491787,-0.065041,South,Kings College Hospital,3.21,None Found,0.0,University Lewisham,5.4,Kings College Hospital,3.21
SE15BQ,51.491864,-0.065917,South,Kings College Hospital,3.18,None Found,0.0,University Lewisham,5.44,Kings College Hospital,3.18
SE15BS,51.491356,-0.064541,South,Kings College Hospital,3.19,None Found,0.0,University Lewisham,5.34,Kings College Hospital,3.19
