Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
E175DY,51.599742,-0.031447,North,North Middlesex,3.24,Royal Free Hospital,10.61,North Middlesex,3.24,Homerton University,5.54
E175EA,51.601175,-0.030071,North,North Middlesex,3.26,Royal Free Hospital,10.77,North Middlesex,3.26,Homerton University,5.71
E175EB,51.601093,-0.031071,North,North Middlesex,3.2,Royal Free Hospital,10.7,North Middlesex,3.2,Homerton University,5.69
E175EG,51.601578,-0.031035,North,North Middlesex,3.18,Royal Free Hospital,10.73,North Middlesex,3.18,Homerton University,5.74
E175HE,51.599715,-0.031968,North,North Middlesex,3.21,Royal Free Hospital,10.57,North Middlesex,3.21,Homerton University,5.53
E175HF,51.599578,-0.032378,North,North Middlesex,3.19,Royal Free Hospital,10.54,North Middlesex,3.19,Homerton University,5.51
E175HG,51.599302,-0.031524,North,North Middlesex,3.26,Royal Free Hospital,10.58,North Middlesex,3.26,Homerton University,5.49
E175HJ,51.598682,-0.034207,North,North Middlesex,3.13,Royal Free Hospital,10.38,North Middlesex,3.13,Homerton University,5.39
E175NS,51.599097,-0.034319,North,North Middlesex,3.1,Royal Free Hospital,10.4,North Middlesex,3.1,Homerton University,5.43
E175NT,51.601056,-0.033686,North,North Middlesex,3.04,Royal Free Hospital,10.54,North Middlesex,3.04,Homerton University,5.65
E175NU,51.599659,-0.034021,North,North Middlesex,3.09,Royal Free Hospital,10.45,North Middlesex,3.09,Homerton University,5.5
E175NX,51.59973,-0.03666,North,North Middlesex,2.93,Royal Free Hospital,10.29,North Middlesex,2.93,Homerton University,5.48
E175PA,51.600371,-0.034106,North,North Middlesex,3.05,Royal Free Hospital,10.48,North Middlesex,3.05,Homerton University,5.58
E175PB,51.599277,-0.036983,North,North Middlesex,2.94,Royal Free Hospital,10.25,North Middlesex,2.94,Homerton University,5.43
E175PD,51.599296,-0.036506,North,North Middlesex,2.96,Royal Free Hospital,10.28,North Middlesex,2.96,Homerton University,5.43
E175PE,51.599534,-0.035138,North,North Middlesex,3.03,Royal Free Hospital,10.37,North Middlesex,3.03,Homerton University,5.47
E175PG,51.599976,-0.03844,North,North Middlesex,2.81,Royal Free Hospital,10.2,North Middlesex,2.81,Homerton University,5.49
E175PH,51.598926,-0.038572,North,North Middlesex,2.86,Royal Free Hospital,10.13,North Middlesex,2.86,Homerton University,5.38
