Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
HA01AA,51.540072,-0.303457,North,Northwick Park,4.27,West Middlesex,7.57,Northwick Park,4.27,Queen Charlottes',5.31
HA01AB,51.539779,-0.303093,North,Northwick Park,4.31,West Middlesex,7.54,Northwick Park,4.31,Queen Charlottes',5.27
HA01AD,51.540412,-0.303402,North,Northwick Park,4.24,West Middlesex,7.61,Northwick Park,4.24,Queen Charlottes',5.32
HA01AE,51.540883,-0.305446,North,Northwick Park,4.15,West Middlesex,7.63,Northwick Park,4.15,Queen Charlottes',5.47
HA01AF,51.542583,-0.306147,North,Northwick Park,3.95,West Middlesex,7.81,Northwick Park,3.95,Queen Charlottes',5.61
HA01AH,51.542915,-0.305472,North,Northwick Park,3.93,West Middlesex,7.86,Northwick Park,3.93,Queen Charlottes',5.58
HA01AJ,51.541706,-0.30331,North,Northwick Park,4.1,West Middlesex,7.75,Northwick Park,4.1,Queen Charlottes',5.39
HA01AL,51.547779,-0.312863,North,Northwick Park,3.28,West Middlesex,8.32,Northwick Park,3.28,Queen Charlottes',6.3
HA01AN,51.540269,-0.302196,North,Northwick Park,4.28,West Middlesex,7.61,Northwick Park,4.28,Queen Charlottes',5.24
HA01AP,51.543085,-0.304802,North,Northwick Park,3.93,West Middlesex,7.88,Northwick Park,3.93,Queen Charlottes',5.55
HA01AQ,51.541342,-0.303626,North,Northwick Park,4.14,West Middlesex,7.71,Northwick Park,4.14,Queen Charlottes',5.39
HA01AR,51.545149,-0.306369,North,Northwick Park,3.68,West Middlesex,8.09,Northwick Park,3.68,Queen Charlottes',5.77
HA01AS,51.54667,-0.308274,North,Northwick Park,3.48,West Middlesex,8.24,Northwick Park,3.48,Queen Charlottes',5.97
HA01AT,51.547611,-0.310576,North,Northwick Park,3.33,West Middlesex,8.32,Northwick Park,3.33,Queen Charlottes',6.16
HA01AU,51.548319,-0.31166,North,Northwick Park,3.24,West Middlesex,8.39,Northwick Park,3.24,Queen Charlottes',6.27
HA01AW,51.541104,-0.301472,North,Northwick Park,4.21,West Middlesex,7.71,Northwick Park,4.21,Queen Charlottes',5.24
HA01AX,51.548674,-0.31257,North,Northwick Park,3.19,West Middlesex,8.42,Northwick Park,3.19,Queen Charlottes',6.34
HA01BA,51.538578,-0.304623,North,Northwick Park,4.41,West Middlesex,7.39,Northwick Park,4.41,Queen Charlottes',5.3
