Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
HA01AG,51.540589,-0.283394,North,Queen Charlottes',4.18,West Middlesex,8.01,Northwick Park,4.83,Queen Charlottes',4.18
HA01AY,51.539642,-0.282564,North,Queen Charlottes',4.07,West Middlesex,7.94,Northwick Park,4.95,Queen Charlottes',4.07
HA01AZ,51.540644,-0.283435,North,Queen Charlottes',4.19,West Middlesex,8.02,Northwick Park,4.82,Queen Charlottes',4.19
HA01BD,51.54047,-0.283831,North,Queen Charlottes',4.2,West Middlesex,7.99,Northwick Park,4.82,Queen Charlottes',4.2
HA01BE,51.540222,-0.283465,North,Queen Charlottes',4.16,West Middlesex,7.97,Northwick Park,4.86,Queen Charlottes',4.16
HA01DY,51.540599,-0.284071,North,Queen Charlottes',4.22,West Middlesex,8.0,Northwick Park,4.8,Queen Charlottes',4.22
HA01EJ,51.533585,-0.300137,North,Queen Charlottes',4.78,West Middlesex,6.92,Northwick Park,5.03,Queen Charlottes',4.78
HA01EL,51.532749,-0.304494,North,Queen Charlottes',5.03,West Middlesex,6.76,Northwick Park,5.04,Queen Charlottes',5.03
HA01ES,51.533989,-0.301362,North,Queen Charlottes',4.88,West Middlesex,6.94,Northwick Park,4.96,Queen Charlottes',4.88
HA01EX,51.540574,-0.283553,North,Queen Charlottes',4.19,West Middlesex,8.01,Northwick Park,4.82,Queen Charlottes',4.19
HA01EY,51.534045,-0.300841,North,Queen Charlottes',4.85,West Middlesex,6.96,Northwick Park,4.97,Queen Charlottes',4.85
HA01FR,51.538768,-0.285524,North,Queen Charlottes',4.18,West Middlesex,7.77,Northwick Park,4.92,Queen Charlottes',4.18
HA01FX,51.541118,-0.282624,North,Queen Charlottes',4.18,West Middlesex,8.09,Northwick Park,4.81,Queen Charlottes',4.18
HA01FY,51.538768,-0.285524,North,Queen Charlottes',4.18,West Middlesex,7.77,Northwick Park,4.92,Queen Charlottes',4.18
HA01FZ,51.538768,-0.285524,North,Queen Charlottes',4.18,West Middlesex,7.77,Northwick Park,4.92,Queen Charlottes',4.18
HA01GA,51.539688,-0.286932,North,Queen Charlottes',4.32,West Middlesex,7.84,Northwick Park,4.78,Queen Charlottes',4.32
HA01GD,51.538789,-0.286966,North,Queen Charlottes',4.26,West Middlesex,7.74,Northwick Park,4.87,Queen Charlottes',4.26
HA01GG,51.537974,-0.292764,North,Queen Charlottes',4.55,West Middlesex,7.53,Northwick Park,4.76,Queen Charlottes',4.55
HA01GJ,51.539486,-0.282354,North,Queen Charlottes',4.05,West Middlesex,7.93,Northwick Park,4.97,Queen Charlottes',4.05
HA01GQ,51.538726,-0.282642,North,Queen Charlottes',4.01,West Middlesex,7.84,Northwick Park,5.03,Queen Charlottes',4.01
HA01GS,51.53973,-0.289814,North,Queen Charlottes',4.48,West Middlesex,7.78,Northwick Park,4.68,Queen Charlottes',4.48
HA01GW,51.540871,-0.286642,North,Queen Charlottes',4.38,West Middlesex,7.97,Northwick Park,4.68,Queen Charlottes',4.38
HA01GZ,51.538789,-0.286966,North,Queen Charlottes',4.26,West Middlesex,7.74,Northwick Park,4.87,Queen Charlottes',4.26
HA01HD,51.534847,-0.297899,North,Queen Charlottes',4.7,West Middlesex,7.09,Northwick Park,4.95,Queen Charlottes',4.7
HA01HF,51.540425,-0.290639,North,Queen Charlottes',4.57,West Middlesex,7.83,Northwick Park,4.59,Queen Charlottes',4.57
HA01HJ,51.540466,-0.290349,North,Queen Charlottes',4.56,West Middlesex,7.84,Northwick Park,4.59,Queen Charlottes',4.56
HA01HS,51.5372,-0.296427,North,Queen Charlottes',4.73,West Middlesex,7.37,Northwick Park,4.74,Queen Charlottes',4.73
HA01HT,51.538365,-0.293023,North,Queen Charlottes',4.59,West Middlesex,7.56,Northwick Park,4.72,Queen Charlottes',4.59
HA01HU,51.539422,-0.290273,North,Queen Charlottes',4.49,West Middlesex,7.73,Northwick Park,4.7,Queen Charlottes',4.49
HA01HX,51.539141,-0.287688,North,Queen Charlottes',4.32,West Middlesex,7.76,Northwick Park,4.81,Queen Charlottes',4.32
