Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
IG11UQ,51.563218,0.091967,North,Queens Hospital,5.98,Royal Free Hospital,17.83,Queens Hospital,5.98,Homerton University,9.65
IG14AL,51.565213,0.09053,North,Queens Hospital,6.06,Royal Free Hospital,17.74,Queens Hospital,6.06,Homerton University,9.59
IG14AN,51.56491,0.090386,North,Queens Hospital,6.07,Royal Free Hospital,17.73,Queens Hospital,6.07,Homerton University,9.57
IG14AR,51.565907,0.090489,North,Queens Hospital,6.05,Royal Free Hospital,17.75,Queens Hospital,6.05,Homerton University,9.6
IG14AS,51.566731,0.090657,North,Queens Hospital,6.04,Royal Free Hospital,17.76,Queens Hospital,6.04,Homerton University,9.63
IG110AN,51.525394,0.124531,North,Queens Hospital,6.13,Royal Free Hospital,20.29,Queens Hospital,6.13,Homerton University,12.14
IG110RH,51.531027,0.122846,North,Queens Hospital,5.72,Royal Free Hospital,20.09,Queens Hospital,5.72,Homerton University,11.9
IG110RJ,51.531307,0.120798,North,Queens Hospital,5.79,Royal Free Hospital,19.94,Queens Hospital,5.79,Homerton University,11.75
IG110RL,51.531258,0.122497,North,Queens Hospital,5.72,Royal Free Hospital,20.06,Queens Hospital,5.72,Homerton University,11.87
IG110RN,51.530328,0.120738,North,Queens Hospital,5.87,Royal Free Hospital,19.95,Queens Hospital,5.87,Homerton University,11.77
IG110RR,51.531174,0.123661,North,Queens Hospital,5.67,Royal Free Hospital,20.14,Queens Hospital,5.67,Homerton University,11.95
IG110RW,51.531226,0.120779,North,Queens Hospital,5.8,Royal Free Hospital,19.94,Queens Hospital,5.8,Homerton University,11.75
IG110SE,51.528121,0.124917,North,Queens Hospital,5.87,Royal Free Hospital,20.27,Queens Hospital,5.87,Homerton University,12.1
IG110SQ,51.528055,0.123602,North,Queens Hospital,5.94,Royal Free Hospital,20.18,Queens Hospital,5.94,Homerton University,12.01
IG110TP,51.530466,0.128011,North,Queens Hospital,5.54,Royal Free Hospital,20.45,Queens Hospital,5.54,Homerton University,12.26
IG110TT,51.53123,0.125552,North,Queens Hospital,5.58,Royal Free Hospital,20.27,Queens Hospital,5.58,Homerton University,12.08
IG110TU,51.531298,0.126723,North,Queens Hospital,5.52,Royal Free Hospital,20.35,Queens Hospital,5.52,Homerton University,12.15
IG110TW,51.53047,0.123787,North,Queens Hospital,5.72,Royal Free Hospital,20.16,Queens Hospital,5.72,Homerton University,11.97
IG110TY,51.53119,0.130712,North,Queens Hospital,5.36,Royal Free Hospital,20.62,Queens Hospital,5.36,Homerton University,12.43
IG110UA,51.530427,0.132609,North,Queens Hospital,5.35,Royal Free Hospital,20.76,Queens Hospital,5.35,Homerton University,12.57
IG110UB,51.530765,0.134311,North,Queens Hospital,5.25,Royal Free Hospital,20.88,Queens Hospital,5.25,Homerton University,12.68
IG110UD,51.530391,0.135072,North,Queens Hospital,5.25,Royal Free Hospital,20.93,Queens Hospital,5.25,Homerton University,12.74
IG110UE,51.52958,0.134213,North,Queens Hospital,5.36,Royal Free Hospital,20.89,Queens Hospital,5.36,Homerton University,12.7
IG110UG,51.530024,0.133527,North,Queens Hospital,5.35,Royal Free Hospital,20.83,Queens Hospital,5.35,Homerton University,12.64
IG110UH,51.529915,0.130595,North,Queens Hospital,5.47,Royal Free Hospital,20.63,Queens Hospital,5.47,Homerton University,12.45
IG110UJ,51.530613,0.130772,North,Queens Hospital,5.41,Royal Free Hospital,20.64,Queens Hospital,5.41,Homerton University,12.44
IG110UL,51.530932,0.129056,North,Queens Hospital,5.45,Royal Free Hospital,20.51,Queens Hospital,5.45,Homerton University,12.32
IG110UP,51.530171,0.129381,North,Queens Hospital,5.5,Royal Free Hospital,20.55,Queens Hospital,5.5,Homerton University,12.36
IG110UQ,51.530374,0.132073,North,Queens Hospital,5.37,Royal Free Hospital,20.73,Queens Hospital,5.37,Homerton University,12.54
IG110XX,51.530119,0.132263,North,Queens Hospital,5.39,Royal Free Hospital,20.74,Queens Hospital,5.39,Homerton University,12.55
IG119AP,51.547667,0.105202,North,Queens Hospital,5.58,Royal Free Hospital,18.72,Queens Hospital,5.58,Homerton University,10.47
IG119AR,51.546518,0.106086,North,Queens Hospital,5.58,Royal Free Hospital,18.79,Queens Hospital,5.58,Homerton University,10.54
IG119AS,51.547748,0.105681,North,Queens Hospital,5.54,Royal Free Hospital,18.75,Queens Hospital,5.54,Homerton University,10.51
IG119AT,51.546758,0.107727,North,Queens Hospital,5.47,Royal Free Hospital,18.9,Queens Hospital,5.47,Homerton University,10.65
IG119AU,51.546678,0.108185,North,Queens Hospital,5.44,Royal Free Hospital,18.93,Queens Hospital,5.44,Homerton University,10.69
IG119AX,51.548355,0.10744,North,Queens Hospital,5.4,Royal Free Hospital,18.87,Queens Hospital,5.4,Homerton University,10.63
IG119AY,51.547793,0.108222,North,Queens Hospital,5.38,Royal Free Hospital,18.93,Queens Hospital,5.38,Homerton University,10.68
IG119AZ,51.547113,0.108508,North,Queens Hospital,5.4,Royal Free Hospital,18.95,Queens Hospital,5.4,Homerton University,10.71
IG119BA,51.545701,0.109005,North,Queens Hospital,5.44,Royal Free Hospital,18.99,Queens Hospital,5.44,Homerton University,10.75
IG119BB,51.544992,0.10792,North,Queens Hospital,5.55,Royal Free Hospital,18.92,Queens Hospital,5.55,Homerton University,10.68
IG119BS,51.546724,0.106644,North,Queens Hospital,5.53,Royal Free Hospital,18.82,Queens Hospital,5.53,Homerton University,10.58
IG119BT,51.546698,0.107104,North,Queens Hospital,5.51,Royal Free Hospital,18.86,Queens Hospital,5.51,Homerton University,10.61
IG119BU,51.548581,0.105893,North,Queens Hospital,5.49,Royal Free Hospital,18.77,Queens Hospital,5.49,Homerton University,10.52
IG119BX,51.549458,0.105645,North,Queens Hospital,5.47,Royal Free Hospital,18.75,Queens Hospital,5.47,Homerton University,10.5
IG119BY,51.550759,0.107277,North,Queens Hospital,5.3,Royal Free Hospital,18.86,Queens Hospital,5.3,Homerton University,10.61
IG119BZ,51.551992,0.106743,North,Queens Hospital,5.29,Royal Free Hospital,18.82,Queens Hospital,5.29,Homerton University,10.58
IG119DA,51.551258,0.106031,North,Queens Hospital,5.36,Royal Free Hospital,18.77,Queens Hospital,5.36,Homerton University,10.53
IG119DB,51.551376,0.105459,North,Queens Hospital,5.39,Royal Free Hospital,18.73,Queens Hospital,5.39,Homerton University,10.49
IG119DD,51.550397,0.104909,North,Queens Hospital,5.47,Royal Free Hospital,18.69,Queens Hospital,5.47,Homerton University,10.45
IG119DE,51.549907,0.103632,North,Queens Hospital,5.57,Royal Free Hospital,18.61,Queens Hospital,5.57,Homerton University,10.36
IG119DN,51.551135,0.105867,North,Queens Hospital,5.38,Royal Free Hospital,18.76,Queens Hospital,5.38,Homerton University,10.51
IG119DZ,51.548969,0.104281,North,Queens Hospital,5.57,Royal Free Hospital,18.65,Queens Hospital,5.57,Homerton University,10.41
IG119EA,51.55011,0.106367,North,Queens Hospital,5.39,Royal Free Hospital,18.79,Queens Hospital,5.39,Homerton University,10.55
IG119EB,51.549035,0.107169,North,Queens Hospital,5.39,Royal Free Hospital,18.85,Queens Hospital,5.39,Homerton University,10.61
IG119ED,51.549425,0.104446,North,Queens Hospital,5.54,Royal Free Hospital,18.66,Queens Hospital,5.54,Homerton University,10.42
IG119EL,51.550422,0.108517,North,Queens Hospital,5.24,Royal Free Hospital,18.94,Queens Hospital,5.24,Homerton University,10.7
IG119EN,51.549736,0.108644,North,Queens Hospital,5.26,Royal Free Hospital,18.95,Queens Hospital,5.26,Homerton University,10.71
IG119EQ,51.550114,0.107651,North,Queens Hospital,5.31,Royal Free Hospital,18.88,Queens Hospital,5.31,Homerton University,10.64
IG27AG,51.56629,0.09169,North,Queens Hospital,5.97,Royal Free Hospital,17.83,Queens Hospital,5.97,Homerton University,9.69
IG27AH,51.567214,0.092281,North,Queens Hospital,5.92,Royal Free Hospital,17.88,Queens Hospital,5.92,Homerton University,9.75
IG27AJ,51.567827,0.093247,North,Queens Hospital,5.85,Royal Free Hospital,17.95,Queens Hospital,5.85,Homerton University,9.82
IG27AL,51.568167,0.091314,North,Queens Hospital,5.99,Royal Free Hospital,17.82,Queens Hospital,5.99,Homerton University,9.7
IG27AN,51.568452,0.091486,North,Queens Hospital,5.97,Royal Free Hospital,17.84,Queens Hospital,5.97,Homerton University,9.72
IG27AP,51.570037,0.089827,North,Queens Hospital,6.09,Royal Free Hospital,17.74,Queens Hospital,6.09,Homerton University,9.64
IG27AQ,51.566482,0.092536,North,Queens Hospital,5.91,Royal Free Hospital,17.89,Queens Hospital,5.91,Homerton University,9.75
IG27AR,51.568797,0.091776,North,Queens Hospital,5.95,Royal Free Hospital,17.86,Queens Hospital,5.95,Homerton University,9.75
IG27AS,51.569082,0.091933,North,Queens Hospital,5.94,Royal Free Hospital,17.88,Queens Hospital,5.94,Homerton University,9.76
IG27AT,51.568537,0.093741,North,Queens Hospital,5.82,Royal Free Hospital,17.99,Queens Hospital,5.82,Homerton University,9.87
IG27AU,51.569307,0.093921,North,Queens Hospital,5.8,Royal Free Hospital,18.02,Queens Hospital,5.8,Homerton University,9.9
IG27AW,51.569131,0.089713,North,Queens Hospital,6.1,Royal Free Hospital,17.72,Queens Hospital,6.1,Homerton University,9.61
IG27AX,51.569536,0.091695,North,Queens Hospital,5.96,Royal Free Hospital,17.86,Queens Hospital,5.96,Homerton University,9.76
IG27AY,51.569801,0.091981,North,Queens Hospital,5.94,Royal Free Hospital,17.89,Queens Hospital,5.94,Homerton University,9.78
IG27AZ,51.570226,0.091856,North,Queens Hospital,5.95,Royal Free Hospital,17.88,Queens Hospital,5.95,Homerton University,9.79
IG27BA,51.570386,0.09397,North,Queens Hospital,5.8,Royal Free Hospital,18.03,Queens Hospital,5.8,Homerton University,9.93
