Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
N20EN,51.579644,-0.180155,North,Royal Free Hospital,3.11,Royal Free Hospital,3.11,Whittington Hospital,3.12,UCH (University College),6.84
N20FA,51.574676,-0.17409,North,Royal Free Hospital,2.46,Royal Free Hospital,2.46,Whittington Hospital,2.51,UCH (University College),6.16
N20TT,51.572863,-0.173773,North,Royal Free Hospital,2.26,Royal Free Hospital,2.26,Whittington Hospital,2.42,UCH (University College),5.97
N20TU,51.572061,-0.174209,North,Royal Free Hospital,2.18,Royal Free Hospital,2.18,Whittington Hospital,2.42,UCH (University College),5.91
N31RR,51.596821,-0.203551,North,Royal Free Hospital,5.52,Royal Free Hospital,5.52,Whittington Hospital,5.52,Queen Charlottes',9.16
N31SP,51.598483,-0.206431,North,Royal Free Hospital,5.78,Royal Free Hospital,5.78,Whittington Hospital,5.79,Queen Charlottes',9.29
N31SR,51.597715,-0.20675,North,Royal Free Hospital,5.72,Royal Free Hospital,5.72,Whittington Hospital,5.76,Queen Charlottes',9.2
N31SS,51.597255,-0.205483,North,Royal Free Hospital,5.63,Royal Free Hospital,5.63,Whittington Hospital,5.66,Queen Charlottes',9.18
N31ST,51.597513,-0.204707,North,Royal Free Hospital,5.63,Royal Free Hospital,5.63,Whittington Hospital,5.63,Queen Charlottes',9.22
N31TJ,51.598575,-0.207134,North,Royal Free Hospital,5.81,Royal Free Hospital,5.81,Barnet Hospital,5.82,Queen Charlottes',9.29
N33AA,51.591653,-0.200218,North,Royal Free Hospital,4.91,Royal Free Hospital,4.91,Whittington Hospital,5.0,Queen Charlottes',8.67
N33AB,51.594043,-0.201278,North,Royal Free Hospital,5.17,Royal Free Hospital,5.17,Whittington Hospital,5.21,Queen Charlottes',8.9
N33AD,51.594686,-0.20388,North,Royal Free Hospital,5.32,Royal Free Hospital,5.32,Whittington Hospital,5.4,Queen Charlottes',8.92
N33AE,51.594948,-0.203393,North,Royal Free Hospital,5.33,Royal Free Hospital,5.33,Whittington Hospital,5.39,Queen Charlottes',8.96
N33AG,51.595296,-0.202615,North,Royal Free Hospital,5.34,Royal Free Hospital,5.34,Whittington Hospital,5.37,Queen Charlottes',9.01
N33AH,51.595493,-0.202607,North,Royal Free Hospital,5.36,Royal Free Hospital,5.36,Whittington Hospital,5.38,Queen Charlottes',9.03
N33AJ,51.59533,-0.201935,North,Royal Free Hospital,5.32,Royal Free Hospital,5.32,Whittington Hospital,5.33,Queen Charlottes',9.03
N33AN,51.59442,-0.20122,North,Royal Free Hospital,5.21,Royal Free Hospital,5.21,Whittington Hospital,5.23,Queen Charlottes',8.94
N33AT,51.591799,-0.199172,North,Royal Free Hospital,4.89,Royal Free Hospital,4.89,Whittington Hospital,4.95,UCH (University College),8.66
N33AU,51.591587,-0.197073,North,Royal Free Hospital,4.8,Royal Free Hospital,4.8,Whittington Hospital,4.81,UCH (University College),8.57
N33AW,51.592338,-0.199772,North,Royal Free Hospital,4.96,Royal Free Hospital,4.96,Whittington Hospital,5.01,UCH (University College),8.74
N33AX,51.59117,-0.196888,North,Royal Free Hospital,4.75,Royal Free Hospital,4.75,Whittington Hospital,4.78,UCH (University College),8.52
N33AY,51.590352,-0.195707,North,Royal Free Hospital,4.63,Royal Free Hospital,4.63,Whittington Hospital,4.66,UCH (University College),8.4
N33DN,51.589818,-0.195512,North,Royal Free Hospital,4.57,Royal Free Hospital,4.57,Whittington Hospital,4.61,UCH (University College),8.35
N33DP,51.591769,-0.203072,North,Royal Free Hospital,5.02,Royal Free Hospital,5.02,Whittington Hospital,5.17,Queen Charlottes',8.63
N33DR,51.591638,-0.20452,North,Royal Free Hospital,5.06,Royal Free Hospital,5.06,Whittington Hospital,5.24,Queen Charlottes',8.59
N33DS,51.59121,-0.202401,North,Royal Free Hospital,4.94,Royal Free Hospital,4.94,Whittington Hospital,5.1,Queen Charlottes',8.58
N33DT,51.590797,-0.201291,North,Royal Free Hospital,4.86,Royal Free Hospital,4.86,Whittington Hospital,5.01,Queen Charlottes',8.56
N33DU,51.590574,-0.202599,North,Royal Free Hospital,4.89,Royal Free Hospital,4.89,Whittington Hospital,5.07,Queen Charlottes',8.51
N33DW,51.591395,-0.196922,North,Royal Free Hospital,4.77,Royal Free Hospital,4.77,Whittington Hospital,4.79,UCH (University College),8.55
N33DX,51.589687,-0.202764,North,Royal Free Hospital,4.81,Royal Free Hospital,4.81,Whittington Hospital,5.03,Queen Charlottes',8.41
N33DY,51.589748,-0.202646,North,Royal Free Hospital,4.81,Royal Free Hospital,4.81,Whittington Hospital,5.02,Queen Charlottes',8.42
N33EA,51.590344,-0.203417,North,Royal Free Hospital,4.9,Royal Free Hospital,4.9,Whittington Hospital,5.1,Queen Charlottes',8.47
N33EB,51.590339,-0.204831,North,Royal Free Hospital,4.95,Royal Free Hospital,4.95,Whittington Hospital,5.19,Queen Charlottes',8.44
N33ED,51.590205,-0.205501,North,Royal Free Hospital,4.96,Royal Free Hospital,4.96,Whittington Hospital,5.22,Queen Charlottes',8.41
N33EE,51.589219,-0.206276,North,Royal Free Hospital,4.9,Royal Free Hospital,4.9,Whittington Hospital,5.21,Queen Charlottes',8.29
N33EF,51.594597,-0.208677,North,Royal Free Hospital,5.49,Royal Free Hospital,5.49,Whittington Hospital,5.66,Queen Charlottes',8.84
N33EG,51.594927,-0.20852,North,Royal Free Hospital,5.51,Royal Free Hospital,5.51,Whittington Hospital,5.68,Queen Charlottes',8.88
N33EH,51.595168,-0.208351,North,Royal Free Hospital,5.53,Royal Free Hospital,5.53,Whittington Hospital,5.68,Queen Charlottes',8.9
N33EJ,51.595748,-0.206899,North,Royal Free Hospital,5.53,Royal Free Hospital,5.53,Whittington Hospital,5.64,Queen Charlottes',8.99
N33EL,51.595497,-0.207573,North,Royal Free Hospital,5.53,Royal Free Hospital,5.53,Whittington Hospital,5.66,Queen Charlottes',8.95
N33EN,51.59457,-0.209862,North,Royal Free Hospital,5.53,Royal Free Hospital,5.53,Whittington Hospital,5.73,Queen Charlottes',8.82
N33EP,51.594713,-0.2086,North,Royal Free Hospital,5.5,Royal Free Hospital,5.5,Whittington Hospital,5.67,Queen Charlottes',8.85
N33EQ,51.595272,-0.208737,North,Royal Free Hospital,5.55,Royal Free Hospital,5.55,Whittington Hospital,5.71,Queen Charlottes',8.91
N33ER,51.593176,-0.210393,North,Royal Free Hospital,5.42,Royal Free Hospital,5.42,Whittington Hospital,5.68,Queen Charlottes',8.66
N33ES,51.592932,-0.210922,North,Royal Free Hospital,5.42,Royal Free Hospital,5.42,Whittington Hospital,5.7,Queen Charlottes',8.62
N33ET,51.591616,-0.21135,North,Royal Free Hospital,5.32,Royal Free Hospital,5.32,Whittington Hospital,5.65,Queen Charlottes',8.47
N33EU,51.591655,-0.209746,North,Royal Free Hospital,5.26,Royal Free Hospital,5.26,Whittington Hospital,5.55,Queen Charlottes',8.5
N33EW,51.590168,-0.194314,North,Royal Free Hospital,4.57,Royal Free Hospital,4.57,Whittington Hospital,4.57,UCH (University College),8.34
N33EX,51.590738,-0.209738,North,Royal Free Hospital,5.18,Royal Free Hospital,5.18,Whittington Hospital,5.5,Queen Charlottes',8.4
N33EY,51.589631,-0.208555,North,Royal Free Hospital,5.03,Royal Free Hospital,5.03,Whittington Hospital,5.37,Queen Charlottes',8.3
N33EZ,51.589978,-0.194192,North,Royal Free Hospital,4.55,Royal Free Hospital,4.55,Whittington Hospital,4.55,UCH (University College),8.32
N33GR,51.591001,-0.210479,North,Royal Free Hospital,5.23,Royal Free Hospital,5.23,Whittington Hospital,5.56,Queen Charlottes',8.42
N33HA,51.590789,-0.207831,North,Royal Free Hospital,5.11,Royal Free Hospital,5.11,Whittington Hospital,5.39,Queen Charlottes',8.44
N33HB,51.59227,-0.208234,North,Royal Free Hospital,5.26,Royal Free Hospital,5.26,Whittington Hospital,5.5,Queen Charlottes',8.59
N33HD,51.592586,-0.207154,North,Royal Free Hospital,5.24,Royal Free Hospital,5.24,Whittington Hospital,5.45,Queen Charlottes',8.64
N33HE,51.595246,-0.205822,North,Royal Free Hospital,5.45,Royal Free Hospital,5.45,Whittington Hospital,5.54,Queen Charlottes',8.95
N33HG,51.596082,-0.208142,North,Royal Free Hospital,5.61,Royal Free Hospital,5.61,Whittington Hospital,5.73,Queen Charlottes',9.01
N33HY,51.592899,-0.198811,North,Royal Free Hospital,4.98,Royal Free Hospital,4.98,Whittington Hospital,5.0,UCH (University College),8.76
N33HZ,51.592338,-0.199772,North,Royal Free Hospital,4.96,Royal Free Hospital,4.96,Whittington Hospital,5.01,UCH (University College),8.74
N33JA,51.592667,-0.198301,North,Royal Free Hospital,4.94,Royal Free Hospital,4.94,Whittington Hospital,4.95,UCH (University College),8.72
N33JE,51.592406,-0.198874,North,Royal Free Hospital,4.94,Royal Free Hospital,4.94,Whittington Hospital,4.97,UCH (University College),8.71
