Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
CR22LD,51.340407,-0.133564,South,St Heliers Hospital,5.64,None Found,0.0,St Heliers Hospital,5.64,St. Georges Hospital,10.08
CR23BE,51.334093,-0.132385,South,St Heliers Hospital,6.26,None Found,0.0,St Heliers Hospital,6.26,St. Georges Hospital,10.77
CR23BF,51.334116,-0.133819,South,St Heliers Hospital,6.2,None Found,0.0,St Heliers Hospital,6.2,St. Georges Hospital,10.74
CR23BJ,51.33407,-0.13095,South,St Heliers Hospital,6.32,None Found,0.0,St Heliers Hospital,6.32,St. Georges Hospital,10.8
CR23BN,51.333217,-0.133856,South,St Heliers Hospital,6.28,None Found,0.0,St Heliers Hospital,6.28,St. Georges Hospital,10.84
CR23DA,51.33787,-0.143717,South,St Heliers Hospital,5.48,None Found,0.0,St Heliers Hospital,5.48,St. Georges Hospital,10.18
CR23DB,51.334207,-0.139558,South,St Heliers Hospital,5.98,None Found,0.0,St Heliers Hospital,5.98,St. Georges Hospital,10.64
CR23DD,51.33241,-0.139631,South,St Heliers Hospital,6.15,None Found,0.0,St Heliers Hospital,6.15,St. Georges Hospital,10.83
CR23DE,51.33605,-0.142355,South,St Heliers Hospital,5.7,None Found,0.0,St Heliers Hospital,5.7,St. Georges Hospital,10.39
CR23DF,51.332387,-0.138196,South,St Heliers Hospital,6.2,None Found,0.0,St Heliers Hospital,6.2,St. Georges Hospital,10.86
CR23DG,51.333354,-0.142464,South,St Heliers Hospital,5.96,None Found,0.0,St Heliers Hospital,5.96,St. Georges Hospital,10.68
CR23DH,51.333377,-0.143898,South,St Heliers Hospital,5.91,None Found,0.0,St Heliers Hospital,5.91,St. Georges Hospital,10.66
CR23DJ,51.333354,-0.142464,South,St Heliers Hospital,5.96,None Found,0.0,St Heliers Hospital,5.96,St. Georges Hospital,10.68
CR23DL,51.333399,-0.145333,South,St Heliers Hospital,5.87,None Found,0.0,St Heliers Hospital,5.87,St. Georges Hospital,10.64
CR23DN,51.334298,-0.145297,South,St Heliers Hospital,5.78,None Found,0.0,St Heliers Hospital,5.78,St. Georges Hospital,10.54
CR23HA,51.337802,-0.139413,South,St Heliers Hospital,5.64,None Found,0.0,St Heliers Hospital,5.64,St. Georges Hospital,10.25
CR23HB,51.336881,-0.138014,South,St Heliers Hospital,5.78,None Found,0.0,St Heliers Hospital,5.78,St. Georges Hospital,10.37
CR23HE,51.334162,-0.136689,South,St Heliers Hospital,6.09,None Found,0.0,St Heliers Hospital,6.09,St. Georges Hospital,10.69
