Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
N80HW,51.535966,-0.194644,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N80LF,51.535966,-0.194644,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N80XH,51.535966,-0.194644,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N80XQ,51.535966,-0.194644,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N80XU,51.535966,-0.194644,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N80XX,51.535966,-0.194644,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N80ZW,51.535966,-0.194644,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N81AH,51.535966,-0.194644,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N81AN,51.535966,-0.194644,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N81AQ,51.535986,-0.19473,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N81BB,51.535966,-0.194644,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N81BD,51.535966,-0.194644,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N81BL,51.535966,-0.194644,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N81BP,51.535966,-0.194644,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N81BU,51.535966,-0.194644,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N81DD,51.535966,-0.194644,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N81DF,51.535986,-0.19473,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N81DL,51.535986,-0.19473,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N81DQ,51.535966,-0.194644,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N81DS,51.535966,-0.194644,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N81DT,51.535966,-0.194644,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N81DW,51.535966,-0.194644,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N81DZ,51.535966,-0.194644,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N81EA,51.535986,-0.19473,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N81EB,51.535986,-0.19473,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N81ED,51.535986,-0.19473,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N81EE,51.535966,-0.194644,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N81EF,51.535966,-0.194644,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N81EG,51.535966,-0.194644,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N81EH,51.535966,-0.194644,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N81EJ,51.535986,-0.19473,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N81EL,51.535966,-0.194644,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N81EN,51.535986,-0.19473,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N81EP,51.535986,-0.19473,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N81EQ,51.535986,-0.19473,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N81ER,51.535966,-0.194644,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N81ES,51.535966,-0.194644,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N81ET,51.535966,-0.194644,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N81RL,51.535966,-0.194644,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N87HQ,51.535986,-0.19473,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N87SX,51.535966,-0.194644,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N87SZ,51.535986,-0.19473,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N87WQ,51.535966,-0.194644,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N87WW,51.535966,-0.194644,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N87WZ,51.535966,-0.194644,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N87XN,51.535986,-0.19473,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N87YE,51.535966,-0.194644,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N87YH,51.535986,-0.19473,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N87YS,51.535986,-0.19473,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N87ZJ,51.535966,-0.194644,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N88SB,51.535966,-0.194644,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N88US,51.535966,-0.194644,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N88UU,51.535986,-0.19473,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N88WQ,51.535966,-0.194644,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N88XP,51.535966,-0.194644,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N88ZW,51.535966,-0.194644,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N89LQ,51.535966,-0.194644,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N89LS,51.535966,-0.194644,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N89US,51.535966,-0.194644,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
N89UT,51.535966,-0.194644,North,St Marys Hospital,2.53,Royal Free Hospital,2.79,St Marys Hospital,2.53,Queen Charlottes',3.57
