Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
E10AA,51.512498,-0.052071,North,The Royal London,0.84,Royal Free Hospital,9.05,Newham General,6.12,The Royal London,0.84
E10AB,51.513386,-0.050852,North,The Royal London,0.82,Royal Free Hospital,9.08,Newham General,6.02,The Royal London,0.82
E10AD,51.512911,-0.055296,North,The Royal London,0.68,Royal Free Hospital,8.84,Newham General,6.33,The Royal London,0.68
E10AE,51.510672,-0.052567,North,The Royal London,0.99,Royal Free Hospital,9.13,Newham General,6.2,The Royal London,0.99
E10AF,51.510864,-0.051161,North,The Royal London,1.02,Royal Free Hospital,9.2,Newham General,6.1,The Royal London,1.02
E10AG,51.513394,-0.054008,North,The Royal London,0.68,Royal Free Hospital,8.89,Newham General,6.24,The Royal London,0.68
E10AH,51.51113,-0.051438,North,The Royal London,0.99,Royal Free Hospital,9.17,Newham General,6.11,The Royal London,0.99
E10AJ,51.51126,-0.052758,North,The Royal London,0.93,Royal Free Hospital,9.08,Newham General,6.2,The Royal London,0.93
E10AL,51.511003,-0.052495,North,The Royal London,0.96,Royal Free Hospital,9.11,Newham General,6.18,The Royal London,0.96
E10AN,51.511298,-0.052339,North,The Royal London,0.94,Royal Free Hospital,9.1,Newham General,6.17,The Royal London,0.94
E10AP,51.511395,-0.051686,North,The Royal London,0.95,Royal Free Hospital,9.14,Newham General,6.12,The Royal London,0.95
E10AQ,51.511552,-0.050858,North,The Royal London,0.97,Royal Free Hospital,9.18,Newham General,6.06,The Royal London,0.97
E10AR,51.511599,-0.052066,North,The Royal London,0.92,Royal Free Hospital,9.1,Newham General,6.14,The Royal London,0.92
E10AS,51.511573,-0.052658,North,The Royal London,0.9,Royal Free Hospital,9.07,Newham General,6.18,The Royal London,0.9
E10AT,51.513148,-0.054364,North,The Royal London,0.69,Royal Free Hospital,8.88,Newham General,6.27,The Royal London,0.69
E10AU,51.511315,-0.053361,North,The Royal London,0.9,Royal Free Hospital,9.04,Newham General,6.23,The Royal London,0.9
E10AW,51.511106,-0.051655,North,The Royal London,0.98,Royal Free Hospital,9.15,Newham General,6.12,The Royal London,0.98
E10AX,51.511315,-0.053361,North,The Royal London,0.9,Royal Free Hospital,9.04,Newham General,6.23,The Royal London,0.9
E10AY,51.51288,-0.053395,North,The Royal London,0.75,Royal Free Hospital,8.95,Newham General,6.21,The Royal London,0.75
E10AZ,51.512535,-0.054304,North,The Royal London,0.75,Royal Free Hospital,8.92,Newham General,6.27,The Royal London,0.75
E10BA,51.512599,-0.053811,North,The Royal London,0.76,Royal Free Hospital,8.94,Newham General,6.24,The Royal London,0.76
E10BB,51.513693,-0.05362,North,The Royal London,0.67,Royal Free Hospital,8.89,Newham General,6.21,The Royal London,0.67
E10BD,51.513708,-0.052899,North,The Royal London,0.7,Royal Free Hospital,8.94,Newham General,6.16,The Royal London,0.7
E10BE,51.511738,-0.051253,North,The Royal London,0.94,Royal Free Hospital,9.14,Newham General,6.08,The Royal London,0.94
