Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
EC1A1AA,51.525136,-0.111183,North,UCH (University College),1.66,Royal Free Hospital,4.88,St Marys Hospital,4.42,UCH (University College),1.66
EC1A1AE,51.51521,-0.099069,North,UCH (University College),2.72,Royal Free Hospital,6.24,St Marys Hospital,5.18,UCH (University College),2.72
EC1A1AH,51.524565,-0.112042,North,UCH (University College),1.6,Royal Free Hospital,4.87,St Marys Hospital,4.35,UCH (University College),1.6
EC1A1AR,51.524503,-0.112088,North,UCH (University College),1.6,Royal Free Hospital,4.88,St Marys Hospital,4.34,UCH (University College),1.6
EC1A1AY,51.524503,-0.112088,North,UCH (University College),1.6,Royal Free Hospital,4.88,St Marys Hospital,4.34,UCH (University College),1.6
EC1A1AZ,51.524503,-0.112088,North,UCH (University College),1.6,Royal Free Hospital,4.88,St Marys Hospital,4.34,UCH (University College),1.6
EC1A1BA,51.524503,-0.112088,North,UCH (University College),1.6,Royal Free Hospital,4.88,St Marys Hospital,4.34,UCH (University College),1.6
EC1A1BB,51.524565,-0.112042,North,UCH (University College),1.6,Royal Free Hospital,4.87,St Marys Hospital,4.35,UCH (University College),1.6
EC1A1BP,51.524503,-0.112088,North,UCH (University College),1.6,Royal Free Hospital,4.88,St Marys Hospital,4.34,UCH (University College),1.6
EC1A1DD,51.524503,-0.112088,North,UCH (University College),1.6,Royal Free Hospital,4.88,St Marys Hospital,4.34,UCH (University College),1.6
EC1A1DH,51.524565,-0.112042,North,UCH (University College),1.6,Royal Free Hospital,4.87,St Marys Hospital,4.35,UCH (University College),1.6
EC1A1DJ,51.524565,-0.112042,North,UCH (University College),1.6,Royal Free Hospital,4.87,St Marys Hospital,4.35,UCH (University College),1.6
EC1A1DL,51.524565,-0.112042,North,UCH (University College),1.6,Royal Free Hospital,4.87,St Marys Hospital,4.35,UCH (University College),1.6
EC1A1DN,51.524565,-0.112042,North,UCH (University College),1.6,Royal Free Hospital,4.87,St Marys Hospital,4.35,UCH (University College),1.6
EC1A1DP,51.524565,-0.112042,North,UCH (University College),1.6,Royal Free Hospital,4.87,St Marys Hospital,4.35,UCH (University College),1.6
EC1A1DR,51.524565,-0.112042,North,UCH (University College),1.6,Royal Free Hospital,4.87,St Marys Hospital,4.35,UCH (University College),1.6
EC1A1DS,51.524565,-0.112042,North,UCH (University College),1.6,Royal Free Hospital,4.87,St Marys Hospital,4.35,UCH (University College),1.6
EC1A1DT,51.524565,-0.112042,North,UCH (University College),1.6,Royal Free Hospital,4.87,St Marys Hospital,4.35,UCH (University College),1.6
