Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
KT14AA,51.409578,-0.310033,North,West Middlesex,7.16,West Middlesex,7.16,St Marys Hospital,15.25,Chelsea & Westminster,12.18
KT14AB,51.404225,-0.309914,North,West Middlesex,7.75,West Middlesex,7.75,St Marys Hospital,15.72,Chelsea & Westminster,12.59
KT14AD,51.399713,-0.31445,North,West Middlesex,8.21,West Middlesex,8.21,St Marys Hospital,16.31,Chelsea & Westminster,13.17
KT14AE,51.410867,-0.312171,North,West Middlesex,7.0,West Middlesex,7.0,St Marys Hospital,15.23,Chelsea & Westminster,12.19
KT14AF,51.410457,-0.314875,North,West Middlesex,7.02,West Middlesex,7.02,St Marys Hospital,15.38,Chelsea & Westminster,12.36
KT14AG,51.411461,-0.312178,North,West Middlesex,6.93,West Middlesex,6.93,St Marys Hospital,15.18,Chelsea & Westminster,12.15
KT14AH,51.413254,-0.311796,North,West Middlesex,6.74,West Middlesex,6.74,St Marys Hospital,15.01,Chelsea & Westminster,11.99
KT14AL,51.412296,-0.31337,North,West Middlesex,6.83,West Middlesex,6.83,St Marys Hospital,15.16,Chelsea & Westminster,12.15
KT14AN,51.412305,-0.312075,North,West Middlesex,6.84,West Middlesex,6.84,St Marys Hospital,15.1,Chelsea & Westminster,12.08
KT14AP,51.412116,-0.312096,North,West Middlesex,6.86,West Middlesex,6.86,St Marys Hospital,15.12,Chelsea & Westminster,12.09
KT14AR,51.412525,-0.31362,North,West Middlesex,6.8,West Middlesex,6.8,St Marys Hospital,15.15,Chelsea & Westminster,12.14
KT14AS,51.413223,-0.312803,North,West Middlesex,6.73,West Middlesex,6.73,St Marys Hospital,15.05,Chelsea & Westminster,12.05
KT14AT,51.414139,-0.313331,North,West Middlesex,6.63,West Middlesex,6.63,St Marys Hospital,15.0,Chelsea & Westminster,12.01
KT14AU,51.414575,-0.314221,North,West Middlesex,6.57,West Middlesex,6.57,St Marys Hospital,15.0,Chelsea & Westminster,12.02
KT14AW,51.412776,-0.312964,North,West Middlesex,6.78,West Middlesex,6.78,St Marys Hospital,15.1,Chelsea & Westminster,12.09
KT14AX,51.41427,-0.314922,North,West Middlesex,6.6,West Middlesex,6.6,St Marys Hospital,15.06,Chelsea & Westminster,12.08
KT14AY,51.413972,-0.315451,North,West Middlesex,6.63,West Middlesex,6.63,St Marys Hospital,15.11,Chelsea & Westminster,12.13
KT14AZ,51.412046,-0.317218,North,West Middlesex,6.83,West Middlesex,6.83,St Marys Hospital,15.35,Chelsea & Westminster,12.37
KT14BA,51.41442,-0.316585,North,West Middlesex,6.57,West Middlesex,6.57,St Marys Hospital,15.12,Chelsea & Westminster,12.16
KT14BB,51.415807,-0.318633,North,West Middlesex,6.41,West Middlesex,6.41,St Marys Hospital,15.1,Chelsea & Westminster,12.17
KT14BD,51.414729,-0.317422,North,West Middlesex,6.53,West Middlesex,6.53,St Marys Hospital,15.13,Chelsea & Westminster,12.18
KT14BE,51.415955,-0.316399,North,West Middlesex,6.4,West Middlesex,6.4,St Marys Hospital,14.99,Chelsea & Westminster,12.04
KT14BG,51.415657,-0.31756,North,West Middlesex,6.43,West Middlesex,6.43,St Marys Hospital,15.06,Chelsea & Westminster,12.12
KT14BH,51.412135,-0.309694,North,West Middlesex,6.88,West Middlesex,6.88,St Marys Hospital,15.01,Chelsea & Westminster,11.97
KT14BJ,51.411612,-0.310174,North,West Middlesex,6.93,West Middlesex,6.93,St Marys Hospital,15.08,Chelsea & Westminster,12.03
KT14BL,51.411436,-0.310425,North,West Middlesex,6.95,West Middlesex,6.95,St Marys Hospital,15.1,Chelsea & Westminster,12.06
KT14BN,51.411436,-0.310425,North,West Middlesex,6.95,West Middlesex,6.95,St Marys Hospital,15.1,Chelsea & Westminster,12.06
KT14BP,51.413275,-0.313233,North,West Middlesex,6.72,West Middlesex,6.72,St Marys Hospital,15.07,Chelsea & Westminster,12.07
KT14BQ,51.413275,-0.313233,North,West Middlesex,6.72,West Middlesex,6.72,St Marys Hospital,15.07,Chelsea & Westminster,12.07
KT14BS,51.414215,-0.316075,North,West Middlesex,6.6,West Middlesex,6.6,St Marys Hospital,15.12,Chelsea & Westminster,12.15
