Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
E10 5AA,51.572162,-0.008666,North,Whipps Cross,1.02,North Middlesex,6.38,Whipps Cross,1.02,Homerton University,3.52
E10 5AB,51.572993,-0.008746,North,Whipps Cross,0.96,North Middlesex,6.31,Whipps Cross,0.96,Homerton University,3.58
E10 5AD,51.572863,-0.009703,North,Whipps Cross,1.02,North Middlesex,6.27,Whipps Cross,1.02,Homerton University,3.52
E10 5AE,51.57353,-0.010338,North,Whipps Cross,1.02,North Middlesex,6.19,Whipps Cross,1.02,Homerton University,3.54
E10 5AF,51.57312,-0.010543,North,Whipps Cross,1.05,North Middlesex,6.21,Whipps Cross,1.05,Homerton University,3.5
E10 5AG,51.572781,-0.010702,North,Whipps Cross,1.08,North Middlesex,6.23,Whipps Cross,1.08,Homerton University,3.46
E10 5AH,51.572824,-0.011624,North,Whipps Cross,1.13,North Middlesex,6.18,Whipps Cross,1.13,Homerton University,3.42
E10 5AJ,51.572371,-0.01199,North,Whipps Cross,1.18,North Middlesex,6.2,Whipps Cross,1.18,Homerton University,3.37
E10 5AL,51.571897,-0.013165,North,Whipps Cross,1.28,North Middlesex,6.19,Whipps Cross,1.28,Homerton University,3.27
E10 5AN,51.571568,-0.013915,North,Whipps Cross,1.34,North Middlesex,6.18,Whipps Cross,1.34,Homerton University,3.21
E10 5AP,51.571114,-0.014743,North,Whipps Cross,1.42,North Middlesex,6.18,Whipps Cross,1.42,Homerton University,3.14
E10 5AQ,51.572781,-0.010702,North,Whipps Cross,1.08,North Middlesex,6.23,Whipps Cross,1.08,Homerton University,3.46
E10 5AR,51.57064,-0.015933,North,Whipps Cross,1.52,North Middlesex,6.17,Whipps Cross,1.52,Homerton University,3.04
E10 5AS,51.570502,-0.015246,North,Whipps Cross,1.49,North Middlesex,6.21,Whipps Cross,1.49,Homerton University,3.06
E10 5AT,51.569771,-0.014585,North,Whipps Cross,1.5,North Middlesex,6.3,Whipps Cross,1.5,Homerton University,3.04
E10 5AU,51.570551,-0.013225,North,Whipps Cross,1.37,North Middlesex,6.3,Whipps Cross,1.37,Homerton University,3.17
E10 5AW,51.57117,-0.014351,North,Whipps Cross,1.39,North Middlesex,6.19,Whipps Cross,1.39,Homerton University,3.16
E10 5AX,51.56967,-0.01547,North,Whipps Cross,1.56,North Middlesex,6.27,Whipps Cross,1.56,Homerton University,2.99
E10 5AY,51.569176,-0.014972,North,Whipps Cross,1.57,North Middlesex,6.34,Whipps Cross,1.57,Homerton University,2.97
E10 5AZ,51.568946,-0.014722,North,Whipps Cross,1.57,North Middlesex,6.37,Whipps Cross,1.57,Homerton University,2.97
E10 5BA,51.569621,-0.014188,North,Whipps Cross,1.49,North Middlesex,6.33,Whipps Cross,1.49,Homerton University,3.05
E10 5BB,51.569853,-0.013543,North,Whipps Cross,1.44,North Middlesex,6.34,Whipps Cross,1.44,Homerton University,3.1
E10 5BD,51.570285,-0.013048,North,Whipps Cross,1.38,North Middlesex,6.33,Whipps Cross,1.38,Homerton University,3.15
E10 5BE,51.570762,-0.013575,North,Whipps Cross,1.38,North Middlesex,6.26,Whipps Cross,1.38,Homerton University,3.16
E10 5BF,51.570551,-0.014941,North,Whipps Cross,1.47,North Middlesex,6.22,Whipps Cross,1.47,Homerton University,3.08
E10 5BG,51.570762,-0.013575,North,Whipps Cross,1.38,North Middlesex,6.26,Whipps Cross,1.38,Homerton University,3.16
E10 5BH,51.571261,-0.013352,North,Whipps Cross,1.33,North Middlesex,6.23,Whipps Cross,1.33,Homerton University,3.21
E10 5BJ,51.571002,-0.013278,North,Whipps Cross,1.35,North Middlesex,6.26,Whipps Cross,1.35,Homerton University,3.2
E10 5BL,51.572363,-0.011471,North,Whipps Cross,1.15,North Middlesex,6.23,Whipps Cross,1.15,Homerton University,3.39
E10 5BN,51.571837,-0.010729,North,Whipps Cross,1.15,North Middlesex,6.31,Whipps Cross,1.15,Homerton University,3.39
E10 5BP,51.570947,-0.012198,North,Whipps Cross,1.29,North Middlesex,6.31,Whipps Cross,1.29,Homerton University,3.25
E10 5BQ,51.570828,-0.014294,North,Whipps Cross,1.41,North Middlesex,6.22,Whipps Cross,1.41,Homerton University,3.13
E10 5BS,51.570286,-0.012066,North,Whipps Cross,1.33,North Middlesex,6.37,Whipps Cross,1.33,Homerton University,3.2
E10 5BT,51.571387,-0.009985,North,Whipps Cross,1.15,North Middlesex,6.38,Whipps Cross,1.15,Homerton University,3.39
E10 5BU,51.571477,-0.010687,North,Whipps Cross,1.17,North Middlesex,6.34,Whipps Cross,1.17,Homerton University,3.36
E10 5BW,51.571837,-0.010729,North,Whipps Cross,1.15,North Middlesex,6.31,Whipps Cross,1.15,Homerton University,3.39
E10 5BX,51.571769,-0.009709,North,Whipps Cross,1.1,North Middlesex,6.36,Whipps Cross,1.1,Homerton University,3.44
E10 5BZ,51.571132,-0.009937,North,Whipps Cross,1.16,North Middlesex,6.4,Whipps Cross,1.16,Homerton University,3.38
E10 5DA,51.570699,-0.01251,North,Whipps Cross,1.33,North Middlesex,6.32,Whipps Cross,1.33,Homerton University,3.21
E10 5DB,51.569632,-0.013235,North,Whipps Cross,1.44,North Middlesex,6.37,Whipps Cross,1.44,Homerton University,3.09
E10 5DD,51.572468,-0.012361,North,Whipps Cross,1.2,North Middlesex,6.18,Whipps Cross,1.2,Homerton University,3.36
E10 5DE,51.572693,-0.011184,North,Whipps Cross,1.12,North Middlesex,6.21,Whipps Cross,1.12,Homerton University,3.43
E10 5DF,51.570341,-0.012656,North,Whipps Cross,1.36,North Middlesex,6.34,Whipps Cross,1.36,Homerton University,3.18
E10 5DG,51.569411,-0.010272,North,Whipps Cross,1.32,North Middlesex,6.53,Whipps Cross,1.32,Homerton University,3.23
E10 5DH,51.569579,-0.010683,North,Whipps Cross,1.32,North Middlesex,6.49,Whipps Cross,1.32,Homerton University,3.22
E10 5DJ,51.569897,-0.010685,North,Whipps Cross,1.3,North Middlesex,6.47,Whipps Cross,1.3,Homerton University,3.25
E10 5DL,51.568745,-0.012927,North,Whipps Cross,1.5,North Middlesex,6.46,Whipps Cross,1.5,Homerton University,3.05
