Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
SW100AA,51.477517,-0.17973,North,Chelsea & Westminster,0.84,Royal Free Hospital,8.47,St Marys Hospital,4.44,Chelsea & Westminster,0.84
SW100AB,51.478206,-0.183053,North,Chelsea & Westminster,0.75,Royal Free Hospital,8.43,St Marys Hospital,4.39,Chelsea & Westminster,0.75
SW100AD,51.485945,-0.18047,North,Chelsea & Westminster,0.18,Royal Free Hospital,7.55,St Marys Hospital,3.52,Chelsea & Westminster,0.18
SW100AE,51.485776,-0.180621,North,Chelsea & Westminster,0.16,Royal Free Hospital,7.57,St Marys Hospital,3.54,Chelsea & Westminster,0.16
SW100AF,51.48148,-0.183053,North,Chelsea & Westminster,0.38,Royal Free Hospital,8.07,St Marys Hospital,4.03,Chelsea & Westminster,0.38
SW100AG,51.485807,-0.180317,North,Chelsea & Westminster,0.18,Royal Free Hospital,7.56,St Marys Hospital,3.53,Chelsea & Westminster,0.18
SW100AH,51.485555,-0.180284,North,Chelsea & Westminster,0.16,Royal Free Hospital,7.59,St Marys Hospital,3.56,Chelsea & Westminster,0.16
SW100AJ,51.485898,-0.179809,North,Chelsea & Westminster,0.21,Royal Free Hospital,7.55,St Marys Hospital,3.52,Chelsea & Westminster,0.21
SW100AL,51.485229,-0.180057,North,Chelsea & Westminster,0.17,Royal Free Hospital,7.63,St Marys Hospital,3.59,Chelsea & Westminster,0.17
SW100AN,51.485023,-0.179614,North,Chelsea & Westminster,0.19,Royal Free Hospital,7.64,St Marys Hospital,3.61,Chelsea & Westminster,0.19
SW100AP,51.485023,-0.179614,North,Chelsea & Westminster,0.19,Royal Free Hospital,7.64,St Marys Hospital,3.61,Chelsea & Westminster,0.19
SW100AQ,51.485641,-0.180035,North,Chelsea & Westminster,0.18,Royal Free Hospital,7.58,St Marys Hospital,3.55,Chelsea & Westminster,0.18
SW100AR,51.485023,-0.179614,North,Chelsea & Westminster,0.19,Royal Free Hospital,7.64,St Marys Hospital,3.61,Chelsea & Westminster,0.19
SW100AS,51.485023,-0.179614,North,Chelsea & Westminster,0.19,Royal Free Hospital,7.64,St Marys Hospital,3.61,Chelsea & Westminster,0.19
SW100AT,51.481189,-0.180558,North,Chelsea & Westminster,0.43,Royal Free Hospital,8.08,St Marys Hospital,4.04,Chelsea & Westminster,0.43
SW100AU,51.485265,-0.178888,North,Chelsea & Westminster,0.25,Royal Free Hospital,7.61,St Marys Hospital,3.58,Chelsea & Westminster,0.25
SW100AW,51.485023,-0.179614,North,Chelsea & Westminster,0.19,Royal Free Hospital,7.64,St Marys Hospital,3.61,Chelsea & Westminster,0.19
SW100AX,51.484652,-0.178798,North,Chelsea & Westminster,0.25,Royal Free Hospital,7.68,St Marys Hospital,3.65,Chelsea & Westminster,0.25
SW100AY,51.484152,-0.177978,North,Chelsea & Westminster,0.32,Royal Free Hospital,7.73,St Marys Hospital,3.7,Chelsea & Westminster,0.32
SW100AZ,51.484317,-0.177553,North,Chelsea & Westminster,0.34,Royal Free Hospital,7.71,St Marys Hospital,3.68,Chelsea & Westminster,0.34
SW100BA,51.481189,-0.180558,North,Chelsea & Westminster,0.43,Royal Free Hospital,8.08,St Marys Hospital,4.04,Chelsea & Westminster,0.43
SW100BB,51.482817,-0.1777,North,Chelsea & Westminster,0.4,Royal Free Hospital,7.87,St Marys Hospital,3.84,Chelsea & Westminster,0.4
SW100BD,51.475511,-0.182656,North,Chelsea & Westminster,1.04,Royal Free Hospital,8.72,St Marys Hospital,4.69,Chelsea & Westminster,1.04
SW100BE,51.477481,-0.180293,North,Chelsea & Westminster,0.84,Royal Free Hospital,8.48,St Marys Hospital,4.45,Chelsea & Westminster,0.84
SW100BF,51.477279,-0.180574,North,Chelsea & Westminster,0.86,Royal Free Hospital,8.51,St Marys Hospital,4.47,Chelsea & Westminster,0.86
SW100BG,51.485317,-0.180471,North,Chelsea & Westminster,0.14,Royal Free Hospital,7.62,St Marys Hospital,3.59,Chelsea & Westminster,0.14
SW100BH,51.484669,-0.179412,North,Chelsea & Westminster,0.21,Royal Free Hospital,7.68,St Marys Hospital,3.65,Chelsea & Westminster,0.21
SW100BJ,51.484501,-0.178986,North,Chelsea & Westminster,0.24,Royal Free Hospital,7.7,St Marys Hospital,3.66,Chelsea & Westminster,0.24
SW100BL,51.484093,-0.178772,North,Chelsea & Westminster,0.27,Royal Free Hospital,7.74,St Marys Hospital,3.71,Chelsea & Westminster,0.27
SW100BN,51.482677,-0.177936,North,Chelsea & Westminster,0.4,Royal Free Hospital,7.89,St Marys Hospital,3.86,Chelsea & Westminster,0.4
SW100BP,51.48199,-0.17828,North,Chelsea & Westminster,0.43,Royal Free Hospital,7.97,St Marys Hospital,3.94,Chelsea & Westminster,0.43
SW100BQ,51.484845,-0.179722,North,Chelsea & Westminster,0.19,Royal Free Hospital,7.67,St Marys Hospital,3.63,Chelsea & Westminster,0.19
SW100BS,51.482333,-0.177791,North,Chelsea & Westminster,0.43,Royal Free Hospital,7.93,St Marys Hospital,3.9,Chelsea & Westminster,0.43
SW100BT,51.482584,-0.177147,North,Chelsea & Westminster,0.45,Royal Free Hospital,7.89,St Marys Hospital,3.87,Chelsea & Westminster,0.45
SW100BU,51.482835,-0.176532,North,Chelsea & Westminster,0.47,Royal Free Hospital,7.86,St Marys Hospital,3.84,Chelsea & Westminster,0.47
SW100BW,51.482218,-0.179092,North,Chelsea & Westminster,0.38,Royal Free Hospital,7.95,St Marys Hospital,3.92,Chelsea & Westminster,0.38
SW100BX,51.483183,-0.176345,North,Chelsea & Westminster,0.46,Royal Free Hospital,7.82,St Marys Hospital,3.8,Chelsea & Westminster,0.46
SW100BY,51.482992,-0.175633,North,Chelsea & Westminster,0.51,Royal Free Hospital,7.84,St Marys Hospital,3.82,Chelsea & Westminster,0.51
SW100BZ,51.483034,-0.175415,North,Chelsea & Westminster,0.53,Royal Free Hospital,7.83,St Marys Hospital,3.81,Chelsea & Westminster,0.53
SW100DA,51.482691,-0.175371,North,Chelsea & Westminster,0.55,Royal Free Hospital,7.87,St Marys Hospital,3.85,Chelsea & Westminster,0.55
SW100DB,51.483108,-0.176737,North,Chelsea & Westminster,0.44,Royal Free Hospital,7.83,St Marys Hospital,3.81,Chelsea & Westminster,0.44
SW100DD,51.476739,-0.179977,North,Chelsea & Westminster,0.92,Royal Free Hospital,8.56,St Marys Hospital,4.53,Chelsea & Westminster,0.92
SW100DE,51.482413,-0.176016,North,Chelsea & Westminster,0.52,Royal Free Hospital,7.91,St Marys Hospital,3.88,Chelsea & Westminster,0.52
SW100DF,51.481967,-0.175616,North,Chelsea & Westminster,0.57,Royal Free Hospital,7.95,St Marys Hospital,3.93,Chelsea & Westminster,0.57
SW100DG,51.48013,-0.177696,North,Chelsea & Westminster,0.62,Royal Free Hospital,8.17,St Marys Hospital,4.14,Chelsea & Westminster,0.62
SW100DH,51.481189,-0.180558,North,Chelsea & Westminster,0.43,Royal Free Hospital,8.08,St Marys Hospital,4.04,Chelsea & Westminster,0.43
SW100DJ,51.481763,-0.17632,North,Chelsea & Westminster,0.55,Royal Free Hospital,7.98,St Marys Hospital,3.96,Chelsea & Westminster,0.55
SW100DL,51.481838,-0.17649,North,Chelsea & Westminster,0.53,Royal Free Hospital,7.97,St Marys Hospital,3.95,Chelsea & Westminster,0.53
SW100DN,51.48198,-0.176509,North,Chelsea & Westminster,0.52,Royal Free Hospital,7.96,St Marys Hospital,3.93,Chelsea & Westminster,0.52
SW100DP,51.482295,-0.17821,North,Chelsea & Westminster,0.41,Royal Free Hospital,7.93,St Marys Hospital,3.9,Chelsea & Westminster,0.41
SW100DQ,51.482228,-0.174444,North,Chelsea & Westminster,0.63,Royal Free Hospital,7.92,St Marys Hospital,3.9,Chelsea & Westminster,0.63
