Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
BR31AL,51.39636,-0.048025,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR31AS,51.39636,-0.048025,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR31BP,51.39636,-0.048025,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR31DL,51.399285,-0.049223,South,Croydon University,4.35,Epsom Hospital,17.52,Croydon University,4.35,Kings College Hospital,8.22
BR31FA,51.39636,-0.048025,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR31GB,51.39636,-0.048025,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR31GD,51.396362,-0.048125,South,Croydon University,4.36,Epsom Hospital,17.44,Croydon University,4.36,Kings College Hospital,8.56
BR31GE,51.39636,-0.048025,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR31GF,51.396362,-0.048125,South,Croydon University,4.36,Epsom Hospital,17.44,Croydon University,4.36,Kings College Hospital,8.56
BR31GJ,51.39636,-0.048025,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR31GL,51.399285,-0.049223,South,Croydon University,4.35,Epsom Hospital,17.52,Croydon University,4.35,Kings College Hospital,8.22
BR31GP,51.396362,-0.048125,South,Croydon University,4.36,Epsom Hospital,17.44,Croydon University,4.36,Kings College Hospital,8.56
BR31GR,51.39636,-0.048025,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR31GS,51.39636,-0.048025,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR31GT,51.39636,-0.048025,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR31GU,51.399285,-0.049223,South,Croydon University,4.35,Epsom Hospital,17.52,Croydon University,4.35,Kings College Hospital,8.22
BR31GY,51.39636,-0.048025,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR31WD,51.39636,-0.048025,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR31WE,51.39636,-0.048025,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR31WF,51.39636,-0.048025,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR31WH,51.396362,-0.048125,South,Croydon University,4.36,Epsom Hospital,17.44,Croydon University,4.36,Kings College Hospital,8.56
BR31WL,51.396362,-0.048125,South,Croydon University,4.36,Epsom Hospital,17.44,Croydon University,4.36,Kings College Hospital,8.56
BR31WN,51.399285,-0.049223,South,Croydon University,4.35,Epsom Hospital,17.52,Croydon University,4.35,Kings College Hospital,8.22
BR31WP,51.39636,-0.048025,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR31WQ,51.399285,-0.049223,South,Croydon University,4.35,Epsom Hospital,17.52,Croydon University,4.35,Kings College Hospital,8.22
BR31WR,51.39636,-0.048025,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR31WS,51.399285,-0.049223,South,Croydon University,4.35,Epsom Hospital,17.52,Croydon University,4.35,Kings College Hospital,8.22
BR31WT,51.399285,-0.049223,South,Croydon University,4.35,Epsom Hospital,17.52,Croydon University,4.35,Kings College Hospital,8.22
BR31WU,51.399285,-0.049223,South,Croydon University,4.35,Epsom Hospital,17.52,Croydon University,4.35,Kings College Hospital,8.22
BR31WW,51.399285,-0.049223,South,Croydon University,4.35,Epsom Hospital,17.52,Croydon University,4.35,Kings College Hospital,8.22
BR31WX,51.39636,-0.048025,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR31WY,51.399285,-0.049223,South,Croydon University,4.35,Epsom Hospital,17.52,Croydon University,4.35,Kings College Hospital,8.22
BR31WZ,51.39636,-0.048025,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR31XA,51.39636,-0.048025,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR31XD,51.39636,-0.048025,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR31XE,51.39636,-0.048025,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR31XH,51.39636,-0.048025,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR31XJ,51.396362,-0.048125,South,Croydon University,4.36,Epsom Hospital,17.44,Croydon University,4.36,Kings College Hospital,8.56
BR31XL,51.396362,-0.048125,South,Croydon University,4.36,Epsom Hospital,17.44,Croydon University,4.36,Kings College Hospital,8.56
BR31XP,51.39636,-0.048025,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR31XQ,51.39636,-0.048025,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR31XR,51.39636,-0.048025,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR31XT,51.39636,-0.048025,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR31XU,51.39636,-0.048025,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR31XW,51.39636,-0.048025,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR31XX,51.39636,-0.048025,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR31XY,51.39636,-0.048025,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR31XZ,51.39636,-0.048025,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR31YA,51.399285,-0.049223,South,Croydon University,4.35,Epsom Hospital,17.52,Croydon University,4.35,Kings College Hospital,8.22
BR31YB,51.399285,-0.049223,South,Croydon University,4.35,Epsom Hospital,17.52,Croydon University,4.35,Kings College Hospital,8.22
BR31YD,51.39636,-0.048025,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR31YE,51.39636,-0.048025,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR31YF,51.399285,-0.049223,South,Croydon University,4.35,Epsom Hospital,17.52,Croydon University,4.35,Kings College Hospital,8.22
BR31YL,51.39636,-0.048025,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR31YP,51.39636,-0.048025,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR31YQ,51.399285,-0.049223,South,Croydon University,4.35,Epsom Hospital,17.52,Croydon University,4.35,Kings College Hospital,8.22
BR31YT,51.39636,-0.048025,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR31YU,51.39636,-0.048025,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR31YW,51.39636,-0.048025,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR31YY,51.399285,-0.049223,South,Croydon University,4.35,Epsom Hospital,17.52,Croydon University,4.35,Kings College Hospital,8.22
BR31ZA,51.399285,-0.049223,South,Croydon University,4.35,Epsom Hospital,17.52,Croydon University,4.35,Kings College Hospital,8.22
BR31ZF,51.399285,-0.049223,South,Croydon University,4.35,Epsom Hospital,17.52,Croydon University,4.35,Kings College Hospital,8.22
BR31ZG,51.399285,-0.049223,South,Croydon University,4.35,Epsom Hospital,17.52,Croydon University,4.35,Kings College Hospital,8.22
BR31ZH,51.399285,-0.049223,South,Croydon University,4.35,Epsom Hospital,17.52,Croydon University,4.35,Kings College Hospital,8.22
BR31ZJ,51.39636,-0.048025,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR31ZL,51.39636,-0.048025,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR31ZN,51.39636,-0.048025,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR31ZS,51.39636,-0.048025,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR31ZU,51.39636,-0.048025,South,Croydon University,4.37,Epsom Hospital,17.45,Croydon University,4.37,Kings College Hospital,8.56
BR31ZW,51.399285,-0.049223,South,Croydon University,4.35,Epsom Hospital,17.52,Croydon University,4.35,Kings College Hospital,8.22
BR31ZX,51.399285,-0.049223,South,Croydon University,4.35,Epsom Hospital,17.52,Croydon University,4.35,Kings College Hospital,8.22
