Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
CM133JA,51.589312,0.266985,South,Darent Valley,17.14,Darent Valley,17.14,Queen Elizabeth Woolwich,19.32,Kings College Hospital,28.24
CM145NG,51.609023,0.26008,South,Darent Valley,19.32,Darent Valley,19.32,Queen Elizabeth Woolwich,20.44,Evelina (St Thomas'),28.86
DA13LD,51.444759,0.182033,South,Darent Valley,5.41,Darent Valley,5.41,Queen Elizabeth Woolwich,9.81,Kings College Hospital,19.16
DA13NP,51.448816,0.185853,South,Darent Valley,5.26,Darent Valley,5.26,Queen Elizabeth Woolwich,9.89,Kings College Hospital,19.37
DA13NR,51.445437,0.184742,South,Darent Valley,5.24,Darent Valley,5.24,Queen Elizabeth Woolwich,9.95,Kings College Hospital,19.34
DA13NS,51.447625,0.186502,South,Darent Valley,5.18,Darent Valley,5.18,Queen Elizabeth Woolwich,9.98,Kings College Hospital,19.43
DA13NT,51.447438,0.186925,South,Darent Valley,5.15,Darent Valley,5.15,Queen Elizabeth Woolwich,10.02,Kings College Hospital,19.46
DA13NW,51.449091,0.186054,South,Darent Valley,5.26,Darent Valley,5.26,Queen Elizabeth Woolwich,9.9,Kings College Hospital,19.38
DA13NX,51.446242,0.184003,South,Darent Valley,5.31,Darent Valley,5.31,Queen Elizabeth Woolwich,9.87,Kings College Hospital,19.27
DA13NY,51.445283,0.183857,South,Darent Valley,5.3,Darent Valley,5.3,Queen Elizabeth Woolwich,9.9,Kings College Hospital,19.28
DA13NZ,51.447156,0.185127,South,Darent Valley,5.26,Darent Valley,5.26,Queen Elizabeth Woolwich,9.91,Kings College Hospital,19.34
DA13PA,51.447371,0.185669,South,Darent Valley,5.23,Darent Valley,5.23,Queen Elizabeth Woolwich,9.94,Kings College Hospital,19.37
DA13PB,51.447214,0.184453,South,Darent Valley,5.31,Darent Valley,5.31,Queen Elizabeth Woolwich,9.86,Kings College Hospital,19.29
DA13PD,51.44664,0.184353,South,Darent Valley,5.3,Darent Valley,5.3,Queen Elizabeth Woolwich,9.88,Kings College Hospital,19.29
DA13PE,51.448238,0.182573,South,Darent Valley,5.46,Darent Valley,5.46,Queen Elizabeth Woolwich,9.7,Kings College Hospital,19.15
DA13PF,51.446273,0.181846,South,Darent Valley,5.46,Darent Valley,5.46,Queen Elizabeth Woolwich,9.73,Kings College Hospital,19.12
DA13PG,51.44694,0.183691,South,Darent Valley,5.35,Darent Valley,5.35,Queen Elizabeth Woolwich,9.83,Kings College Hospital,19.24
DA13PH,51.447889,0.184427,South,Darent Valley,5.33,Darent Valley,5.33,Queen Elizabeth Woolwich,9.84,Kings College Hospital,19.28
DA13PJ,51.448417,0.184539,South,Darent Valley,5.34,Darent Valley,5.34,Queen Elizabeth Woolwich,9.82,Kings College Hospital,19.28
DA13PL,51.449157,0.18492,South,Darent Valley,5.33,Darent Valley,5.33,Queen Elizabeth Woolwich,9.82,Kings College Hospital,19.3
DA13PN,51.446067,0.175993,South,Darent Valley,5.85,Darent Valley,5.85,Queen Elizabeth Woolwich,9.37,Kings College Hospital,18.72
DA13PP,51.448977,0.183961,South,Darent Valley,5.39,Darent Valley,5.39,Queen Elizabeth Woolwich,9.76,Kings College Hospital,19.23
DA13PQ,51.447004,0.182701,South,Darent Valley,5.42,Darent Valley,5.42,Queen Elizabeth Woolwich,9.76,Kings College Hospital,19.17
DA13PR,51.445344,0.182493,South,Darent Valley,5.39,Darent Valley,5.39,Queen Elizabeth Woolwich,9.81,Kings College Hospital,19.18
DA13PS,51.446246,0.181399,South,Darent Valley,5.49,Darent Valley,5.49,Queen Elizabeth Woolwich,9.71,Kings College Hospital,19.09
DA13PT,51.447371,0.181323,South,Darent Valley,5.52,Darent Valley,5.52,Queen Elizabeth Woolwich,9.66,Kings College Hospital,19.07
DA13PU,51.447401,0.180216,South,Darent Valley,5.6,Darent Valley,5.6,Queen Elizabeth Woolwich,9.58,Kings College Hospital,19.0
DA13PW,51.446649,0.176611,South,Darent Valley,5.82,Darent Valley,5.82,Queen Elizabeth Woolwich,9.38,Kings College Hospital,18.76
DA13PY,51.447494,0.177601,South,Darent Valley,5.78,Darent Valley,5.78,Queen Elizabeth Woolwich,9.41,Kings College Hospital,18.81
DA13PZ,51.446582,0.175859,South,Darent Valley,5.87,Darent Valley,5.87,Queen Elizabeth Woolwich,9.34,Kings College Hospital,18.71
DA13QA,51.44966,0.181533,South,Darent Valley,5.57,Darent Valley,5.57,Queen Elizabeth Woolwich,9.58,Kings College Hospital,19.06
DA13QB,51.4457,0.178825,South,Darent Valley,5.65,Darent Valley,5.65,Queen Elizabeth Woolwich,9.56,Kings College Hospital,18.92
DA13QD,51.445853,0.178314,South,Darent Valley,5.69,Darent Valley,5.69,Queen Elizabeth Woolwich,9.53,Kings College Hospital,18.89
DA13QE,51.445177,0.18083,South,Darent Valley,5.5,Darent Valley,5.5,Queen Elizabeth Woolwich,9.71,Kings College Hospital,19.07
DA13QG,51.447569,0.180382,South,Darent Valley,5.59,Darent Valley,5.59,Queen Elizabeth Woolwich,9.59,Kings College Hospital,19.01
DA13QH,51.446421,0.179205,South,Darent Valley,5.64,Darent Valley,5.64,Queen Elizabeth Woolwich,9.56,Kings College Hospital,18.94
DA13QJ,51.443734,0.176213,South,Darent Valley,5.79,Darent Valley,5.79,Queen Elizabeth Woolwich,9.49,Kings College Hospital,18.78
DA13QQ,51.444908,0.180299,South,Darent Valley,5.53,Darent Valley,5.53,Queen Elizabeth Woolwich,9.69,Kings College Hospital,19.04
DA13QR,51.44746,0.180924,South,Darent Valley,5.55,Darent Valley,5.55,Queen Elizabeth Woolwich,9.63,Kings College Hospital,19.04
DA13QS,51.443606,0.176797,South,Darent Valley,5.74,Darent Valley,5.74,Queen Elizabeth Woolwich,9.53,Kings College Hospital,18.82
DA13QU,51.442831,0.171565,South,Darent Valley,6.09,Darent Valley,6.09,Queen Elizabeth Woolwich,9.24,Kings College Hospital,18.47
DA13QX,51.444115,0.174576,South,Darent Valley,5.91,Darent Valley,5.91,Queen Elizabeth Woolwich,9.36,Kings College Hospital,18.66
DA13QZ,51.444326,0.174831,South,Darent Valley,5.89,Darent Valley,5.89,Queen Elizabeth Woolwich,9.37,Kings College Hospital,18.67
DA13RA,51.444946,0.176328,South,Darent Valley,5.8,Darent Valley,5.8,Queen Elizabeth Woolwich,9.44,Kings College Hospital,18.77
DA13RB,51.444952,0.174544,South,Darent Valley,5.92,Darent Valley,5.92,Queen Elizabeth Woolwich,9.32,Kings College Hospital,18.64
DA13RD,51.444265,0.177159,South,Darent Valley,5.73,Darent Valley,5.73,Queen Elizabeth Woolwich,9.52,Kings College Hospital,18.83
DA13RF,51.445297,0.174877,South,Darent Valley,5.91,Darent Valley,5.91,Queen Elizabeth Woolwich,9.33,Kings College Hospital,18.66
DA13RG,51.444955,0.172947,South,Darent Valley,6.03,Darent Valley,6.03,Queen Elizabeth Woolwich,9.22,Kings College Hospital,18.53
