Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
CR25EQ,51.299319,-0.095063,South,East Surrey,10.12,Epsom Hospital,12.69,East Surrey,10.12,St. Georges Hospital,15.27
CR31BH,51.29886,-0.122337,South,East Surrey,9.35,Epsom Hospital,10.87,East Surrey,9.35,St. Georges Hospital,14.74
CR31BJ,51.300635,-0.120831,South,East Surrey,9.57,Epsom Hospital,10.92,East Surrey,9.57,St. Georges Hospital,14.57
CR31BL,51.300589,-0.117963,South,East Surrey,9.63,Epsom Hospital,11.11,East Surrey,9.63,St. Georges Hospital,14.63
CR31BN,51.300726,-0.126565,South,East Surrey,9.47,Epsom Hospital,10.53,East Surrey,9.47,St. Georges Hospital,14.47
CR31BP,51.298929,-0.126638,South,East Surrey,9.28,Epsom Hospital,10.58,East Surrey,9.28,St. Georges Hospital,14.66
CR31BQ,51.300658,-0.122264,South,East Surrey,9.54,Epsom Hospital,10.82,East Surrey,9.54,St. Georges Hospital,14.55
CR31BR,51.298906,-0.125205,South,East Surrey,9.3,Epsom Hospital,10.68,East Surrey,9.3,St. Georges Hospital,14.69
CR31BS,51.299736,-0.120867,South,East Surrey,9.48,Epsom Hospital,10.94,East Surrey,9.48,St. Georges Hospital,14.67
CR31BT,51.298837,-0.120904,South,East Surrey,9.38,Epsom Hospital,10.96,East Surrey,9.38,St. Georges Hospital,14.77
CR31BU,51.298883,-0.123771,South,East Surrey,9.33,Epsom Hospital,10.77,East Surrey,9.33,St. Georges Hospital,14.71
CR31BW,51.298837,-0.120904,South,East Surrey,9.38,Epsom Hospital,10.96,East Surrey,9.38,St. Georges Hospital,14.77
CR31BX,51.298883,-0.123771,South,East Surrey,9.33,Epsom Hospital,10.77,East Surrey,9.33,St. Georges Hospital,14.71
CR31BY,51.300635,-0.120831,South,East Surrey,9.57,Epsom Hospital,10.92,East Surrey,9.57,St. Georges Hospital,14.57
CR31BZ,51.298929,-0.126638,South,East Surrey,9.28,Epsom Hospital,10.58,East Surrey,9.28,St. Georges Hospital,14.66
CR31DA,51.298145,-0.133843,South,East Surrey,9.07,Epsom Hospital,10.13,East Surrey,9.07,St. Georges Hospital,14.64
