Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
CR33ED,51.304754,-0.15366,South,Epsom Hospital,8.59,Epsom Hospital,8.59,St Heliers Hospital,8.68,St. Georges Hospital,13.71
CR33EL,51.304731,-0.152227,South,Epsom Hospital,8.69,Epsom Hospital,8.69,St Heliers Hospital,8.7,St. Georges Hospital,13.72
CR33ET,51.302911,-0.150865,South,Epsom Hospital,8.84,Epsom Hospital,8.84,St Heliers Hospital,8.92,St. Georges Hospital,13.93
CR33QA,51.306574,-0.155022,South,Epsom Hospital,8.45,Epsom Hospital,8.45,St Heliers Hospital,8.46,St. Georges Hospital,13.49
CR53ED,51.305489,-0.153545,South,Epsom Hospital,8.58,Epsom Hospital,8.58,St Heliers Hospital,8.6,St. Georges Hospital,13.62
CR53ET,51.303182,-0.149807,South,Epsom Hospital,8.9,Epsom Hospital,8.9,St Heliers Hospital,8.91,St. Georges Hospital,13.91
CR53LY,51.304896,-0.152435,South,Epsom Hospital,8.67,Epsom Hospital,8.67,St Heliers Hospital,8.68,St. Georges Hospital,13.7
CR53NY,51.305324,-0.153336,South,Epsom Hospital,8.6,Epsom Hospital,8.6,St Heliers Hospital,8.62,St. Georges Hospital,13.64
CR53NZ,51.305359,-0.153277,South,Epsom Hospital,8.6,Epsom Hospital,8.6,St Heliers Hospital,8.62,St. Georges Hospital,13.64
KT173HL,51.337096,-0.227792,South,Epsom Hospital,3.35,Epsom Hospital,3.35,St Heliers Hospital,5.75,St. Georges Hospital,10.68
KT173HN,51.336805,-0.228191,South,Epsom Hospital,3.32,Epsom Hospital,3.32,St Heliers Hospital,5.79,St. Georges Hospital,10.72
KT187TR,51.337563,-0.305617,South,Epsom Hospital,2.64,Epsom Hospital,2.64,Kingston Hospital,8.77,St. Georges Hospital,13.49
KT187YP,51.34039,-0.310165,South,Epsom Hospital,3.07,Epsom Hospital,3.07,Kingston Hospital,8.53,St. Georges Hospital,13.48
KT199HN,51.361759,-0.288105,South,Epsom Hospital,4.13,Epsom Hospital,4.13,Kingston Hospital,5.94,St. Georges Hospital,10.72
KT199HW,51.361437,-0.286954,South,Epsom Hospital,4.08,Epsom Hospital,4.08,Kingston Hospital,5.97,St. Georges Hospital,10.69
KT199JA,51.360714,-0.286722,South,Epsom Hospital,3.99,Epsom Hospital,3.99,Kingston Hospital,6.05,St. Georges Hospital,10.73
KT220DP,51.327157,-0.327402,South,Epsom Hospital,3.81,Epsom Hospital,3.81,Kingston Hospital,10.28,St Peters Hospital,14.88
KT91AA,51.367473,-0.305663,South,Epsom Hospital,5.16,Epsom Hospital,5.16,Kingston Hospital,5.55,St. Georges Hospital,11.26
