Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
HA40AA,51.573462,-0.413564,North,Hillingdon Hospital,6.18,West Middlesex,12.72,Hillingdon Hospital,6.18,Queen Charlottes',13.77
HA40AB,51.572808,-0.413024,North,Hillingdon Hospital,6.13,West Middlesex,12.63,Hillingdon Hospital,6.13,Queen Charlottes',13.7
HA40AD,51.57205,-0.414147,North,Hillingdon Hospital,6.02,West Middlesex,12.6,Hillingdon Hospital,6.02,Queen Charlottes',13.74
HA40AE,51.57205,-0.414147,North,Hillingdon Hospital,6.02,West Middlesex,12.6,Hillingdon Hospital,6.02,Queen Charlottes',13.74
HA40AG,51.572481,-0.412834,North,Hillingdon Hospital,6.11,West Middlesex,12.6,Hillingdon Hospital,6.11,Queen Charlottes',13.68
HA40AH,51.571738,-0.412383,North,Hillingdon Hospital,6.06,West Middlesex,12.51,Hillingdon Hospital,6.06,Queen Charlottes',13.61
HA40AL,51.570911,-0.411734,North,Hillingdon Hospital,6.0,West Middlesex,12.41,Hillingdon Hospital,6.0,Queen Charlottes',13.53
HA40AN,51.570122,-0.411285,North,Hillingdon Hospital,5.95,West Middlesex,12.31,Hillingdon Hospital,5.95,Queen Charlottes',13.46
HA40AP,51.567962,-0.409095,North,Hillingdon Hospital,5.84,West Middlesex,12.03,Hillingdon Hospital,5.84,Queen Charlottes',13.22
HA40AQ,51.57203,-0.412705,North,Hillingdon Hospital,6.07,West Middlesex,12.55,Hillingdon Hospital,6.07,Queen Charlottes',13.65
HA40AR,51.567432,-0.4092,North,Hillingdon Hospital,5.79,West Middlesex,11.98,Hillingdon Hospital,5.79,Queen Charlottes',13.21
HA40AS,51.56635,-0.412268,North,Hillingdon Hospital,5.57,West Middlesex,11.98,Hillingdon Hospital,5.57,Queen Charlottes',13.35
HA40AT,51.565734,-0.413227,North,Hillingdon Hospital,5.47,West Middlesex,11.96,Hillingdon Hospital,5.47,Queen Charlottes',13.38
