Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
E18PQ,51.534599,-0.03678,North,Homerton University,1.92,Royal Free Hospital,9.13,Newham General,5.15,Homerton University,1.92
E105BY,51.558998,-0.016023,North,Homerton University,2.28,Royal Free Hospital,10.35,Whipps Cross,2.5,Homerton University,2.28
E105FA,51.557288,-0.011668,North,Homerton University,2.49,Royal Free Hospital,10.64,Whipps Cross,2.54,Homerton University,2.49
E105HL,51.563344,-0.021475,North,Homerton University,2.21,Royal Free Hospital,10.01,Whipps Cross,2.34,Homerton University,2.21
E105LA,51.561527,-0.017759,North,Homerton University,2.3,Royal Free Hospital,10.25,Whipps Cross,2.33,Homerton University,2.3
E105LB,51.561527,-0.017759,North,Homerton University,2.3,Royal Free Hospital,10.25,Whipps Cross,2.33,Homerton University,2.3
E105NB,51.559334,-0.015157,North,Homerton University,2.35,Royal Free Hospital,10.41,Whipps Cross,2.44,Homerton University,2.35
E105NL,51.557619,-0.013183,North,Homerton University,2.41,Royal Free Hospital,10.54,Whipps Cross,2.55,Homerton University,2.41
E105NT,51.556748,-0.010595,North,Homerton University,2.55,Royal Free Hospital,10.71,Whipps Cross,2.57,Homerton University,2.55
E105NX,51.556511,-0.012524,North,Homerton University,2.41,Royal Free Hospital,10.58,Whipps Cross,2.64,Homerton University,2.41
E105PA,51.555213,-0.016591,North,Homerton University,2.11,Royal Free Hospital,10.29,Whipps Cross,2.89,Homerton University,2.11
E105PB,51.555687,-0.014839,North,Homerton University,2.24,Royal Free Hospital,10.41,Whipps Cross,2.79,Homerton University,2.24
E105PD,51.557329,-0.011955,North,Homerton University,2.48,Royal Free Hospital,10.62,Whipps Cross,2.54,Homerton University,2.48
E105PF,51.55823,-0.013142,North,Homerton University,2.43,Royal Free Hospital,10.54,Whipps Cross,2.49,Homerton University,2.43
E105PG,51.557447,-0.011502,North,Homerton University,2.51,Royal Free Hospital,10.65,Whipps Cross,2.52,Homerton University,2.51
E105PH,51.556038,-0.012227,North,Homerton University,2.42,Royal Free Hospital,10.59,Whipps Cross,2.68,Homerton University,2.42
E105PJ,51.556366,-0.01142,North,Homerton University,2.48,Royal Free Hospital,10.65,Whipps Cross,2.63,Homerton University,2.48
E105PL,51.556366,-0.01142,North,Homerton University,2.48,Royal Free Hospital,10.65,Whipps Cross,2.63,Homerton University,2.48
E105PQ,51.556038,-0.012227,North,Homerton University,2.42,Royal Free Hospital,10.59,Whipps Cross,2.68,Homerton University,2.42
E105RZ,51.557707,-0.011982,North,Homerton University,2.49,Royal Free Hospital,10.62,Whipps Cross,2.51,Homerton University,2.49
E105SD,51.560062,-0.016178,North,Homerton University,2.32,Royal Free Hospital,10.34,Whipps Cross,2.4,Homerton University,2.32
E105SE,51.559624,-0.015837,North,Homerton University,2.32,Royal Free Hospital,10.36,Whipps Cross,2.43,Homerton University,2.32
E105SF,51.559624,-0.015837,North,Homerton University,2.32,Royal Free Hospital,10.36,Whipps Cross,2.43,Homerton University,2.32
E105SG,51.557247,-0.02096,North,Homerton University,1.89,Royal Free Hospital,10.0,Whipps Cross,2.85,Homerton University,1.89
E105SH,51.557095,-0.020476,North,Homerton University,1.91,Royal Free Hospital,10.03,Whipps Cross,2.84,Homerton University,1.91
E105SJ,51.55698,-0.020092,North,Homerton University,1.93,Royal Free Hospital,10.05,Whipps Cross,2.84,Homerton University,1.93
E105SL,51.556815,-0.019897,North,Homerton University,1.94,Royal Free Hospital,10.07,Whipps Cross,2.85,Homerton University,1.94
E105SN,51.563422,-0.023448,North,Homerton University,2.11,Royal Free Hospital,9.88,Whipps Cross,2.43,Homerton University,2.11
E105SP,51.563422,-0.023448,North,Homerton University,2.11,Royal Free Hospital,9.88,Whipps Cross,2.43,Homerton University,2.11
E105SQ,51.555668,-0.017466,North,Homerton University,2.06,Royal Free Hospital,10.23,Whipps Cross,2.87,Homerton University,2.06
E105SR,51.563422,-0.023448,North,Homerton University,2.11,Royal Free Hospital,9.88,Whipps Cross,2.43,Homerton University,2.11
E105ST,51.563422,-0.023448,North,Homerton University,2.11,Royal Free Hospital,9.88,Whipps Cross,2.43,Homerton University,2.11
E105SW,51.557324,-0.014321,North,Homerton University,2.32,Royal Free Hospital,10.46,Whipps Cross,2.61,Homerton University,2.32
E105SX,51.563422,-0.023448,North,Homerton University,2.11,Royal Free Hospital,9.88,Whipps Cross,2.43,Homerton University,2.11
E105TA,51.563422,-0.023448,North,Homerton University,2.11,Royal Free Hospital,9.88,Whipps Cross,2.43,Homerton University,2.11
E105TG,51.562218,-0.018739,North,Homerton University,2.28,Royal Free Hospital,10.19,Whipps Cross,2.31,Homerton University,2.28
E105TH,51.562027,-0.019108,North,Homerton University,2.25,Royal Free Hospital,10.16,Whipps Cross,2.34,Homerton University,2.25
E105TP,51.5604,-0.016524,North,Homerton University,2.31,Royal Free Hospital,10.32,Whipps Cross,2.39,Homerton University,2.31
E105TQ,51.561766,-0.019668,North,Homerton University,2.2,Royal Free Hospital,10.12,Whipps Cross,2.39,Homerton University,2.2
E105UB,51.557259,-0.01154,North,Homerton University,2.5,Royal Free Hospital,10.65,Whipps Cross,2.54,Homerton University,2.5
E105UE,51.561028,-0.02172,North,Homerton University,2.04,Royal Free Hospital,9.97,Whipps Cross,2.54,Homerton University,2.04
E105UL,51.558073,-0.012889,North,Homerton University,2.44,Royal Free Hospital,10.56,Whipps Cross,2.49,Homerton University,2.44
