Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
KT11AA,51.408687,-0.304444,South,Kingston Hospital,1.75,Epsom Hospital,9.47,Kingston Hospital,1.75,St. Georges Hospital,9.23
KT11AB,51.412329,-0.302569,South,Kingston Hospital,1.5,Epsom Hospital,9.83,Kingston Hospital,1.5,St. Georges Hospital,9.01
KT11AD,51.411211,-0.301115,South,Kingston Hospital,1.44,Epsom Hospital,9.69,Kingston Hospital,1.44,St. Georges Hospital,8.94
KT11AE,51.412605,-0.307304,South,Kingston Hospital,1.82,Epsom Hospital,9.94,Kingston Hospital,1.82,St. Georges Hospital,9.33
KT11AF,51.412549,-0.307206,South,Kingston Hospital,1.82,Epsom Hospital,9.93,Kingston Hospital,1.82,St. Georges Hospital,9.33
KT11AH,51.410758,-0.307689,South,Kingston Hospital,1.89,Epsom Hospital,9.75,Kingston Hospital,1.89,St. Georges Hospital,9.4
KT11AJ,51.412679,-0.307474,South,Kingston Hospital,1.83,Epsom Hospital,9.95,Kingston Hospital,1.83,St. Georges Hospital,9.34
KT11AL,51.409152,-0.307331,South,Kingston Hospital,1.92,Epsom Hospital,9.57,Kingston Hospital,1.92,St. Georges Hospital,9.41
KT11AN,51.411892,-0.300946,South,Kingston Hospital,1.41,Epsom Hospital,9.76,Kingston Hospital,1.41,St. Georges Hospital,8.91
KT11AP,51.412641,-0.301119,South,Kingston Hospital,1.4,Epsom Hospital,9.85,Kingston Hospital,1.4,St. Georges Hospital,8.91
KT11AQ,51.409943,-0.307288,South,Kingston Hospital,1.89,Epsom Hospital,9.65,Kingston Hospital,1.89,St. Georges Hospital,9.39
KT11AR,51.411146,-0.300945,South,Kingston Hospital,1.43,Epsom Hospital,9.68,Kingston Hospital,1.43,St. Georges Hospital,8.93
KT11AS,51.410265,-0.307189,South,Kingston Hospital,1.87,Epsom Hospital,9.68,Kingston Hospital,1.87,St. Georges Hospital,9.37
KT11AT,51.411892,-0.300946,South,Kingston Hospital,1.41,Epsom Hospital,9.76,Kingston Hospital,1.41,St. Georges Hospital,8.91
KT11AU,51.411892,-0.300946,South,Kingston Hospital,1.41,Epsom Hospital,9.76,Kingston Hospital,1.41,St. Georges Hospital,8.91
KT11AW,51.411892,-0.300946,South,Kingston Hospital,1.41,Epsom Hospital,9.76,Kingston Hospital,1.41,St. Georges Hospital,8.91
KT11AZ,51.408763,-0.307834,South,Kingston Hospital,1.97,Epsom Hospital,9.53,Kingston Hospital,1.97,St. Georges Hospital,9.45
KT11BA,51.408677,-0.306213,South,Kingston Hospital,1.87,Epsom Hospital,9.5,Kingston Hospital,1.87,St. Georges Hospital,9.35
KT11BB,51.408876,-0.305659,South,Kingston Hospital,1.82,Epsom Hospital,9.51,Kingston Hospital,1.82,St. Georges Hospital,9.3
KT11BD,51.408677,-0.306213,South,Kingston Hospital,1.87,Epsom Hospital,9.5,Kingston Hospital,1.87,St. Georges Hospital,9.35
KT11BE,51.408677,-0.306213,South,Kingston Hospital,1.87,Epsom Hospital,9.5,Kingston Hospital,1.87,St. Georges Hospital,9.35
KT11BG,51.408656,-0.304776,South,Kingston Hospital,1.77,Epsom Hospital,9.47,Kingston Hospital,1.77,St. Georges Hospital,9.25
KT11BJ,51.40967,-0.304623,South,Kingston Hospital,1.72,Epsom Hospital,9.58,Kingston Hospital,1.72,St. Georges Hospital,9.21
KT11BL,51.409183,-0.304526,South,Kingston Hospital,1.74,Epsom Hospital,9.52,Kingston Hospital,1.74,St. Georges Hospital,9.22
KT11BN,51.408636,-0.303339,South,Kingston Hospital,1.68,Epsom Hospital,9.44,Kingston Hospital,1.68,St. Georges Hospital,9.15
KT11BP,51.409531,-0.303708,South,Kingston Hospital,1.67,Epsom Hospital,9.55,Kingston Hospital,1.67,St. Georges Hospital,9.15
KT11BQ,51.409108,-0.305507,South,Kingston Hospital,1.8,Epsom Hospital,9.53,Kingston Hospital,1.8,St. Georges Hospital,9.29
KT11BS,51.409187,-0.304166,South,Kingston Hospital,1.71,Epsom Hospital,9.52,Kingston Hospital,1.71,St. Georges Hospital,9.19
KT11BT,51.409534,-0.303305,South,Kingston Hospital,1.64,Epsom Hospital,9.54,Kingston Hospital,1.64,St. Georges Hospital,9.13
KT11BU,51.409688,-0.303371,South,Kingston Hospital,1.64,Epsom Hospital,9.56,Kingston Hospital,1.64,St. Georges Hospital,9.13
KT11BW,51.409816,-0.302892,South,Kingston Hospital,1.6,Epsom Hospital,9.57,Kingston Hospital,1.6,St. Georges Hospital,9.09
KT11BX,51.409941,-0.302859,South,Kingston Hospital,1.6,Epsom Hospital,9.58,Kingston Hospital,1.6,St. Georges Hospital,9.09
KT11BY,51.410433,-0.303272,South,Kingston Hospital,1.61,Epsom Hospital,9.64,Kingston Hospital,1.61,St. Georges Hospital,9.1
KT11BZ,51.410433,-0.303272,South,Kingston Hospital,1.61,Epsom Hospital,9.64,Kingston Hospital,1.61,St. Georges Hospital,9.1
KT11DA,51.410234,-0.302603,South,Kingston Hospital,1.57,Epsom Hospital,9.61,Kingston Hospital,1.57,St. Georges Hospital,9.06
KT11DB,51.410141,-0.302348,South,Kingston Hospital,1.56,Epsom Hospital,9.59,Kingston Hospital,1.56,St. Georges Hospital,9.05
KT11DD,51.409941,-0.30224,South,Kingston Hospital,1.56,Epsom Hospital,9.57,Kingston Hospital,1.56,St. Georges Hospital,9.05
KT11DE,51.410183,-0.302778,South,Kingston Hospital,1.58,Epsom Hospital,9.6,Kingston Hospital,1.58,St. Georges Hospital,9.08
KT11DF,51.410202,-0.301584,South,Kingston Hospital,1.5,Epsom Hospital,9.59,Kingston Hospital,1.5,St. Georges Hospital,8.99
KT11DG,51.408834,-0.305862,South,Kingston Hospital,1.84,Epsom Hospital,9.51,Kingston Hospital,1.84,St. Georges Hospital,9.32
KT11DH,51.410422,-0.302525,South,Kingston Hospital,1.56,Epsom Hospital,9.63,Kingston Hospital,1.56,St. Georges Hospital,9.05
KT11DJ,51.410048,-0.30215,South,Kingston Hospital,1.55,Epsom Hospital,9.58,Kingston Hospital,1.55,St. Georges Hospital,9.04
KT11DL,51.409534,-0.303305,South,Kingston Hospital,1.64,Epsom Hospital,9.54,Kingston Hospital,1.64,St. Georges Hospital,9.13
KT11DN,51.411693,-0.302089,South,Kingston Hospital,1.49,Epsom Hospital,9.76,Kingston Hospital,1.49,St. Georges Hospital,9.0
KT11DP,51.409534,-0.303305,South,Kingston Hospital,1.64,Epsom Hospital,9.54,Kingston Hospital,1.64,St. Georges Hospital,9.13
KT11DQ,51.410412,-0.301835,South,Kingston Hospital,1.51,Epsom Hospital,9.61,Kingston Hospital,1.51,St. Georges Hospital,9.01
KT11DR,51.410331,-0.30247,South,Kingston Hospital,1.56,Epsom Hospital,9.61,Kingston Hospital,1.56,St. Georges Hospital,9.05
KT11DS,51.409513,-0.301868,South,Kingston Hospital,1.55,Epsom Hospital,9.52,Kingston Hospital,1.55,St. Georges Hospital,9.03
KT11DT,51.409513,-0.301868,South,Kingston Hospital,1.55,Epsom Hospital,9.52,Kingston Hospital,1.55,St. Georges Hospital,9.03
KT11DU,51.409513,-0.301868,South,Kingston Hospital,1.55,Epsom Hospital,9.52,Kingston Hospital,1.55,St. Georges Hospital,9.03
KT11DW,51.408656,-0.304776,South,Kingston Hospital,1.77,Epsom Hospital,9.47,Kingston Hospital,1.77,St. Georges Hospital,9.25
KT11DX,51.412564,-0.30571,South,Kingston Hospital,1.71,Epsom Hospital,9.91,Kingston Hospital,1.71,St. Georges Hospital,9.22
