Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
E114WH,51.532096,-0.005153,North,Newham General,2.98,Royal Free Hospital,11.33,Newham General,2.98,Homerton University,3.52
E114WL,51.532096,-0.005153,North,Newham General,2.98,Royal Free Hospital,11.33,Newham General,2.98,Homerton University,3.52
E125AA,51.551885,0.046226,North,Newham General,3.38,Royal Free Hospital,14.63,Newham General,3.38,Homerton University,6.39
E125AB,51.551259,0.045506,North,Newham General,3.3,Royal Free Hospital,14.58,Newham General,3.3,Homerton University,6.34
E125AD,51.55002,0.045407,North,Newham General,3.17,Royal Free Hospital,14.58,Newham General,3.17,Homerton University,6.33
E125AE,51.554566,0.06207,North,Newham General,4.05,Royal Free Hospital,15.73,Newham General,4.05,Homerton University,7.5
E125AF,51.549822,0.045946,North,Newham General,3.15,Royal Free Hospital,14.62,Newham General,3.15,Homerton University,6.37
E125AG,51.550528,0.04667,North,Newham General,3.24,Royal Free Hospital,14.67,Newham General,3.24,Homerton University,6.42
E125AH,51.554682,0.062653,North,Newham General,4.08,Royal Free Hospital,15.77,Newham General,4.08,Homerton University,7.54
E125AJ,51.551841,0.051331,North,Newham General,3.47,Royal Free Hospital,14.99,Newham General,3.47,Homerton University,6.74
E125AL,51.552006,0.051151,North,Newham General,3.49,Royal Free Hospital,14.97,Newham General,3.49,Homerton University,6.73
E125AN,51.552116,0.05104,North,Newham General,3.5,Royal Free Hospital,14.97,Newham General,3.5,Homerton University,6.72
E125AP,51.551377,0.049593,North,Newham General,3.39,Royal Free Hospital,14.87,Newham General,3.39,Homerton University,6.62
E125AQ,51.550904,0.048865,North,Newham General,3.32,Royal Free Hospital,14.82,Newham General,3.32,Homerton University,6.57
E125AR,51.551402,0.048152,North,Newham General,3.36,Royal Free Hospital,14.77,Newham General,3.36,Homerton University,6.52
E125AS,51.551402,0.048152,North,Newham General,3.36,Royal Free Hospital,14.77,Newham General,3.36,Homerton University,6.52
E125AT,51.551229,0.046182,North,Newham General,3.31,Royal Free Hospital,14.63,Newham General,3.31,Homerton University,6.39
E125AU,51.551442,0.046365,North,Newham General,3.33,Royal Free Hospital,14.64,Newham General,3.33,Homerton University,6.4
