Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
BR1 1AA,51.401546,0.015415,South,Princess Royal (PRUH),5.05,Darent Valley,17.28,Princess Royal (PRUH),5.05,Kings College Hospital,10.51
BR1 1AB,51.406333,0.015208,South,Princess Royal (PRUH),5.49,Darent Valley,17.18,Princess Royal (PRUH),5.49,Kings College Hospital,10.13
BR1 1AD,51.400057,0.016715,South,Princess Royal (PRUH),4.87,Darent Valley,17.23,Princess Royal (PRUH),4.87,Kings College Hospital,10.69
BR1 1AE,51.404543,0.014195,South,Princess Royal (PRUH),5.37,Darent Valley,17.29,Princess Royal (PRUH),5.37,Kings College Hospital,10.21
BR1 1AF,51.401392,0.014948,South,Princess Royal (PRUH),5.06,Darent Valley,17.31,Princess Royal (PRUH),5.06,Kings College Hospital,10.5
BR1 1AG,51.401392,0.014948,South,Princess Royal (PRUH),5.06,Darent Valley,17.31,Princess Royal (PRUH),5.06,Kings College Hospital,10.5
BR1 1AH,51.400441,0.01739,South,Princess Royal (PRUH),4.87,Darent Valley,17.17,Princess Royal (PRUH),4.87,Kings College Hospital,10.69
BR1 1AJ,51.400489,0.018833,South,Princess Royal (PRUH),4.82,Darent Valley,17.07,Princess Royal (PRUH),4.82,Kings College Hospital,10.76
BR1 1AL,51.406549,0.01313,South,Princess Royal (PRUH),5.6,Darent Valley,17.32,Princess Royal (PRUH),5.6,Kings College Hospital,10.01
BR1 1BA,51.39909,0.015436,South,Princess Royal (PRUH),4.84,Darent Valley,17.34,Princess Royal (PRUH),4.84,Kings College Hospital,10.7
BR1 1BB,51.398192,0.015397,South,Princess Royal (PRUH),4.77,Darent Valley,17.36,Princess Royal (PRUH),4.77,Kings College Hospital,10.77
BR1 1BT,51.39914,0.012563,South,Princess Royal (PRUH),4.97,Darent Valley,17.53,Princess Royal (PRUH),4.97,Kings College Hospital,10.56
BR1 1BW,51.398997,0.016165,South,Princess Royal (PRUH),4.8,Darent Valley,17.29,Princess Royal (PRUH),4.8,Kings College Hospital,10.75
BR1 1DA,51.407153,0.017229,South,Princess Royal (PRUH),5.49,Darent Valley,17.03,Princess Royal (PRUH),5.49,Kings College Hospital,10.17
BR1 1DD,51.403891,0.016582,South,Princess Royal (PRUH),5.22,Darent Valley,17.14,Princess Royal (PRUH),5.22,Kings College Hospital,10.38
BR1 1DJ,51.40389,0.016593,South,Princess Royal (PRUH),5.22,Darent Valley,17.14,Princess Royal (PRUH),5.22,Kings College Hospital,10.39
BR1 1DN,51.40389,0.016608,South,Princess Royal (PRUH),5.21,Darent Valley,17.14,Princess Royal (PRUH),5.21,Kings College Hospital,10.39
BR1 1DP,51.398997,0.016165,South,Princess Royal (PRUH),4.8,Darent Valley,17.29,Princess Royal (PRUH),4.8,Kings College Hospital,10.75
BR1 1DR,51.39909,0.015436,South,Princess Royal (PRUH),4.84,Darent Valley,17.34,Princess Royal (PRUH),4.84,Kings College Hospital,10.7
BR1 1DS,51.399768,0.016297,South,Princess Royal (PRUH),4.86,Darent Valley,17.26,Princess Royal (PRUH),4.86,Kings College Hospital,10.69
BR1 1DU,51.398997,0.016165,South,Princess Royal (PRUH),4.8,Darent Valley,17.29,Princess Royal (PRUH),4.8,Kings College Hospital,10.75
BR1 1DW,51.404089,0.014463,South,Princess Royal (PRUH),5.32,Darent Valley,17.28,Princess Royal (PRUH),5.32,Kings College Hospital,10.26
BR1 1EA,51.400462,0.016716,South,Princess Royal (PRUH),4.9,Darent Valley,17.21,Princess Royal (PRUH),4.9,Kings College Hospital,10.66
BR1 1EE,51.400887,0.015515,South,Princess Royal (PRUH),4.99,Darent Valley,17.29,Princess Royal (PRUH),4.99,Kings College Hospital,10.57
BR1 1EG,51.401684,0.015705,South,Princess Royal (PRUH),5.05,Darent Valley,17.25,Princess Royal (PRUH),5.05,Kings College Hospital,10.51
BR1 1EJ,51.400887,0.015515,South,Princess Royal (PRUH),4.99,Darent Valley,17.29,Princess Royal (PRUH),4.99,Kings College Hospital,10.57
BR1 1EL,51.401786,0.015555,South,Princess Royal (PRUH),5.07,Darent Valley,17.26,Princess Royal (PRUH),5.07,Kings College Hospital,10.5
BR1 1EN,51.40206,0.015337,South,Princess Royal (PRUH),5.1,Darent Valley,17.27,Princess Royal (PRUH),5.1,Kings College Hospital,10.46
BR1 1EP,51.401811,0.014118,South,Princess Royal (PRUH),5.13,Darent Valley,17.36,Princess Royal (PRUH),5.13,Kings College Hospital,10.42
BR1 1ER,51.399372,0.017878,South,Princess Royal (PRUH),4.76,Darent Valley,17.16,Princess Royal (PRUH),4.76,Kings College Hospital,10.8
BR1 1ES,51.402709,0.014158,South,Princess Royal (PRUH),5.21,Darent Valley,17.33,Princess Royal (PRUH),5.21,Kings College Hospital,10.36
BR1 1EU,51.402709,0.014158,South,Princess Royal (PRUH),5.21,Darent Valley,17.33,Princess Royal (PRUH),5.21,Kings College Hospital,10.36
BR1 1EW,51.40253,0.015171,South,Princess Royal (PRUH),5.15,Darent Valley,17.27,Princess Royal (PRUH),5.15,Kings College Hospital,10.42
BR1 1EX,51.403765,0.014448,South,Princess Royal (PRUH),5.29,Darent Valley,17.29,Princess Royal (PRUH),5.29,Kings College Hospital,10.29
BR1 1EY,51.403002,0.014932,South,Princess Royal (PRUH),5.2,Darent Valley,17.27,Princess Royal (PRUH),5.2,Kings College Hospital,10.37
BR1 1EZ,51.404336,0.014761,South,Princess Royal (PRUH),5.33,Darent Valley,17.26,Princess Royal (PRUH),5.33,Kings College Hospital,10.26
BR1 1GA,51.404256,0.014671,South,Princess Royal (PRUH),5.33,Darent Valley,17.26,Princess Royal (PRUH),5.33,Kings College Hospital,10.26
BR1 1HA,51.403765,0.014448,South,Princess Royal (PRUH),5.29,Darent Valley,17.29,Princess Royal (PRUH),5.29,Kings College Hospital,10.29
BR1 1HB,51.404507,0.014237,South,Princess Royal (PRUH),5.37,Darent Valley,17.29,Princess Royal (PRUH),5.37,Kings College Hospital,10.22
BR1 1HD,51.403891,0.016582,South,Princess Royal (PRUH),5.22,Darent Valley,17.14,Princess Royal (PRUH),5.22,Kings College Hospital,10.38
BR1 1HE,51.405208,0.014253,South,Princess Royal (PRUH),5.43,Darent Valley,17.27,Princess Royal (PRUH),5.43,Kings College Hospital,10.17
BR1 1HF,51.402902,0.014971,South,Princess Royal (PRUH),5.19,Darent Valley,17.27,Princess Royal (PRUH),5.19,Kings College Hospital,10.38
BR1 1HG,51.403723,0.014849,South,Princess Royal (PRUH),5.27,Darent Valley,17.26,Princess Royal (PRUH),5.27,Kings College Hospital,10.31
BR1 1HH,51.40543,0.012839,South,Princess Royal (PRUH),5.51,Darent Valley,17.36,Princess Royal (PRUH),5.51,Kings College Hospital,10.08
BR1 1HJ,51.405208,0.014253,South,Princess Royal (PRUH),5.43,Darent Valley,17.27,Princess Royal (PRUH),5.43,Kings College Hospital,10.17
