Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
BR75EW,51.426915,0.05426,South,Queen Elizabeth Woolwich,5.77,Darent Valley,14.2,Queen Elizabeth Woolwich,5.77,Kings College Hospital,11.13
BR76AL,51.42576,0.055474,South,Queen Elizabeth Woolwich,5.9,Darent Valley,14.12,Queen Elizabeth Woolwich,5.9,Kings College Hospital,11.26
BR76AU,51.424202,0.066883,South,Queen Elizabeth Woolwich,6.17,Darent Valley,13.35,Queen Elizabeth Woolwich,6.17,Kings College Hospital,12.05
BR76AX,51.424492,0.065199,South,Queen Elizabeth Woolwich,6.11,Darent Valley,13.46,Queen Elizabeth Woolwich,6.11,Kings College Hospital,11.93
BR76AY,51.424807,0.065731,South,Queen Elizabeth Woolwich,6.09,Darent Valley,13.42,Queen Elizabeth Woolwich,6.09,Kings College Hospital,11.95
BR76AZ,51.422647,0.067834,South,Queen Elizabeth Woolwich,6.35,Darent Valley,13.3,Queen Elizabeth Woolwich,6.35,Kings College Hospital,12.18
BR76BL,51.423679,0.071534,South,Queen Elizabeth Woolwich,6.29,Darent Valley,13.03,Queen Elizabeth Woolwich,6.29,Kings College Hospital,12.37
BR76BN,51.423178,0.071914,South,Queen Elizabeth Woolwich,6.35,Darent Valley,13.01,Queen Elizabeth Woolwich,6.35,Kings College Hospital,12.41
BR76BP,51.422961,0.069934,South,Queen Elizabeth Woolwich,6.34,Darent Valley,13.15,Queen Elizabeth Woolwich,6.34,Kings College Hospital,12.3
BR76DG,51.422396,0.061163,South,Queen Elizabeth Woolwich,6.31,Darent Valley,13.76,Queen Elizabeth Woolwich,6.31,Kings College Hospital,11.77
BR76DH,51.425945,0.056231,South,Queen Elizabeth Woolwich,5.89,Darent Valley,14.07,Queen Elizabeth Woolwich,5.89,Kings College Hospital,11.29
BR76DJ,51.424049,0.059756,South,Queen Elizabeth Woolwich,6.12,Darent Valley,13.84,Queen Elizabeth Woolwich,6.12,Kings College Hospital,11.6
BR76DL,51.422806,0.061354,South,Queen Elizabeth Woolwich,6.26,Darent Valley,13.75,Queen Elizabeth Woolwich,6.26,Kings College Hospital,11.76
BR76DN,51.42511,0.061774,South,Queen Elizabeth Woolwich,6.01,Darent Valley,13.69,Queen Elizabeth Woolwich,6.01,Kings College Hospital,11.68
BR76DP,51.422808,0.060247,South,Queen Elizabeth Woolwich,6.26,Darent Valley,13.82,Queen Elizabeth Woolwich,6.26,Kings College Hospital,11.69
BR76DQ,51.423905,0.059232,South,Queen Elizabeth Woolwich,6.13,Darent Valley,13.88,Queen Elizabeth Woolwich,6.13,Kings College Hospital,11.58
BR76DR,51.424756,0.062967,South,Queen Elizabeth Woolwich,6.06,Darent Valley,13.61,Queen Elizabeth Woolwich,6.06,Kings College Hospital,11.77
BR76DS,51.424266,0.062729,South,Queen Elizabeth Woolwich,6.11,Darent Valley,13.63,Queen Elizabeth Woolwich,6.11,Kings College Hospital,11.78
BR76DT,51.423968,0.06178,South,Queen Elizabeth Woolwich,6.14,Darent Valley,13.7,Queen Elizabeth Woolwich,6.14,Kings College Hospital,11.74
BR76DU,51.424529,0.061604,South,Queen Elizabeth Woolwich,6.08,Darent Valley,13.71,Queen Elizabeth Woolwich,6.08,Kings College Hospital,11.7
