Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
BR15SP,51.42279,-0.122873,South,St. Georges Hospital,3.64,Epsom Hospital,14.97,Croydon University,3.66,St. Georges Hospital,3.64
CR41AA,51.410382,-0.147295,South,St. Georges Hospital,2.68,Epsom Hospital,12.8,Croydon University,3.36,St. Georges Hospital,2.68
CR41AB,51.411791,-0.145441,South,St. Georges Hospital,2.67,Epsom Hospital,13.01,Croydon University,3.37,St. Georges Hospital,2.67
CR41AD,51.409704,-0.147093,South,St. Georges Hospital,2.74,Epsom Hospital,12.76,Croydon University,3.3,St. Georges Hospital,2.74
CR41AE,51.410638,-0.147558,South,St. Georges Hospital,2.65,Epsom Hospital,12.81,Croydon University,3.39,St. Georges Hospital,2.65
CR41AF,51.411818,-0.145986,South,St. Georges Hospital,2.64,Epsom Hospital,12.98,Croydon University,3.4,St. Georges Hospital,2.64
CR41AG,51.410076,-0.146143,South,St. Georges Hospital,2.76,Epsom Hospital,12.83,Croydon University,3.28,St. Georges Hospital,2.76
CR41AH,51.410227,-0.145432,South,St. Georges Hospital,2.78,Epsom Hospital,12.88,Croydon University,3.25,St. Georges Hospital,2.78
CR41AJ,51.410231,-0.14572,South,St. Georges Hospital,2.77,Epsom Hospital,12.87,Croydon University,3.27,St. Georges Hospital,2.77
CR41AL,51.411178,-0.148715,South,St. Georges Hospital,2.55,Epsom Hospital,12.8,Croydon University,3.49,St. Georges Hospital,2.55
CR41AN,51.410487,-0.151102,South,St. Georges Hospital,2.49,Epsom Hospital,12.63,Croydon University,3.57,St. Georges Hospital,2.49
CR41AP,51.410564,-0.149718,South,St. Georges Hospital,2.55,Epsom Hospital,12.7,Croydon University,3.5,St. Georges Hospital,2.55
CR41AQ,51.411679,-0.14917,South,St. Georges Hospital,2.49,Epsom Hospital,12.82,Croydon University,3.55,St. Georges Hospital,2.49
CR41AR,51.410462,-0.14955,South,St. Georges Hospital,2.56,Epsom Hospital,12.7,Croydon University,3.49,St. Georges Hospital,2.56
CR41AS,51.411387,-0.150591,South,St. Georges Hospital,2.44,Epsom Hospital,12.73,Croydon University,3.61,St. Georges Hospital,2.44
CR41AT,51.41039,-0.150113,South,St. Georges Hospital,2.54,Epsom Hospital,12.67,Croydon University,3.51,St. Georges Hospital,2.54
CR41AU,51.411374,-0.14691,South,St. Georges Hospital,2.62,Epsom Hospital,12.9,Croydon University,3.41,St. Georges Hospital,2.62
CR41AW,51.410674,-0.149872,South,St. Georges Hospital,2.53,Epsom Hospital,12.71,Croydon University,3.52,St. Georges Hospital,2.53
CR41AX,51.409612,-0.152072,South,St. Georges Hospital,2.52,Epsom Hospital,12.52,Croydon University,3.57,St. Georges Hospital,2.52
CR41AY,51.41067,-0.15131,South,St. Georges Hospital,2.46,Epsom Hospital,12.64,Croydon University,3.6,St. Georges Hospital,2.46
CR41AZ,51.405203,-0.174895,South,St. Georges Hospital,2.46,Epsom Hospital,11.13,St Heliers Hospital,2.79,St. Georges Hospital,2.46
CR41BA,51.409415,-0.14814,South,St. Georges Hospital,2.72,Epsom Hospital,12.68,Croydon University,3.34,St. Georges Hospital,2.72
CR41BB,51.40927,-0.145212,South,St. Georges Hospital,2.87,Epsom Hospital,12.81,Croydon University,3.17,St. Georges Hospital,2.87
CR41BE,51.409415,-0.147564,South,St. Georges Hospital,2.74,Epsom Hospital,12.71,Croydon University,3.31,St. Georges Hospital,2.74
CR41BF,51.409577,-0.145286,South,St. Georges Hospital,2.84,Epsom Hospital,12.83,Croydon University,3.2,St. Georges Hospital,2.84
CR41BG,51.410482,-0.145062,South,St. Georges Hospital,2.78,Epsom Hospital,12.92,Croydon University,3.25,St. Georges Hospital,2.78
CR41BH,51.410261,-0.143648,South,St. Georges Hospital,2.87,Epsom Hospital,12.97,Croydon University,3.16,St. Georges Hospital,2.87
CR41BJ,51.409556,-0.143432,South,St. Georges Hospital,2.94,Epsom Hospital,12.92,Croydon University,3.1,St. Georges Hospital,2.94
CR41BS,51.406442,-0.151236,South,St. Georges Hospital,2.84,Epsom Hospital,12.3,Croydon University,3.32,St. Georges Hospital,2.84
CR41BT,51.406514,-0.148947,South,St. Georges Hospital,2.93,Epsom Hospital,12.41,Croydon University,3.19,St. Georges Hospital,2.93
CR41BU,51.407707,-0.147633,South,St. Georges Hospital,2.88,Epsom Hospital,12.57,Croydon University,3.19,St. Georges Hospital,2.88
CR41BW,51.406576,-0.150569,South,St. Georges Hospital,2.85,Epsom Hospital,12.34,Croydon University,3.29,St. Georges Hospital,2.85
CR41BX,51.406723,-0.149657,South,St. Georges Hospital,2.88,Epsom Hospital,12.39,Croydon University,3.25,St. Georges Hospital,2.88
CR41BY,51.406914,-0.148629,South,St. Georges Hospital,2.9,Epsom Hospital,12.46,Croydon University,3.2,St. Georges Hospital,2.9
CR41BZ,51.407602,-0.148342,South,St. Georges Hospital,2.86,Epsom Hospital,12.53,Croydon University,3.23,St. Georges Hospital,2.86
CR41DA,51.406225,-0.15343,South,St. Georges Hospital,2.77,Epsom Hospital,12.17,Croydon University,3.44,St. Georges Hospital,2.77
CR41DB,51.40458,-0.151786,South,St. Georges Hospital,2.99,Epsom Hospital,12.12,Croydon University,3.25,St. Georges Hospital,2.99
CR41DG,51.405694,-0.152287,South,St. Georges Hospital,2.87,Epsom Hospital,12.19,Croydon University,3.34,St. Georges Hospital,2.87
CR41DJ,51.404496,-0.150984,South,St. Georges Hospital,3.03,Epsom Hospital,12.15,Croydon University,3.2,St. Georges Hospital,3.03
CR41DR,51.405203,-0.174895,South,St. Georges Hospital,2.46,Epsom Hospital,11.13,St Heliers Hospital,2.79,St. Georges Hospital,2.46
CR41EA,51.403078,-0.152292,South,St. Georges Hospital,3.11,Epsom Hospital,11.98,Croydon University,3.21,St. Georges Hospital,3.11
CR41EQ,51.403127,-0.153728,South,St. Georges Hospital,3.06,Epsom Hospital,11.91,St Heliers Hospital,3.23,St. Georges Hospital,3.06
CR41ER,51.402794,-0.152548,South,St. Georges Hospital,3.13,Epsom Hospital,11.94,Croydon University,3.21,St. Georges Hospital,3.13
