Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
TW134RY,51.435613,-0.438601,North,St Peters Hospital,8.88,West Middlesex,8.92,Hillingdon Hospital,10.15,St Peters Hospital,8.88
TW148PY,51.440384,-0.453244,North,St Peters Hospital,8.64,West Middlesex,9.62,Hillingdon Hospital,9.52,St Peters Hospital,8.64
TW148PZ,51.440384,-0.453244,North,St Peters Hospital,8.64,West Middlesex,9.62,Hillingdon Hospital,9.52,St Peters Hospital,8.64
TW148QA,51.441237,-0.452438,North,St Peters Hospital,8.75,West Middlesex,9.53,Hillingdon Hospital,9.43,St Peters Hospital,8.75
TW148QB,51.444897,-0.454531,North,St Peters Hospital,9.0,West Middlesex,9.52,Hillingdon Hospital,9.01,St Peters Hospital,9.0
TW148QF,51.44493,-0.456328,North,St Peters Hospital,8.94,West Middlesex,9.64,Hillingdon Hospital,9.01,St Peters Hospital,8.94
TW148QN,51.444897,-0.454531,North,St Peters Hospital,9.0,West Middlesex,9.52,Hillingdon Hospital,9.01,St Peters Hospital,9.0
TW148QT,51.444916,-0.455969,North,St Peters Hospital,8.95,West Middlesex,9.61,Hillingdon Hospital,9.01,St Peters Hospital,8.95
TW148QU,51.444916,-0.455969,North,St Peters Hospital,8.95,West Middlesex,9.61,Hillingdon Hospital,9.01,St Peters Hospital,8.95
TW151AT,51.435075,-0.438734,South,St Peters Hospital,8.83,Epsom Hospital,16.74,Kingston Hospital,11.14,St Peters Hospital,8.83
TW151AU,51.435416,-0.442737,South,St Peters Hospital,8.67,Epsom Hospital,16.96,Kingston Hospital,11.42,St Peters Hospital,8.67
TW151AX,51.438114,-0.440717,South,St Peters Hospital,8.98,Epsom Hospital,17.08,Kingston Hospital,11.35,St Peters Hospital,8.98
TW151AZ,51.435719,-0.440453,South,St Peters Hospital,8.8,Epsom Hospital,16.88,Kingston Hospital,11.27,St Peters Hospital,8.8
TW151BA,51.438136,-0.441033,South,St Peters Hospital,8.97,Epsom Hospital,17.1,Kingston Hospital,11.37,St Peters Hospital,8.97
TW151BF,51.436609,-0.440495,South,St Peters Hospital,8.87,Epsom Hospital,16.95,Kingston Hospital,11.3,St Peters Hospital,8.87
TW151BL,51.435208,-0.446067,South,St Peters Hospital,8.5,Epsom Hospital,17.11,Kingston Hospital,11.64,St Peters Hospital,8.5
TW151HX,51.437628,-0.44069,South,St Peters Hospital,8.94,Epsom Hospital,17.04,Kingston Hospital,11.33,St Peters Hospital,8.94
TW197LE,51.454662,-0.457137,South,St Peters Hospital,9.84,Epsom Hospital,19.21,Wexham Park,12.48,St Peters Hospital,9.84
TW197LQ,51.453245,-0.45884,South,St Peters Hospital,9.64,Epsom Hospital,19.17,Wexham Park,12.51,St Peters Hospital,9.64
TW197LZ,51.453245,-0.45884,South,St Peters Hospital,9.64,Epsom Hospital,19.17,Wexham Park,12.51,St Peters Hospital,9.64
TW197NH,51.454463,-0.455676,South,St Peters Hospital,9.87,Epsom Hospital,19.12,Wexham Park,12.57,St Peters Hospital,9.87
TW197NL,51.454554,-0.455802,South,St Peters Hospital,9.87,Epsom Hospital,19.14,Wexham Park,12.56,St Peters Hospital,9.87
