Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
BR11AX,51.408226,0.017604,South,University Lewisham,5.56,Darent Valley,16.98,University Lewisham,5.56,Kings College Hospital,10.11
BR11BP,51.409026,0.010262,South,University Lewisham,5.26,Darent Valley,17.47,University Lewisham,5.26,Kings College Hospital,9.67
BR11BQ,51.408057,0.015899,South,University Lewisham,5.52,Darent Valley,17.1,University Lewisham,5.52,Kings College Hospital,10.04
BR11BS,51.407276,0.01007,South,University Lewisham,5.44,Darent Valley,17.51,University Lewisham,5.44,Kings College Hospital,9.8
BR11BU,51.409073,0.010149,South,University Lewisham,5.25,Darent Valley,17.47,University Lewisham,5.25,Kings College Hospital,9.66
BR11BX,51.407276,0.01007,South,University Lewisham,5.44,Darent Valley,17.51,University Lewisham,5.44,Kings College Hospital,9.8
BR11BY,51.408116,0.010898,South,University Lewisham,5.37,Darent Valley,17.44,University Lewisham,5.37,Kings College Hospital,9.78
BR11BZ,51.408226,0.017604,South,University Lewisham,5.56,Darent Valley,16.98,University Lewisham,5.56,Kings College Hospital,10.11
BR11DB,51.407276,0.01007,South,University Lewisham,5.44,Darent Valley,17.51,University Lewisham,5.44,Kings College Hospital,9.8
BR11DE,51.408561,0.010616,South,University Lewisham,5.32,Darent Valley,17.45,University Lewisham,5.32,Kings College Hospital,9.73
BR11DF,51.408898,0.010386,South,University Lewisham,5.28,Darent Valley,17.46,University Lewisham,5.28,Kings College Hospital,9.69
BR11DG,51.409191,0.010068,South,University Lewisham,5.24,Darent Valley,17.48,University Lewisham,5.24,Kings College Hospital,9.65
BR11DH,51.409026,0.010262,South,University Lewisham,5.26,Darent Valley,17.47,University Lewisham,5.26,Kings College Hospital,9.67
BR11DL,51.409191,0.010068,South,University Lewisham,5.24,Darent Valley,17.48,University Lewisham,5.24,Kings College Hospital,9.65
BR11DQ,51.408898,0.010386,South,University Lewisham,5.28,Darent Valley,17.46,University Lewisham,5.28,Kings College Hospital,9.69
BR11DT,51.409026,0.010262,South,University Lewisham,5.26,Darent Valley,17.47,University Lewisham,5.26,Kings College Hospital,9.67
BR11DX,51.408226,0.017604,South,University Lewisham,5.56,Darent Valley,16.98,University Lewisham,5.56,Kings College Hospital,10.11
BR11EH,51.408226,0.017604,South,University Lewisham,5.56,Darent Valley,16.98,University Lewisham,5.56,Kings College Hospital,10.11
BR11NL,51.408226,0.017604,South,University Lewisham,5.56,Darent Valley,16.98,University Lewisham,5.56,Kings College Hospital,10.11
BR11NZ,51.406929,0.012471,South,University Lewisham,5.54,Darent Valley,17.36,University Lewisham,5.54,Kings College Hospital,9.95
BR11PA,51.407635,0.013249,South,University Lewisham,5.49,Darent Valley,17.29,University Lewisham,5.49,Kings College Hospital,9.93
BR11PB,51.407434,0.011343,South,University Lewisham,5.45,Darent Valley,17.42,University Lewisham,5.45,Kings College Hospital,9.85
BR11PE,51.408038,0.012304,South,University Lewisham,5.42,Darent Valley,17.34,University Lewisham,5.42,Kings College Hospital,9.85
BR11PF,51.408695,0.012764,South,University Lewisham,5.36,Darent Valley,17.3,University Lewisham,5.36,Kings College Hospital,9.83
BR11PG,51.406865,0.011993,South,University Lewisham,5.53,Darent Valley,17.39,University Lewisham,5.53,Kings College Hospital,9.93
BR11PH,51.406353,0.011468,South,University Lewisham,5.57,Darent Valley,17.44,University Lewisham,5.57,Kings College Hospital,9.94
BR11PJ,51.406353,0.011468,South,University Lewisham,5.57,Darent Valley,17.44,University Lewisham,5.57,Kings College Hospital,9.94
BR11PQ,51.406423,0.012621,South,University Lewisham,5.59,Darent Valley,17.36,University Lewisham,5.59,Kings College Hospital,9.99
BR11PR,51.406704,0.012993,South,University Lewisham,5.57,Darent Valley,17.32,University Lewisham,5.57,Kings College Hospital,9.99
