Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
HA36SE,51.620476,-0.34777,North,Watford General,5.01,Royal Free Hospital,14.65,Watford General,5.01,Queen Charlottes',13.85
HA36SF,51.623861,-0.348673,North,Watford General,4.73,Royal Free Hospital,14.9,Watford General,4.73,Queen Charlottes',14.19
HA36SG,51.620608,-0.348892,North,Watford General,4.94,Royal Free Hospital,14.73,Watford General,4.94,Queen Charlottes',13.9
HA36SJ,51.622616,-0.359958,North,Watford General,4.22,Royal Free Hospital,15.5,Watford General,4.22,Queen Charlottes',14.52
HA36SL,51.617752,-0.360697,North,Watford General,4.57,Royal Free Hospital,15.28,Watford General,4.57,Queen Charlottes',14.12
HA36SN,51.616519,-0.35934,North,Watford General,4.73,Royal Free Hospital,15.14,Watford General,4.73,Queen Charlottes',13.96
HA36SQ,51.621007,-0.348473,North,Watford General,4.93,Royal Free Hospital,14.72,Watford General,4.93,Queen Charlottes',13.92
HA36SY,51.62282,-0.356512,North,Watford General,4.38,Royal Free Hospital,15.31,Watford General,4.38,Queen Charlottes',14.4
HA47GD,51.588616,-0.435787,North,Watford General,7.0,West Middlesex,14.94,Watford General,7.0,Queen Charlottes',15.93
HA47GN,51.589718,-0.435446,North,Watford General,6.87,West Middlesex,15.03,Watford General,6.87,Queen Charlottes',15.97
HA47SD,51.588733,-0.435147,North,Watford General,6.97,West Middlesex,14.93,Watford General,6.97,Queen Charlottes',15.89
HA47SW,51.58868,-0.437185,North,Watford General,7.02,West Middlesex,15.0,Watford General,7.02,Queen Charlottes',16.01
HA47SY,51.588632,-0.435613,North,Watford General,6.99,West Middlesex,14.94,Watford General,6.99,Queen Charlottes',15.92
HA47TL,51.588816,-0.435938,North,Watford General,6.98,West Middlesex,14.97,Watford General,6.98,Queen Charlottes',15.95
HA47TP,51.589512,-0.436882,North,Watford General,6.93,West Middlesex,15.07,Watford General,6.93,Queen Charlottes',16.04
HA47TR,51.589485,-0.436233,North,Watford General,6.92,West Middlesex,15.04,Watford General,6.92,Queen Charlottes',16.0
HA47TS,51.590759,-0.436666,North,Watford General,6.79,West Middlesex,15.18,Watford General,6.79,Queen Charlottes',16.1
HA47TT,51.590333,-0.434414,North,Watford General,6.79,West Middlesex,15.06,Watford General,6.79,Queen Charlottes',15.94
HA47TU,51.58924,-0.435375,North,Watford General,6.92,West Middlesex,14.99,Watford General,6.92,Queen Charlottes',15.94
HA47TW,51.588375,-0.436603,North,Watford General,7.04,West Middlesex,14.95,Watford General,7.04,Queen Charlottes',15.96
HA47TX,51.588748,-0.434223,North,Watford General,6.95,West Middlesex,14.9,Watford General,6.95,Queen Charlottes',15.84
HA47TY,51.591031,-0.432759,North,Watford General,6.68,West Middlesex,15.07,Watford General,6.68,Queen Charlottes',15.88
HA47UE,51.590468,-0.435088,North,Watford General,6.79,West Middlesex,15.09,Watford General,6.79,Queen Charlottes',15.99
