Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
N101AA,51.600531,-0.150685,North,Whittington Hospital,3.85,Royal Free Hospital,5.36,Whittington Hospital,3.85,UCH (University College),8.49
N101AB,51.600197,-0.150555,North,Whittington Hospital,3.81,Royal Free Hospital,5.33,Whittington Hospital,3.81,UCH (University College),8.45
N101AD,51.601215,-0.149546,North,Whittington Hospital,3.91,Royal Free Hospital,5.45,Whittington Hospital,3.91,UCH (University College),8.55
N101AE,51.601596,-0.149198,North,Whittington Hospital,3.95,Royal Free Hospital,5.5,Whittington Hospital,3.95,UCH (University College),8.59
N101AF,51.604002,-0.156379,North,Whittington Hospital,4.32,Royal Free Hospital,5.68,Whittington Hospital,4.32,UCH (University College),8.93
N101AG,51.601289,-0.150279,North,Whittington Hospital,3.93,Royal Free Hospital,5.45,Whittington Hospital,3.93,UCH (University College),8.57
N101AH,51.602228,-0.150472,North,Whittington Hospital,4.03,Royal Free Hospital,5.55,Whittington Hospital,4.03,UCH (University College),8.67
N101AJ,51.602523,-0.149218,North,Whittington Hospital,4.05,Royal Free Hospital,5.6,Whittington Hospital,4.05,UCH (University College),8.7
N101AL,51.603725,-0.150209,North,Whittington Hospital,4.2,Royal Free Hospital,5.72,Whittington Hospital,4.2,UCH (University College),8.84
N101AN,51.604224,-0.151026,North,Whittington Hospital,4.26,Royal Free Hospital,5.76,Whittington Hospital,4.26,UCH (University College),8.9
N101AP,51.605,-0.149493,North,Whittington Hospital,4.33,Royal Free Hospital,5.86,Whittington Hospital,4.33,UCH (University College),8.97
N101AQ,51.601972,-0.149067,North,Whittington Hospital,3.99,Royal Free Hospital,5.54,Whittington Hospital,3.99,UCH (University College),8.63
N101AR,51.604383,-0.149706,North,Whittington Hospital,4.26,Royal Free Hospital,5.79,Whittington Hospital,4.26,UCH (University College),8.91
N101AS,51.604383,-0.149186,North,Whittington Hospital,4.26,Royal Free Hospital,5.8,Whittington Hospital,4.26,UCH (University College),8.9
N101AT,51.60402,-0.149518,North,Whittington Hospital,4.22,Royal Free Hospital,5.76,Whittington Hospital,4.22,UCH (University College),8.86
N101AU,51.60403,-0.149013,North,Whittington Hospital,4.22,Royal Free Hospital,5.76,Whittington Hospital,4.22,UCH (University College),8.86
N101AW,51.597913,-0.149435,North,Whittington Hospital,3.55,Royal Free Hospital,5.09,Whittington Hospital,3.55,UCH (University College),8.19
N101AX,51.603657,-0.149331,North,Whittington Hospital,4.18,Royal Free Hospital,5.72,Whittington Hospital,4.18,UCH (University College),8.82
N101AY,51.603676,-0.148825,North,Whittington Hospital,4.18,Royal Free Hospital,5.73,Whittington Hospital,4.18,UCH (University College),8.82
N101AZ,51.603258,-0.150243,North,Whittington Hospital,4.14,Royal Free Hospital,5.66,Whittington Hospital,4.14,UCH (University College),8.79
N101BA,51.603313,-0.149157,North,Whittington Hospital,4.14,Royal Free Hospital,5.68,Whittington Hospital,4.14,UCH (University College),8.78
